Geography,Service occupations—Civilian employed population 16 years and over—Estimate,MoE
"Todd County, South Dakota",22.10%,± 5.4%
"Tom Green County, Texas",17.50%,± 1.6%
"Tompkins County, New York",14.90%,± 1.6%
"Tooele County, Utah",13.30%,± 1.7%
"Toole County, Montana",20.10%,± 5.2%
"Toombs County, Georgia",15.20%,± 3.3%
"Torrance County, New Mexico",27.70%,± 5.4%
"Towner County, North Dakota",14.70%,± 5%
"Towns County, Georgia",23%,± 4.2%
"Traill County, North Dakota",15.90%,± 2.8%
"Transylvania County, North Carolina",21%,± 3%
"Traverse County, Minnesota",16.40%,± 3.2%
"Travis County, Texas",13.10%,± 0.5%
"Treasure County, Montana",9.90%,± 5.2%
"Trego County, Kansas",14.70%,± 3.8%
"Trempealeau County, Wisconsin",14.90%,± 1.1%
"Treutlen County, Georgia",19.20%,± 5.8%
"Trigg County, Kentucky",15.30%,± 4.2%
"Trimble County, Kentucky",16.60%,± 5.2%
"Trinity County, California",25.80%,± 5.4%
"Trinity County, Texas",19.50%,± 4.1%
"Tripp County, South Dakota",17.20%,± 3.9%
"Troup County, Georgia",16.40%,± 2%
"Trousdale County, Tennessee",16.40%,± 5.1%
"Trujillo Alto Municipio, Puerto Rico",17.80%,± 1.9%
"Trumbull County, Ohio",18.60%,± 1%
"Tucker County, West Virginia",19.40%,± 4.2%
"Tulare County, California",18.80%,± 1%
"Tulsa County, Oklahoma",16.20%,± 0.4%
"Tunica County, Mississippi",35.40%,± 6.1%
"Tuolumne County, California",25.40%,± 2.7%
"Turner County, Georgia",18.90%,± 7%
"Turner County, South Dakota",15.70%,± 2.5%
"Tuscaloosa County, Alabama",15.50%,± 1.1%
"Tuscarawas County, Ohio",17.10%,± 1.4%
"Tuscola County, Michigan",18.20%,± 1.4%
"Twiggs County, Georgia",20.80%,± 5%
"Twin Falls County, Idaho",16.60%,± 1.8%
"Tyler County, Texas",18.30%,± 4.2%
"Tyler County, West Virginia",18%,± 5.3%
"Tyrrell County, North Carolina",25.30%,± 9.1%
"Uinta County, Wyoming",17.90%,± 4.1%
"Uintah County, Utah",19.30%,± 3.4%
"Ulster County, New York",19.60%,± 1.4%
"Umatilla County, Oregon",20.40%,± 2.2%
"Unicoi County, Tennessee",14.30%,± 3%
"Union County, Arkansas",18.30%,± 2.5%
"Union County, Florida",24.80%,± 5.3%
"Union County, Georgia",16.40%,± 3.6%
"Union County, Illinois",26%,± 3.6%
"Union County, Indiana",16.70%,± 3.1%
"Union County, Iowa",16.50%,± 3.3%
"Union County, Kentucky",16.30%,± 2.8%
"Union County, Mississippi",12.40%,± 2.5%
"Union County, New Jersey",15.40%,± 0.6%
"Union County, New Mexico",22.80%,± 8.5%
"Union County, North Carolina",12.80%,± 0.9%
"Union County, Ohio",11.60%,± 1.2%
"Union County, Oregon",22.20%,± 2.5%
"Union County, Pennsylvania",15%,± 2%
"Union County, South Carolina",17.80%,± 2.6%
"Union County, South Dakota",12.60%,± 2.1%
"Union County, Tennessee",15.70%,± 2.8%
"Union Parish, Louisiana",12.10%,± 2.3%
"Upshur County, Texas",14.20%,± 2.4%
"Upshur County, West Virginia",17.90%,± 3.2%
"Upson County, Georgia",20.20%,± 3.1%
"Upton County, Texas",16.20%,± 6%
"Utah County, Utah",14.60%,± 0.5%
"Utuado Municipio, Puerto Rico",22.50%,± 4%
"Uvalde County, Texas",23.90%,± 4.2%
"Val Verde County, Texas",23.70%,± 3.2%
"Valencia County, New Mexico",21.60%,± 2.4%
"Valley County, Idaho",18.60%,± 6.6%
"Valley County, Montana",19.20%,± 4.2%
"Valley County, Nebraska",13.90%,± 3.2%
"Van Buren County, Arkansas",20.80%,± 4.5%
"Van Buren County, Iowa",12%,± 2.6%
"Van Buren County, Michigan",18%,± 1.6%
"Van Buren County, Tennessee",23.90%,± 4.6%
"Van Wert County, Ohio",12.90%,± 1.6%
"Van Zandt County, Texas",17.50%,± 2.2%
"Vance County, North Carolina",20.70%,± 2.4%
"Vanderburgh County, Indiana",19%,± 1.1%
"Vega Alta Municipio, Puerto Rico",23.70%,± 3.8%
"Vega Baja Municipio, Puerto Rico",20.70%,± 2.6%
"Venango County, Pennsylvania",19.40%,± 1.6%
"Ventura County, California",17.50%,± 0.6%
"Vermilion County, Illinois",19.20%,± 1.6%
"Vermilion Parish, Louisiana",15.60%,± 1.7%
"Vermillion County, Indiana",17.60%,± 3.5%
"Vernon County, Missouri",16%,± 2.7%
"Vernon County, Wisconsin",15.70%,± 1.4%
"Vernon Parish, Louisiana",18.80%,± 1.7%
"Victoria County, Texas",18.90%,± 1.3%
"Vieques Municipio, Puerto Rico",24%,± 8.1%
"Vigo County, Indiana",20.10%,± 1.6%
"Vilas County, Wisconsin",21.40%,± 2.4%
"Villalba Municipio, Puerto Rico",23%,± 4%
"Vinton County, Ohio",11%,± 2.7%
"Virginia Beach city, Virginia",17%,± 0.7%
"Volusia County, Florida",19.60%,± 0.8%
"Wabash County, Illinois",20.50%,± 2.9%
"Wabash County, Indiana",17.60%,± 3%
"Wabasha County, Minnesota",16.30%,± 1.7%
"Wabaunsee County, Kansas",13.30%,± 3%
"Wadena County, Minnesota",18.20%,± 2.4%
"Wagoner County, Oklahoma",14.20%,± 0.9%
"Wahkiakum County, Washington",24.80%,± 6.5%
"Wake County, North Carolina",12.20%,± 0.4%
"Wakulla County, Florida",18.70%,± 3.2%
"Waldo County, Maine",15.30%,± 1.7%
"Walker County, Alabama",17.50%,± 2.3%
"Walker County, Georgia",15.30%,± 1.7%
"Walker County, Texas",28.60%,± 3.5%
"Walla Walla County, Washington",21.80%,± 2%
"Wallace County, Kansas",16.70%,± 5.2%
"Waller County, Texas",17.10%,± 2.3%
"Wallowa County, Oregon",17.50%,± 3.7%
"Walsh County, North Dakota",15.90%,± 3%
"Walthall County, Mississippi",8.60%,± 3.8%
"Walton County, Florida",18.80%,± 1.6%
"Walton County, Georgia",14.70%,± 1.2%
"Walworth County, South Dakota",13.20%,± 4.5%
"Walworth County, Wisconsin",17.80%,± 1.2%
"Wapello County, Iowa",15%,± 1.8%
"Ward County, North Dakota",16.50%,± 1.4%
"Ward County, Texas",15.50%,± 3.3%
"Ware County, Georgia",16%,± 2.9%
"Warren County, Georgia",21.70%,± 6.9%
"Warren County, Illinois",17.80%,± 3%
"Warren County, Indiana",11.40%,± 2.3%
"Warren County, Iowa",14.20%,± 1.5%
"Warren County, Kentucky",17.70%,± 1.6%
"Warren County, Mississippi",21.70%,± 3.1%
"Warren County, Missouri",12.90%,± 2.5%
"Warren County, New Jersey",17.60%,± 1.5%
"Warren County, New York",18.40%,± 1.8%
"Warren County, North Carolina",18.70%,± 2.8%
"Warren County, Ohio",12.50%,± 1.1%
"Warren County, Pennsylvania",19.50%,± 1.5%
"Warren County, Tennessee",16.40%,± 2.3%
"Warren County, Virginia",17.20%,± 2%
"Warrick County, Indiana",13.60%,± 1.5%
"Wasatch County, Utah",17.60%,± 1.9%
"Wasco County, Oregon",17.20%,± 2.1%
"Waseca County, Minnesota",15.90%,± 2.2%
"Washakie County, Wyoming",17%,± 3.4%
"Washburn County, Wisconsin",18%,± 1.9%
"Washington County, Alabama",16.90%,± 3.9%
"Washington County, Arkansas",15.80%,± 1%
"Washington County, Colorado",16.50%,± 4%
"Washington County, Florida",20%,± 3.1%
"Washington County, Georgia",18.60%,± 3.3%
"Washington County, Idaho",18.90%,± 4.2%
"Washington County, Illinois",14.40%,± 1.9%
"Washington County, Indiana",13.70%,± 2.4%
"Washington County, Iowa",18.10%,± 2.1%
"Washington County, Kansas",15.60%,± 3.2%
"Washington County, Kentucky",13.90%,± 2.8%
"Washington County, Maine",18.60%,± 1.7%
"Washington County, Maryland",16.80%,± 1.2%
"Washington County, Minnesota",13.60%,± 0.7%
"Washington County, Mississippi",18.90%,± 2.2%
"Washington County, Missouri",17.30%,± 3.1%
"Washington County, Nebraska",13.20%,± 2.1%
"Washington County, New York",18%,± 1.5%
"Washington County, North Carolina",15.70%,± 5.1%
"Washington County, Ohio",18.10%,± 2.1%
"Washington County, Oklahoma",17.50%,± 1.5%
"Washington County, Oregon",14.20%,± 0.6%
"Washington County, Pennsylvania",16.10%,± 0.8%
"Washington County, Rhode Island",15.80%,± 1.3%
"Washington County, Tennessee",16%,± 1.3%
"Washington County, Texas",17.10%,± 2.7%
"Washington County, Utah",17%,± 1.3%
"Washington County, Vermont",14.70%,± 1.4%
"Washington County, Virginia",16%,± 1.7%
"Washington County, Wisconsin",12%,± 0.9%
"Washington Parish, Louisiana",23.50%,± 4.1%
"Washita County, Oklahoma",12.10%,± 2.3%
"Washoe County, Nevada",18.20%,± 0.6%
"Washtenaw County, Michigan",14.60%,± 0.7%
"Watauga County, North Carolina",21.90%,± 2.7%
"Watonwan County, Minnesota",13.20%,± 2.4%
"Waukesha County, Wisconsin",12.30%,± 0.6%
"Waupaca County, Wisconsin",15.60%,± 1.4%
"Waushara County, Wisconsin",18.80%,± 1.5%
"Wayne County, Georgia",21.40%,± 3.6%
"Wayne County, Illinois",16%,± 2.3%
"Wayne County, Indiana",18%,± 1.5%
"Wayne County, Iowa",13%,± 3.1%
"Wayne County, Kentucky",14.70%,± 3.2%
"Wayne County, Michigan",18.40%,± 0.4%
"Wayne County, Mississippi",17.50%,± 4%
"Wayne County, Missouri",16.60%,± 4.3%
"Wayne County, Nebraska",22.20%,± 4%
"Wayne County, New York",15.80%,± 1.4%
"Wayne County, North Carolina",17.90%,± 1.4%
"Wayne County, Ohio",14.80%,± 1%
"Wayne County, Pennsylvania",18.60%,± 1.6%
"Wayne County, Tennessee",19.50%,± 3.7%
"Wayne County, Utah",11.60%,± 4.1%
"Wayne County, West Virginia",19.50%,± 3.2%
"Waynesboro city, Virginia",18.30%,± 3.4%
"Weakley County, Tennessee",16.20%,± 2.2%
"Webb County, Texas",22.40%,± 1.1%
"Weber County, Utah",14.70%,± 0.9%
"Webster County, Georgia",19.30%,± 8.4%
"Webster County, Iowa",18.30%,± 1.8%
"Webster County, Kentucky",13.70%,± 2.9%
"Webster County, Mississippi",19.50%,± 4.1%
"Webster County, Missouri",15.70%,± 2.4%
"Webster County, Nebraska",12.50%,± 3%
"Webster County, West Virginia",22.20%,± 5.8%
"Webster Parish, Louisiana",16.80%,± 2.6%
"Weld County, Colorado",15.30%,± 0.8%
"Wells County, Indiana",13.30%,± 1.8%
"Wells County, North Dakota",19.50%,± 4.1%
"West Baton Rouge Parish, Louisiana",15.30%,± 2.9%
"West Carroll Parish, Louisiana",20%,± 4.4%
"West Feliciana Parish, Louisiana",22.60%,± 5.5%
"Westchester County, New York",16%,± 0.6%
"Western Connecticut Planning Region, Connecticut",15.20%,± 0.5%
"Westmoreland County, Pennsylvania",15.30%,± 0.7%
"Westmoreland County, Virginia",19.20%,± 3.8%
"Weston County, Wyoming",16.30%,± 5.9%
"Wetzel County, West Virginia",16.80%,± 2.9%
"Wexford County, Michigan",15.40%,± 1.9%
"Wharton County, Texas",18.40%,± 2.5%
"Whatcom County, Washington",18.40%,± 1.1%
"Wheatland County, Montana",14.50%,± 7.3%
"Wheeler County, Georgia",19%,± 7.4%
"Wheeler County, Nebraska",12.70%,± 5.1%
"Wheeler County, Oregon",24.90%,± 8.8%
"Wheeler County, Texas",22.80%,± 5%
"White County, Arkansas",17.40%,± 2.2%
"White County, Georgia",18.20%,± 3.2%
"White County, Illinois",18.50%,± 2.7%
"White County, Indiana",15.30%,± 2.8%
"White County, Tennessee",17.60%,± 3%
"White Pine County, Nevada",16.10%,± 4.8%
"Whiteside County, Illinois",16.80%,± 1.6%
"Whitfield County, Georgia",12.40%,± 1.4%
"Whitley County, Indiana",13.90%,± 1.9%
"Whitley County, Kentucky",21.20%,± 3%
"Whitman County, Washington",18.30%,± 2%
"Wibaux County, Montana",13.10%,± 5.7%
"Wichita County, Kansas",8.30%,± 4.1%
"Wichita County, Texas",20.40%,± 1.3%
"Wicomico County, Maryland",22.10%,± 1.4%
"Wilbarger County, Texas",27.20%,± 4.3%
"Wilcox County, Alabama",15.30%,± 4%
"Wilcox County, Georgia",15.90%,± 5%
"Wilkes County, Georgia",20.40%,± 3.7%
"Wilkes County, North Carolina",18.90%,± 1.9%
"Wilkin County, Minnesota",14.50%,± 2.8%
"Wilkinson County, Georgia",20%,± 4.6%
"Wilkinson County, Mississippi",27.20%,± 7.9%
"Will County, Illinois",14.60%,± 0.4%
"Willacy County, Texas",26.30%,± 3.9%
"Williams County, North Dakota",15.10%,± 2.6%
"Williams County, Ohio",15.60%,± 2%
"Williamsburg city, Virginia",22.20%,± 4.4%
"Williamsburg County, South Carolina",17.60%,± 2.7%
"Williamson County, Illinois",20.40%,± 1.8%
"Williamson County, Tennessee",11.40%,± 0.8%
"Williamson County, Texas",12.80%,± 0.6%
"Wilson County, Kansas",13.20%,± 2.6%
"Wilson County, North Carolina",15.40%,± 1.4%
"Wilson County, Tennessee",13%,± 1.2%
"Wilson County, Texas",14.70%,± 2%
"Winchester city, Virginia",18.40%,± 2.9%
"Windham County, Vermont",16.90%,± 1.6%
"Windsor County, Vermont",18.80%,± 2%
"Winkler County, Texas",16.40%,± 5.1%
"Winn Parish, Louisiana",22.90%,± 4.5%
"Winnebago County, Illinois",16.90%,± 0.8%
"Winnebago County, Iowa",13.90%,± 2.4%
"Winnebago County, Wisconsin",16.20%,± 0.9%
"Winneshiek County, Iowa",18.30%,± 2.1%
"Winona County, Minnesota",17.20%,± 1.6%
"Winston County, Alabama",11.10%,± 2.2%
"Winston County, Mississippi",17.30%,± 3.3%
"Wirt County, West Virginia",14.70%,± 6.4%
"Wise County, Texas",16.40%,± 1.6%
"Wise County, Virginia",18.70%,± 3.4%
"Wolfe County, Kentucky",32.70%,± 9.9%
"Wood County, Ohio",15.50%,± 1.1%
"Wood County, Texas",13.40%,± 1.9%
"Wood County, West Virginia",16.80%,± 1.8%
"Wood County, Wisconsin",17.30%,± 1.3%
"Woodbury County, Iowa",16.40%,± 1.2%
"Woodford County, Illinois",14.70%,± 1.6%
"Woodford County, Kentucky",14.90%,± 2.1%
"Woodruff County, Arkansas",19.70%,± 4.2%
"Woods County, Oklahoma",15.70%,± 3.4%
"Woodson County, Kansas",18.10%,± 4%
"Woodward County, Oklahoma",18.40%,± 3.8%
"Worcester County, Maryland",22.80%,± 2%
"Worcester County, Massachusetts",16.30%,± 0.5%
"Worth County, Georgia",13.30%,± 2.4%
"Worth County, Iowa",14.80%,± 2.2%
"Worth County, Missouri",22.50%,± 5.7%
"Wrangell City and Borough, Alaska",15.80%,± 5.4%
"Wright County, Iowa",14.50%,± 2.7%
"Wright County, Minnesota",11.90%,± 0.8%
"Wright County, Missouri",17.60%,± 3.1%
"Wyandot County, Ohio",15.70%,± 2.3%
"Wyandotte County, Kansas",18.30%,± 1.1%
"Wyoming County, New York",19.80%,± 1.6%
"Wyoming County, Pennsylvania",17.60%,± 1.6%
"Wyoming County, West Virginia",16.60%,± 4.3%
"Wythe County, Virginia",18.60%,± 2.8%
"Yabucoa Municipio, Puerto Rico",27.90%,± 4.4%
"Yadkin County, North Carolina",16.50%,± 2.1%
"Yakima County, Washington",17.80%,± 1.1%
"Yakutat City and Borough, Alaska",19.90%,± 10.9%
"Yalobusha County, Mississippi",20.30%,± 4.4%
"Yamhill County, Oregon",19.10%,± 1.6%
"Yancey County, North Carolina",21.80%,± 3.3%
"Yankton County, South Dakota",16.20%,± 2.7%
"Yates County, New York",19.10%,± 2.4%
"Yauco Municipio, Puerto Rico",18.30%,± 3%
"Yavapai County, Arizona",20.90%,± 1.2%
"Yazoo County, Mississippi",21.70%,± 4.1%
"Yell County, Arkansas",19.60%,± 3.3%
"Yellow Medicine County, Minnesota",16.80%,± 2.2%
"Yellowstone County, Montana",17.40%,± 1.2%
"Yoakum County, Texas",12.70%,± 4.7%
"Yolo County, California",17.20%,± 0.8%
"York County, Maine",16.50%,± 1%
"York County, Nebraska",13.10%,± 2.4%
"York County, Pennsylvania",15.30%,± 0.7%
"York County, South Carolina",14%,± 0.8%
"York County, Virginia",12.80%,± 1.6%
"Young County, Texas",20.30%,± 3.3%
"Yuba County, California",19.90%,± 1.9%
"Yukon-Koyukuk Census Area, Alaska",15.40%,± 3.4%
"Yuma County, Arizona",21.40%,± 1.4%
"Yuma County, Colorado",14.40%,± 3.2%
"Zapata County, Texas",19.40%,± 4.9%
"Zavala County, Texas",17.10%,± 6.1%
"Ziebach County, South Dakota",16%,± 4.5%
