Geography,Total—Total households—SELECTED HOUSEHOLDS BY TYPE—Householder living alone—65 years and over—Estimate,MoE
"Tipton County, Indiana",11.30%,± 2.8%
"Tipton County, Tennessee",9.40%,± 1.5%
"Tishomingo County, Mississippi",16%,± 2.9%
"Titus County, Texas",8.50%,± 1.4%
"Toa Alta Municipio, Puerto Rico",9.70%,± 1.5%
"Toa Baja Municipio, Puerto Rico",13.90%,± 1.2%
"Todd County, Kentucky",13.20%,± 3.4%
"Todd County, Minnesota",12.60%,± 1.4%
"Todd County, South Dakota",6.70%,± 2.3%
"Tom Green County, Texas",11.50%,± 1.2%
"Tompkins County, New York",10.10%,± 1%
"Tooele County, Utah",6.90%,± 1.2%
"Toole County, Montana",16.70%,± 4.1%
"Toombs County, Georgia",17.40%,± 2.9%
"Torrance County, New Mexico",12.30%,± 3%
"Towner County, North Dakota",17.10%,± 5.1%
"Towns County, Georgia",14.80%,± 3.2%
"Traill County, North Dakota",13.60%,± 2.4%
"Transylvania County, North Carolina",16.70%,± 2.7%
"Traverse County, Minnesota",18.10%,± 2.6%
"Travis County, Texas",6.30%,± 0.2%
"Treasure County, Montana",16.80%,± 7.1%
"Trego County, Kansas",9.70%,± 3.7%
"Trempealeau County, Wisconsin",12.70%,± 1%
"Treutlen County, Georgia",16%,± 4.4%
"Trigg County, Kentucky",13.80%,± 3%
"Trimble County, Kentucky",11.90%,± 3.4%
"Trinity County, California",19.30%,± 4.4%
"Trinity County, Texas",15.10%,± 2.7%
"Tripp County, South Dakota",17.60%,± 3.6%
"Troup County, Georgia",11%,± 1.4%
"Trousdale County, Tennessee",10.50%,± 3.9%
"Trujillo Alto Municipio, Puerto Rico",13.20%,± 1.6%
"Trumbull County, Ohio",16.10%,± 1%
"Tucker County, West Virginia",19.50%,± 2.8%
"Tulare County, California",7.50%,± 0.5%
"Tulsa County, Oklahoma",11.70%,± 0.4%
"Tunica County, Mississippi",10.90%,± 3.2%
"Tuolumne County, California",17.90%,± 1.8%
"Turner County, Georgia",14.80%,± 3.8%
"Turner County, South Dakota",14.60%,± 1.7%
"Tuscaloosa County, Alabama",9.70%,± 0.9%
"Tuscarawas County, Ohio",14.80%,± 1.2%
"Tuscola County, Michigan",14.70%,± 1.2%
"Twiggs County, Georgia",19.60%,± 4.7%
"Twin Falls County, Idaho",11%,± 1.7%
"Tyler County, Texas",12.70%,± 2.6%
"Tyler County, West Virginia",18.50%,± 3.9%
"Tyrrell County, North Carolina",14.40%,± 5.7%
"Uinta County, Wyoming",11.50%,± 3%
"Uintah County, Utah",8.60%,± 1.7%
"Ulster County, New York",15.10%,± 1.1%
"Umatilla County, Oregon",11.50%,± 1.5%
"Unicoi County, Tennessee",16.80%,± 3.5%
"Union County, Arkansas",12.50%,± 1.9%
"Union County, Florida",9.10%,± 2.9%
"Union County, Georgia",19.90%,± 3.5%
"Union County, Illinois",21.40%,± 3.2%
"Union County, Indiana",10.30%,± 2.9%
"Union County, Iowa",15.60%,± 3.2%
"Union County, Kentucky",13.60%,± 3.5%
"Union County, Mississippi",12.60%,± 2.9%
"Union County, New Jersey",10.70%,± 0.6%
"Union County, New Mexico",23.50%,± 5.7%
"Union County, North Carolina",6.90%,± 0.6%
"Union County, Ohio",6.30%,± 1.2%
"Union County, Oregon",14.80%,± 1.7%
"Union County, Pennsylvania",16.10%,± 2.1%
"Union County, South Carolina",12.60%,± 1.6%
"Union County, South Dakota",10.20%,± 2.2%
"Union County, Tennessee",9.60%,± 2.2%
"Union Parish, Louisiana",14.60%,± 2.4%
"Upshur County, Texas",12.30%,± 1.9%
"Upshur County, West Virginia",13.30%,± 2.9%
"Upson County, Georgia",14.90%,± 2.2%
"Upton County, Texas",12.50%,± 4.6%
"Utah County, Utah",4.90%,± 0.3%
"Utuado Municipio, Puerto Rico",18.20%,± 2.7%
"Uvalde County, Texas",10.80%,± 2.7%
"Val Verde County, Texas",12%,± 1.6%
"Valencia County, New Mexico",13.10%,± 1.6%
"Valley County, Idaho",16%,± 4.9%
"Valley County, Montana",19.30%,± 3.4%
"Valley County, Nebraska",15%,± 2.8%
"Van Buren County, Arkansas",19.30%,± 3.1%
"Van Buren County, Iowa",15.80%,± 2.6%
"Van Buren County, Michigan",12.20%,± 1.2%
"Van Buren County, Tennessee",15.70%,± 4.3%
"Van Wert County, Ohio",13.70%,± 1.8%
"Van Zandt County, Texas",14%,± 1.7%
"Vance County, North Carolina",13.60%,± 2%
"Vanderburgh County, Indiana",12.70%,± 0.8%
"Vega Alta Municipio, Puerto Rico",11.40%,± 2.2%
"Vega Baja Municipio, Puerto Rico",15.60%,± 1.8%
"Venango County, Pennsylvania",14%,± 1.4%
"Ventura County, California",10.70%,± 0.5%
"Vermilion County, Illinois",16.70%,± 1.2%
"Vermilion Parish, Louisiana",10.20%,± 1.5%
"Vermillion County, Indiana",10.90%,± 2.2%
"Vernon County, Missouri",17.10%,± 3.1%
"Vernon County, Wisconsin",14.40%,± 1.4%
"Vernon Parish, Louisiana",9.30%,± 1.2%
"Victoria County, Texas",11.40%,± 1.2%
"Vieques Municipio, Puerto Rico",16.30%,± 7%
"Vigo County, Indiana",12.80%,± 1%
"Vilas County, Wisconsin",17.80%,± 2.2%
"Villalba Municipio, Puerto Rico",10.50%,± 2.7%
"Vinton County, Ohio",11.20%,± 3.3%
"Virginia Beach city, Virginia",9.70%,± 0.5%
"Volusia County, Florida",15.50%,± 0.6%
"Wabash County, Illinois",15.70%,± 2.6%
"Wabash County, Indiana",12%,± 1.6%
"Wabasha County, Minnesota",12.90%,± 1.7%
"Wabaunsee County, Kansas",17.70%,± 4.5%
"Wadena County, Minnesota",13.30%,± 1.9%
"Wagoner County, Oklahoma",10.80%,± 1.1%
"Wahkiakum County, Washington",14.40%,± 3.8%
"Wake County, North Carolina",7.80%,± 0.3%
"Wakulla County, Florida",11.50%,± 2.5%
"Waldo County, Maine",14.20%,± 1.6%
"Walker County, Alabama",14.80%,± 1.5%
"Walker County, Georgia",13.70%,± 1.7%
"Walker County, Texas",12.60%,± 2.2%
"Walla Walla County, Washington",14.30%,± 1.7%
"Wallace County, Kansas",17.30%,± 4.8%
"Waller County, Texas",4.70%,± 1.2%
"Wallowa County, Oregon",13.80%,± 3.3%
"Walsh County, North Dakota",15.80%,± 2.2%
"Walthall County, Mississippi",13.70%,± 3.3%
"Walton County, Florida",10.50%,± 1.3%
"Walton County, Georgia",10.10%,± 1.1%
"Walworth County, South Dakota",10%,± 2.9%
"Walworth County, Wisconsin",12.40%,± 1.2%
"Wapello County, Iowa",14%,± 1.6%
"Ward County, North Dakota",10.40%,± 1.3%
"Ward County, Texas",8.10%,± 2.3%
"Ware County, Georgia",12.80%,± 2.5%
"Warren County, Georgia",14.90%,± 4.1%
"Warren County, Illinois",13.90%,± 2.6%
"Warren County, Indiana",11.80%,± 2.3%
"Warren County, Iowa",12.60%,± 1.5%
"Warren County, Kentucky",9.40%,± 1.1%
"Warren County, Mississippi",14%,± 1.9%
"Warren County, Missouri",8.60%,± 2%
"Warren County, New Jersey",12.90%,± 1.1%
"Warren County, New York",15.10%,± 1.3%
"Warren County, North Carolina",18.10%,± 2.7%
"Warren County, Ohio",8.60%,± 0.8%
"Warren County, Pennsylvania",14.40%,± 1.2%
"Warren County, Tennessee",13.90%,± 1.8%
"Warren County, Virginia",10%,± 1.6%
"Warrick County, Indiana",9.60%,± 1.2%
"Wasatch County, Utah",6.40%,± 1.8%
"Wasco County, Oregon",15%,± 1.9%
"Waseca County, Minnesota",12.70%,± 1.7%
"Washakie County, Wyoming",12.80%,± 3.1%
"Washburn County, Wisconsin",15.10%,± 1.6%
"Washington County, Alabama",11.70%,± 3.2%
"Washington County, Arkansas",8.70%,± 0.7%
"Washington County, Colorado",13.30%,± 2.6%
"Washington County, Florida",13.90%,± 2.3%
"Washington County, Georgia",14.90%,± 2.7%
"Washington County, Idaho",16%,± 3.9%
"Washington County, Illinois",15.40%,± 2.1%
"Washington County, Indiana",13%,± 2.2%
"Washington County, Iowa",13.90%,± 2.1%
"Washington County, Kansas",18.30%,± 2.6%
"Washington County, Kentucky",14.60%,± 3.8%
"Washington County, Maine",17.70%,± 1.4%
"Washington County, Maryland",11.70%,± 0.9%
"Washington County, Minnesota",10.50%,± 0.6%
"Washington County, Mississippi",15.10%,± 1.6%
"Washington County, Missouri",13.40%,± 2.3%
"Washington County, Nebraska",12.20%,± 1.9%
"Washington County, New York",14.40%,± 1.4%
"Washington County, North Carolina",20.10%,± 4.1%
"Washington County, Ohio",15.20%,± 1.5%
"Washington County, Oklahoma",15.70%,± 1.5%
"Washington County, Oregon",9.90%,± 0.5%
"Washington County, Pennsylvania",14.50%,± 0.7%
"Washington County, Rhode Island",12.30%,± 1.1%
"Washington County, Tennessee",12%,± 1%
"Washington County, Texas",14.60%,± 2.5%
"Washington County, Utah",12%,± 1.1%
"Washington County, Vermont",14%,± 1.4%
"Washington County, Virginia",15.40%,± 1.7%
"Washington County, Wisconsin",11.30%,± 0.9%
"Washington Parish, Louisiana",14.40%,± 2.1%
"Washita County, Oklahoma",14.40%,± 2.6%
"Washoe County, Nevada",11.20%,± 0.5%
"Washtenaw County, Michigan",9.70%,± 0.5%
"Watauga County, North Carolina",11.30%,± 2%
"Watonwan County, Minnesota",17.70%,± 2.2%
"Waukesha County, Wisconsin",12.50%,± 0.5%
"Waupaca County, Wisconsin",13.10%,± 1.3%
"Waushara County, Wisconsin",15.90%,± 1.5%
"Wayne County, Georgia",11.30%,± 2.5%
"Wayne County, Illinois",17%,± 2.4%
"Wayne County, Indiana",13.50%,± 1.5%
"Wayne County, Iowa",17.60%,± 2.5%
"Wayne County, Kentucky",18.50%,± 2.7%
"Wayne County, Michigan",13.20%,± 0.3%
"Wayne County, Mississippi",19.40%,± 3%
"Wayne County, Missouri",18.60%,± 3.6%
"Wayne County, Nebraska",17.60%,± 3.9%
"Wayne County, New York",12.80%,± 1%
"Wayne County, North Carolina",12.50%,± 1%
"Wayne County, Ohio",12.90%,± 1%
"Wayne County, Pennsylvania",16.30%,± 1.6%
"Wayne County, Tennessee",15.90%,± 3.4%
"Wayne County, Utah",10.40%,± 5.8%
"Wayne County, West Virginia",13.90%,± 2.2%
"Waynesboro city, Virginia",16%,± 2.4%
"Weakley County, Tennessee",12.70%,± 1.7%
"Webb County, Texas",7.10%,± 0.8%
"Weber County, Utah",8.30%,± 0.6%
"Webster County, Georgia",19.40%,± 8.4%
"Webster County, Iowa",16.90%,± 1.5%
"Webster County, Kentucky",13.20%,± 2.9%
"Webster County, Mississippi",14.60%,± 3%
"Webster County, Missouri",8.80%,± 1.2%
"Webster County, Nebraska",12.90%,± 2.6%
"Webster County, West Virginia",15.50%,± 3.1%
"Webster Parish, Louisiana",14.70%,± 1.9%
"Weld County, Colorado",8.60%,± 0.5%
"Wells County, Indiana",13.30%,± 1.7%
"Wells County, North Dakota",23.30%,± 3.9%
"West Baton Rouge Parish, Louisiana",7.50%,± 1.7%
"West Carroll Parish, Louisiana",15.40%,± 3.6%
"West Feliciana Parish, Louisiana",11.60%,± 4.7%
"Westchester County, New York",13%,± 0.4%
"Western Connecticut Planning Region, Connecticut",11.20%,± 0.4%
"Westmoreland County, Pennsylvania",15.30%,± 0.6%
"Westmoreland County, Virginia",16.60%,± 2.9%
"Weston County, Wyoming",9.70%,± 3.5%
"Wetzel County, West Virginia",17%,± 3.1%
"Wexford County, Michigan",13.60%,± 1.6%
"Wharton County, Texas",13.50%,± 1.7%
"Whatcom County, Washington",12%,± 0.9%
"Wheatland County, Montana",25.40%,± 7.1%
"Wheeler County, Georgia",19.30%,± 6.8%
"Wheeler County, Nebraska",20.50%,± 8.3%
"Wheeler County, Oregon",21.80%,± 6.3%
"Wheeler County, Texas",11.90%,± 2.8%
"White County, Arkansas",11.70%,± 1.1%
"White County, Georgia",11.40%,± 2.6%
"White County, Illinois",17.10%,± 2.5%
"White County, Indiana",13.40%,± 1.9%
"White County, Tennessee",13.50%,± 2.2%
"White Pine County, Nevada",14.70%,± 4.1%
"Whiteside County, Illinois",15.70%,± 1.4%
"Whitfield County, Georgia",11.50%,± 1.5%
"Whitley County, Indiana",10.60%,± 1.5%
"Whitley County, Kentucky",11.50%,± 2.1%
"Whitman County, Washington",8.90%,± 1%
"Wibaux County, Montana",22.50%,± 8.2%
"Wichita County, Kansas",7.50%,± 3.8%
"Wichita County, Texas",11.90%,± 1%
"Wicomico County, Maryland",11.80%,± 1.2%
"Wilbarger County, Texas",15.80%,± 3.9%
"Wilcox County, Alabama",15.20%,± 3.4%
"Wilcox County, Georgia",14.80%,± 4.1%
"Wilkes County, Georgia",20.10%,± 4.8%
"Wilkes County, North Carolina",14.90%,± 1.5%
"Wilkin County, Minnesota",14.50%,± 3.3%
"Wilkinson County, Georgia",14.80%,± 2.9%
"Wilkinson County, Mississippi",14.60%,± 4.4%
"Will County, Illinois",8.80%,± 0.4%
"Willacy County, Texas",10.80%,± 2.8%
"Williams County, North Dakota",8.90%,± 2.1%
"Williams County, Ohio",14.20%,± 1.8%
"Williamsburg city, Virginia",16.60%,± 4.4%
"Williamsburg County, South Carolina",18.90%,± 2.2%
"Williamson County, Illinois",14.90%,± 1.3%
"Williamson County, Tennessee",8.40%,± 0.8%
"Williamson County, Texas",7.70%,± 0.4%
"Wilson County, Kansas",15.80%,± 2.7%
"Wilson County, North Carolina",14.50%,± 1.3%
"Wilson County, Tennessee",9%,± 1.1%
"Wilson County, Texas",8.20%,± 1.5%
"Winchester city, Virginia",12.80%,± 2.1%
"Windham County, Vermont",19.10%,± 1.8%
"Windsor County, Vermont",16.70%,± 1.7%
"Winkler County, Texas",9.10%,± 3.6%
"Winn Parish, Louisiana",15.90%,± 3.7%
"Winnebago County, Illinois",13.20%,± 0.5%
"Winnebago County, Iowa",15.80%,± 2.5%
"Winnebago County, Wisconsin",12.60%,± 0.8%
"Winneshiek County, Iowa",14.80%,± 2.2%
"Winona County, Minnesota",12.10%,± 1.6%
"Winston County, Alabama",11.90%,± 2%
"Winston County, Mississippi",15.90%,± 2.8%
"Wirt County, West Virginia",10.90%,± 4.1%
"Wise County, Texas",8.60%,± 1.4%
"Wise County, Virginia",14.70%,± 2.6%
"Wolfe County, Kentucky",16.80%,± 4.3%
"Wood County, Ohio",11.70%,± 1%
"Wood County, Texas",16.70%,± 2%
"Wood County, West Virginia",17.50%,± 1.3%
"Wood County, Wisconsin",14.60%,± 1.5%
"Woodbury County, Iowa",12.20%,± 1.2%
"Woodford County, Illinois",11.60%,± 1.8%
"Woodford County, Kentucky",10.80%,± 1.7%
"Woodruff County, Arkansas",15.40%,± 3.3%
"Woods County, Oklahoma",13.70%,± 3%
"Woodson County, Kansas",15.90%,± 4%
"Woodward County, Oklahoma",12.70%,± 2.7%
"Worcester County, Maryland",15.80%,± 1.5%
"Worcester County, Massachusetts",11.30%,± 0.4%
"Worth County, Georgia",15.80%,± 2.6%
"Worth County, Iowa",15.20%,± 2.5%
"Worth County, Missouri",20.10%,± 5.5%
"Wrangell City and Borough, Alaska",16.40%,± 4.8%
"Wright County, Iowa",13.90%,± 2.2%
"Wright County, Minnesota",9.60%,± 0.9%
"Wright County, Missouri",15.30%,± 2.8%
"Wyandot County, Ohio",14.90%,± 1.9%
"Wyandotte County, Kansas",11.50%,± 0.9%
"Wyoming County, New York",13%,± 1.5%
"Wyoming County, Pennsylvania",13.30%,± 1.5%
"Wyoming County, West Virginia",11.90%,± 2.9%
"Wythe County, Virginia",14.20%,± 2.2%
"Yabucoa Municipio, Puerto Rico",13.10%,± 2.2%
"Yadkin County, North Carolina",15.60%,± 2.1%
"Yakima County, Washington",10.90%,± 0.8%
"Yakutat City and Borough, Alaska",12.60%,± 5.2%
"Yalobusha County, Mississippi",15.70%,± 3.3%
"Yamhill County, Oregon",11.90%,± 1.1%
"Yancey County, North Carolina",16.40%,± 2.8%
"Yankton County, South Dakota",14.10%,± 2.5%
"Yates County, New York",16%,± 2.3%
"Yauco Municipio, Puerto Rico",19.10%,± 2.1%
"Yavapai County, Arizona",19%,± 1.1%
"Yazoo County, Mississippi",13.60%,± 2.1%
"Yell County, Arkansas",12.10%,± 2.2%
"Yellow Medicine County, Minnesota",14%,± 1.8%
"Yellowstone County, Montana",12.30%,± 0.9%
"Yoakum County, Texas",4.60%,± 2.2%
"Yolo County, California",9.20%,± 0.7%
"York County, Maine",13.80%,± 0.9%
"York County, Nebraska",13%,± 2.6%
"York County, Pennsylvania",12.40%,± 0.6%
"York County, South Carolina",9.20%,± 0.6%
"York County, Virginia",11.30%,± 1.4%
"Young County, Texas",14.30%,± 2.4%
"Yuba County, California",9.80%,± 1.6%
"Yukon-Koyukuk Census Area, Alaska",14.50%,± 3.2%
"Yuma County, Arizona",12.30%,± 1%
"Yuma County, Colorado",13.10%,± 2.9%
"Zapata County, Texas",14.80%,± 3.9%
"Zavala County, Texas",8.50%,± 3.5%
"Ziebach County, South Dakota",7.30%,± 3.2%
