Geography,Percent—Total population—SELECTED AGE CATEGORIES—65 years and over—Estimate,MoE
"Tooele County, Utah",9%,± 0.1%
"Toole County, Montana",17.70%,± 0.6%
"Toombs County, Georgia",17%,± 0.3%
"Torrance County, New Mexico",21.50%,± 0.4%
"Towner County, North Dakota",22.50%,± 3%
"Towns County, Georgia",35.50%,± 0.4%
"Traill County, North Dakota",19.60%,± 0.1%
"Transylvania County, North Carolina",31%,± 0.3%
"Traverse County, Minnesota",24.60%,± 0.2%
"Travis County, Texas",10.40%,± 0.1%
"Treasure County, Montana",22.40%,± 6.6%
"Trego County, Kansas",27.60%,± 2.4%
"Trempealeau County, Wisconsin",18.70%,± 0.1%
"Treutlen County, Georgia",20.40%,± 3.1%
"Trigg County, Kentucky",22.70%,± 0.6%
"Trimble County, Kentucky",17.60%,± 0.4%
"Trinity County, California",27.70%,± 1%
"Trinity County, Texas",26.40%,± 0.6%
"Tripp County, South Dakota",23%,± 1%
"Troup County, Georgia",15.40%,± 0.2%
"Trousdale County, Tennessee",12.80%,± 0.7%
"Trujillo Alto Municipio, Puerto Rico",20.70%,*****
"Trumbull County, Ohio",21.90%,± 0.1%
"Tucker County, West Virginia",27%,± 0.3%
"Tulare County, California",11.50%,± 0.1%
"Tulsa County, Oklahoma",14.80%,± 0.1%
"Tunica County, Mississippi",12.90%,*****
"Tuolumne County, California",27.30%,± 0.2%
"Turner County, Georgia",18.60%,± 0.8%
"Turner County, South Dakota",21.60%,± 0.2%
"Tuscaloosa County, Alabama",13.60%,± 0.1%
"Tuscarawas County, Ohio",19.80%,± 0.1%
"Tuscola County, Michigan",21%,± 0.1%
"Twiggs County, Georgia",23.40%,*****
"Twin Falls County, Idaho",16.10%,± 0.1%
"Tyler County, Texas",22.10%,± 0.5%
"Tyler County, West Virginia",23.40%,± 0.1%
"Tyrrell County, North Carolina",22.40%,± 4.9%
"Uinta County, Wyoming",15.60%,± 0.3%
"Uintah County, Utah",11.30%,± 0.3%
"Ulster County, New York",20.50%,± 0.1%
"Umatilla County, Oregon",16%,± 0.1%
"Unicoi County, Tennessee",23.40%,± 0.4%
"Union County, Arkansas",18.40%,± 0.2%
"Union County, Florida",17%,± 1%
"Union County, Georgia",33.70%,± 0.4%
"Union County, Illinois",22.80%,± 0.2%
"Union County, Indiana",20.20%,± 0.8%
"Union County, Iowa",20.50%,± 0.1%
"Union County, Kentucky",18.80%,± 0.6%
"Union County, Mississippi",16.60%,± 0.2%
"Union County, New Jersey",14.60%,± 0.1%
"Union County, New Mexico",22%,± 1.4%
"Union County, North Carolina",13.10%,± 0.1%
"Union County, Ohio",13%,± 0.3%
"Union County, Oregon",20.90%,± 0.2%
"Union County, Pennsylvania",19%,± 0.2%
"Union County, South Carolina",20.50%,± 0.1%
"Union County, South Dakota",18.40%,± 0.2%
"Union County, Tennessee",18.20%,± 0.3%
"Union Parish, Louisiana",21.40%,± 0.3%
"Upshur County, Texas",18.30%,± 0.2%
"Upshur County, West Virginia",21%,± 0.2%
"Upson County, Georgia",18.20%,± 0.2%
"Upton County, Texas",16.40%,± 2.2%
"Utah County, Utah",7.70%,± 0.1%
"Utuado Municipio, Puerto Rico",23.70%,*****
"Uvalde County, Texas",16.30%,± 0.3%
"Val Verde County, Texas",13.90%,± 0.2%
"Valencia County, New Mexico",18.40%,± 0.2%
"Valley County, Idaho",26.20%,*****
"Valley County, Montana",23.50%,± 0.4%
"Valley County, Nebraska",25.20%,± 1%
"Van Buren County, Arkansas",26.80%,± 0.5%
"Van Buren County, Iowa",23.60%,± 0.7%
"Van Buren County, Michigan",18.90%,± 0.1%
"Van Buren County, Tennessee",24%,± 0.6%
"Van Wert County, Ohio",19.20%,± 0.2%
"Van Zandt County, Texas",20.10%,± 0.2%
"Vance County, North Carolina",18.70%,± 0.2%
"Vanderburgh County, Indiana",17.60%,± 0.1%
"Vega Alta Municipio, Puerto Rico",19.70%,*****
"Vega Baja Municipio, Puerto Rico",21.80%,*****
"Venango County, Pennsylvania",23.70%,± 0.1%
"Ventura County, California",16.30%,± 0.1%
"Vermilion County, Illinois",19.80%,± 0.1%
"Vermilion Parish, Louisiana",15.90%,± 0.2%
"Vermillion County, Indiana",19.90%,± 0.2%
"Vernon County, Missouri",20.10%,± 0.3%
"Vernon County, Wisconsin",20.30%,± 0.1%
"Vernon Parish, Louisiana",13%,± 0.1%
"Victoria County, Texas",16.40%,± 0.1%
"Vieques Municipio, Puerto Rico",23.70%,*****
"Vigo County, Indiana",16.80%,± 0.1%
"Vilas County, Wisconsin",30.90%,± 0.2%
"Villalba Municipio, Puerto Rico",19.70%,*****
"Vinton County, Ohio",18.60%,± 0.7%
"Virginia Beach city, Virginia",15%,± 0.1%
"Volusia County, Florida",24.80%,± 0.1%
"Wabash County, Illinois",21.90%,± 0.7%
"Wabash County, Indiana",21.20%,± 0.2%
"Wabasha County, Minnesota",22.40%,± 0.2%
"Wabaunsee County, Kansas",21%,± 0.4%
"Wadena County, Minnesota",20.10%,± 0.2%
"Wagoner County, Oklahoma",16.80%,± 0.1%
"Wahkiakum County, Washington",33.10%,± 3.1%
"Wake County, North Carolina",12.20%,± 0.1%
"Wakulla County, Florida",15.70%,± 0.3%
"Waldo County, Maine",23.90%,± 0.1%
"Walker County, Alabama",19.60%,± 0.1%
"Walker County, Georgia",18.80%,± 0.2%
"Walker County, Texas",13.50%,± 0.3%
"Walla Walla County, Washington",19.30%,± 0.2%
"Wallace County, Kansas",24.80%,± 3.2%
"Waller County, Texas",11.50%,± 0.1%
"Wallowa County, Oregon",28.90%,± 0.6%
"Walsh County, North Dakota",21.60%,± 0.3%
"Walthall County, Mississippi",19.90%,± 0.4%
"Walton County, Florida",20%,± 0.2%
"Walton County, Georgia",15.90%,± 0.1%
"Walworth County, South Dakota",23%,± 0.6%
"Walworth County, Wisconsin",18.70%,± 0.1%
"Wapello County, Iowa",17.80%,± 0.2%
"Ward County, North Dakota",13.30%,± 0.1%
"Ward County, Texas",13.40%,± 1%
"Ware County, Georgia",17.10%,± 0.3%
"Warren County, Georgia",22.70%,*****
"Warren County, Illinois",19.40%,± 0.4%
"Warren County, Indiana",20.80%,± 0.6%
"Warren County, Iowa",16.40%,± 0.1%
"Warren County, Kentucky",13.20%,± 0.1%
"Warren County, Mississippi",17.60%,± 0.2%
"Warren County, Missouri",17.60%,± 0.2%
"Warren County, New Jersey",18.70%,± 0.1%
"Warren County, New York",23%,± 0.2%
"Warren County, North Carolina",26.30%,± 0.4%
"Warren County, Ohio",14.90%,± 0.1%
"Warren County, Pennsylvania",23.80%,± 0.2%
"Warren County, Tennessee",17.80%,± 0.2%
"Warren County, Virginia",16.60%,± 0.3%
"Warrick County, Indiana",18.20%,± 0.2%
"Wasatch County, Utah",12.70%,± 0.3%
"Wasco County, Oregon",20.70%,± 0.3%
"Waseca County, Minnesota",18.10%,± 0.1%
"Washakie County, Wyoming",23.30%,± 0.6%
"Washburn County, Wisconsin",27.30%,± 0.2%
"Washington County, Alabama",19.80%,± 0.4%
"Washington County, Arkansas",12%,± 0.1%
"Washington County, Colorado",21.30%,± 0.5%
"Washington County, Florida",17.40%,± 0.2%
"Washington County, Georgia",18.20%,± 0.6%
"Washington County, Idaho",25.80%,± 1.3%
"Washington County, Illinois",20.80%,± 0.2%
"Washington County, Indiana",17.80%,± 0.3%
"Washington County, Iowa",19.60%,± 0.2%
"Washington County, Kansas",23.80%,± 0.4%
"Washington County, Kentucky",18.90%,± 0.6%
"Washington County, Maine",25.30%,± 0.1%
"Washington County, Maryland",17.70%,± 0.1%
"Washington County, Minnesota",15.80%,± 0.1%
"Washington County, Mississippi",17.10%,± 0.2%
"Washington County, Missouri",16.80%,± 0.2%
"Washington County, Nebraska",18.40%,± 0.2%
"Washington County, New York",20.40%,± 0.1%
"Washington County, North Carolina",26%,± 0.4%
"Washington County, Ohio",21.30%,± 0.1%
"Washington County, Oklahoma",19.70%,± 0.1%
"Washington County, Oregon",14%,± 0.1%
"Washington County, Pennsylvania",21.20%,± 0.1%
"Washington County, Rhode Island",21.90%,± 0.2%
"Washington County, Tennessee",18.50%,± 0.1%
"Washington County, Texas",21.70%,± 0.5%
"Washington County, Utah",21.90%,± 0.1%
"Washington County, Vermont",20.50%,± 0.1%
"Washington County, Virginia",24%,± 0.1%
"Washington County, Wisconsin",18.70%,± 0.1%
"Washington Parish, Louisiana",18.50%,± 0.3%
"Washita County, Oklahoma",18.50%,± 0.6%
"Washoe County, Nevada",16.90%,*****
"Washtenaw County, Michigan",14.80%,± 0.1%
"Watauga County, North Carolina",16.20%,± 0.1%
"Watonwan County, Minnesota",20.30%,± 0.6%
"Waukesha County, Wisconsin",19.50%,± 0.1%
"Waupaca County, Wisconsin",20.70%,± 0.1%
"Waushara County, Wisconsin",25.10%,± 0.1%
"Wayne County, Georgia",16.20%,± 0.5%
"Wayne County, Illinois",21.80%,± 0.1%
"Wayne County, Indiana",19.10%,± 0.2%
"Wayne County, Iowa",21.70%,± 0.2%
"Wayne County, Kentucky",21%,± 0.2%
"Wayne County, Michigan",15.80%,± 0.1%
"Wayne County, Mississippi",17.30%,*****
"Wayne County, Missouri",24.60%,± 0.8%
"Wayne County, Nebraska",16.60%,± 0.6%
"Wayne County, New York",19.70%,± 0.1%
"Wayne County, North Carolina",16.60%,± 0.1%
"Wayne County, Ohio",18.20%,± 0.1%
"Wayne County, Pennsylvania",24.60%,± 0.1%
"Wayne County, Tennessee",19%,± 0.3%
"Wayne County, Utah",22.40%,*****
"Wayne County, West Virginia",21.50%,± 0.1%
"Waynesboro city, Virginia",17.40%,± 0.7%
"Weakley County, Tennessee",18.40%,± 0.3%
"Webb County, Texas",9.70%,± 0.1%
"Weber County, Utah",11.90%,± 0.1%
"Webster County, Georgia",17.80%,± 5.1%
"Webster County, Iowa",19.60%,± 0.3%
"Webster County, Kentucky",17.70%,± 0.4%
"Webster County, Mississippi",18.90%,± 0.6%
"Webster County, Missouri",15.60%,± 0.3%
"Webster County, Nebraska",22.60%,± 0.5%
"Webster County, West Virginia",24%,± 0.2%
"Webster Parish, Louisiana",20.20%,± 0.2%
"Weld County, Colorado",12.50%,± 0.1%
"Wells County, Indiana",18.20%,± 0.2%
"Wells County, North Dakota",25.10%,± 1.5%
"West Baton Rouge Parish, Louisiana",14.20%,± 0.1%
"West Carroll Parish, Louisiana",19.60%,± 0.5%
"West Feliciana Parish, Louisiana",16%,± 0.8%
"Westchester County, New York",17.50%,± 0.1%
"Western Connecticut Planning Region, Connecticut",16.20%,± 0.1%
"Westmoreland County, Pennsylvania",23.40%,± 0.1%
"Westmoreland County, Virginia",25.70%,± 0.4%
"Weston County, Wyoming",20.80%,± 0.6%
"Wetzel County, West Virginia",22.80%,± 0.3%
"Wexford County, Michigan",20%,± 0.1%
"Wharton County, Texas",17.20%,± 0.1%
"Whatcom County, Washington",18.10%,± 0.1%
"Wheatland County, Montana",28.80%,± 5.1%
"Wheeler County, Georgia",15.20%,± 0.8%
"Wheeler County, Nebraska",33.10%,± 5.1%
"Wheeler County, Oregon",35.30%,± 5.1%
"Wheeler County, Texas",20%,± 0.9%
"White County, Arkansas",16.50%,± 0.2%
"White County, Georgia",22.90%,± 0.2%
"White County, Illinois",23.30%,± 0.3%
"White County, Indiana",20.30%,± 0.2%
"White County, Tennessee",20.40%,± 0.3%
"White Pine County, Nevada",19.20%,± 0.9%
"Whiteside County, Illinois",21%,± 0.1%
"Whitfield County, Georgia",14.20%,± 0.1%
"Whitley County, Indiana",18.20%,± 0.2%
"Whitley County, Kentucky",15.70%,± 0.1%
"Whitman County, Washington",11.50%,± 0.2%
"Wibaux County, Montana",22.30%,± 5.4%
"Wichita County, Kansas",23.20%,± 4.1%
"Wichita County, Texas",14.90%,± 0.1%
"Wicomico County, Maryland",16.20%,± 0.2%
"Wilbarger County, Texas",17.80%,± 0.9%
"Wilcox County, Alabama",20.80%,*****
"Wilcox County, Georgia",19.20%,± 0.1%
"Wilkes County, Georgia",23.40%,± 0.4%
"Wilkes County, North Carolina",22.30%,± 0.3%
"Wilkin County, Minnesota",18.90%,± 0.3%
"Wilkinson County, Georgia",19.90%,± 0.5%
"Wilkinson County, Mississippi",18.10%,*****
"Will County, Illinois",13.70%,± 0.1%
"Willacy County, Texas",14.60%,*****
"Williams County, North Dakota",9.60%,± 0.8%
"Williams County, Ohio",19.20%,± 0.2%
"Williamsburg city, Virginia",16.80%,± 0.5%
"Williamsburg County, South Carolina",21.40%,± 0.1%
"Williamson County, Illinois",19.20%,± 0.1%
"Williamson County, Tennessee",13.90%,± 0.1%
"Williamson County, Texas",12.60%,± 0.1%
"Wilson County, Kansas",22.30%,± 0.3%
"Wilson County, North Carolina",18.90%,± 0.2%
"Wilson County, Tennessee",15.80%,± 0.1%
"Wilson County, Texas",16.20%,± 0.1%
"Winchester city, Virginia",16.40%,± 0.6%
"Windham County, Vermont",24%,± 0.2%
"Windsor County, Vermont",24.30%,± 0.1%
"Winkler County, Texas",13.60%,± 1%
"Winn Parish, Louisiana",18.60%,± 0.6%
"Winnebago County, Illinois",18%,± 0.1%
"Winnebago County, Iowa",21.30%,± 0.3%
"Winnebago County, Wisconsin",16.70%,± 0.1%
"Winneshiek County, Iowa",22.30%,± 0.4%
"Winona County, Minnesota",17.80%,± 0.1%
"Winston County, Alabama",21.70%,± 0.2%
"Winston County, Mississippi",21.30%,± 0.3%
"Wirt County, West Virginia",21.20%,± 0.6%
"Wise County, Texas",15.20%,± 0.1%
"Wise County, Virginia",19.10%,± 0.2%
"Wolfe County, Kentucky",19.70%,*****
"Wood County, Ohio",15.90%,± 0.1%
"Wood County, Texas",26.90%,± 0.4%
"Wood County, West Virginia",21%,± 0.1%
"Wood County, Wisconsin",21.10%,± 0.1%
"Woodbury County, Iowa",15.40%,± 0.1%
"Woodford County, Illinois",18.40%,± 0.1%
"Woodford County, Kentucky",19.70%,± 0.4%
"Woodruff County, Arkansas",24%,*****
"Woods County, Oklahoma",17.10%,± 0.4%
"Woodson County, Kansas",25%,± 0.6%
"Woodward County, Oklahoma",16%,± 0.4%
"Worcester County, Maryland",28%,± 0.2%
"Worcester County, Massachusetts",16.20%,± 0.1%
"Worth County, Georgia",19.50%,± 0.3%
"Worth County, Iowa",21.60%,± 0.2%
"Worth County, Missouri",25.30%,± 0.6%
"Wrangell City and Borough, Alaska",27%,± 3.8%
"Wright County, Iowa",22.40%,± 0.2%
"Wright County, Minnesota",13%,± 0.1%
"Wright County, Missouri",19.90%,± 0.5%
"Wyandot County, Ohio",19.90%,± 0.3%
"Wyandotte County, Kansas",13%,± 0.1%
"Wyoming County, New York",19.10%,± 0.2%
"Wyoming County, Pennsylvania",21.90%,± 0.1%
"Wyoming County, West Virginia",22.60%,± 0.6%
"Wythe County, Virginia",21.60%,± 0.4%
"Yabucoa Municipio, Puerto Rico",23.10%,*****
"Yadkin County, North Carolina",20.60%,± 0.3%
"Yakima County, Washington",14%,± 0.1%
"Yakutat City and Borough, Alaska",24.60%,± 9.3%
"Yalobusha County, Mississippi",20.90%,± 0.1%
"Yamhill County, Oregon",18%,± 0.1%
"Yancey County, North Carolina",26.20%,± 0.4%
"Yankton County, South Dakota",19.90%,± 0.1%
"Yates County, New York",21.50%,± 0.2%
"Yauco Municipio, Puerto Rico",23.90%,*****
"Yavapai County, Arizona",32.70%,± 0.1%
"Yazoo County, Mississippi",13.20%,*****
"Yell County, Arkansas",17.50%,± 0.4%
"Yellow Medicine County, Minnesota",20.50%,± 0.2%
"Yellowstone County, Montana",17.50%,± 0.1%
"Yoakum County, Texas",10%,± 1%
"Yolo County, California",13%,± 0.1%
"York County, Maine",21.20%,± 0.1%
"York County, Nebraska",20.30%,± 0.3%
"York County, Pennsylvania",18.20%,± 0.1%
"York County, South Carolina",14.70%,± 0.1%
"York County, Virginia",17%,± 0.1%
"Young County, Texas",20.90%,± 0.4%
"Yuba County, California",12.90%,± 0.2%
"Yukon-Koyukuk Census Area, Alaska",16.20%,± 0.4%
"Yuma County, Arizona",19.70%,± 0.1%
"Yuma County, Colorado",18.10%,± 0.7%
"Zapata County, Texas",13.70%,± 0.2%
"Zavala County, Texas",16.10%,± 0.7%
"Ziebach County, South Dakota",10.20%,*****
