Geography,Percent—Total population—AGE—Under 5 years—Estimate,MoE
"Torrance County, New Mexico",4.80%,± 0.1%
"Towner County, North Dakota",6.70%,± 1.9%
"Towns County, Georgia",3.30%,± 0.1%
"Traill County, North Dakota",6%,± 0.4%
"Transylvania County, North Carolina",3.90%,± 0.4%
"Traverse County, Minnesota",6.60%,± 0.7%
"Travis County, Texas",5.70%,± 0.1%
"Treasure County, Montana",4.30%,± 2%
"Trego County, Kansas",5.60%,± 0.9%
"Trempealeau County, Wisconsin",7%,± 0.1%
"Treutlen County, Georgia",5.10%,± 2.7%
"Trigg County, Kentucky",5.60%,± 0.3%
"Trimble County, Kentucky",5%,± 0.2%
"Trinity County, California",3.60%,± 0.5%
"Trinity County, Texas",4.80%,± 0.5%
"Tripp County, South Dakota",6.90%,± 0.1%
"Troup County, Georgia",6.30%,± 0.2%
"Trousdale County, Tennessee",5.30%,± 0.6%
"Trujillo Alto Municipio, Puerto Rico",3.10%,*****
"Trumbull County, Ohio",5.20%,± 0.1%
"Tucker County, West Virginia",3.90%,± 0.2%
"Tulare County, California",7.50%,± 0.1%
"Tulsa County, Oklahoma",6.70%,*****
"Tunica County, Mississippi",8.90%,± 0.8%
"Tuolumne County, California",4.30%,± 0.1%
"Turner County, Georgia",6.80%,± 0.4%
"Turner County, South Dakota",5.80%,± 0.2%
"Tuscaloosa County, Alabama",5.60%,± 0.1%
"Tuscarawas County, Ohio",6.20%,± 0.1%
"Tuscola County, Michigan",5%,± 0.1%
"Twiggs County, Georgia",5.20%,± 1.5%
"Twin Falls County, Idaho",6.60%,± 0.1%
"Tyler County, Texas",3.90%,± 0.3%
"Tyler County, West Virginia",4.70%,± 0.3%
"Tyrrell County, North Carolina",5.30%,± 2.5%
"Uinta County, Wyoming",6.50%,± 0.2%
"Uintah County, Utah",7.90%,± 0.2%
"Ulster County, New York",4.30%,± 0.1%
"Umatilla County, Oregon",6.30%,± 0.1%
"Unicoi County, Tennessee",4.50%,± 0.5%
"Union County, Arkansas",6%,± 0.2%
"Union County, Florida",5.50%,± 0.2%
"Union County, Georgia",3.80%,± 0.3%
"Union County, Illinois",5.40%,± 0.2%
"Union County, Indiana",5.60%,± 0.4%
"Union County, Iowa",5.50%,± 0.6%
"Union County, Kentucky",5.10%,± 0.5%
"Union County, Mississippi",6.40%,± 0.2%
"Union County, New Jersey",6.10%,± 0.1%
"Union County, New Mexico",6.50%,± 1.3%
"Union County, North Carolina",5.40%,± 0.1%
"Union County, Ohio",6.10%,± 0.1%
"Union County, Oregon",5%,± 0.1%
"Union County, Pennsylvania",4.40%,± 0.2%
"Union County, South Carolina",5.50%,± 0.2%
"Union County, South Dakota",5.40%,± 0.3%
"Union County, Tennessee",5.10%,± 0.1%
"Union Parish, Louisiana",5.70%,± 0.5%
"Upshur County, Texas",5.70%,± 0.1%
"Upshur County, West Virginia",5%,± 0.4%
"Upson County, Georgia",5.10%,± 0.6%
"Upton County, Texas",3.20%,± 1.9%
"Utah County, Utah",8.70%,*****
"Utuado Municipio, Puerto Rico",3.40%,*****
"Uvalde County, Texas",7%,± 0.1%
"Val Verde County, Texas",7.90%,± 0.1%
"Valencia County, New Mexico",5.30%,± 0.1%
"Valley County, Idaho",4.30%,*****
"Valley County, Montana",5.60%,± 0.2%
"Valley County, Nebraska",5.50%,± 0.5%
"Van Buren County, Arkansas",4.40%,± 0.3%
"Van Buren County, Iowa",6.10%,± 0.2%
"Van Buren County, Michigan",5.80%,± 0.1%
"Van Buren County, Tennessee",5.50%,± 0.6%
"Van Wert County, Ohio",6.30%,± 0.2%
"Van Zandt County, Texas",5.80%,± 0.2%
"Vance County, North Carolina",6.50%,± 0.3%
"Vanderburgh County, Indiana",5.80%,± 0.1%
"Vega Alta Municipio, Puerto Rico",3.60%,*****
"Vega Baja Municipio, Puerto Rico",3.80%,*****
"Venango County, Pennsylvania",4.90%,± 0.1%
"Ventura County, California",5.40%,± 0.1%
"Vermilion County, Illinois",6.10%,± 0.1%
"Vermilion Parish, Louisiana",6.30%,± 0.2%
"Vermillion County, Indiana",5%,± 0.1%
"Vernon County, Missouri",5.90%,± 0.2%
"Vernon County, Wisconsin",6.80%,± 0.2%
"Vernon Parish, Louisiana",8%,± 0.1%
"Victoria County, Texas",6.60%,± 0.1%
"Vieques Municipio, Puerto Rico",3.90%,*****
"Vigo County, Indiana",5.40%,± 0.1%
"Vilas County, Wisconsin",3.90%,± 0.2%
"Villalba Municipio, Puerto Rico",4.20%,*****
"Vinton County, Ohio",5.70%,± 0.4%
"Virginia Beach city, Virginia",6%,± 0.1%
"Volusia County, Florida",4.50%,± 0.1%
"Wabash County, Illinois",5.60%,± 0.4%
"Wabash County, Indiana",5.10%,± 0.1%
"Wabasha County, Minnesota",5.30%,± 0.2%
"Wabaunsee County, Kansas",5.40%,± 0.4%
"Wadena County, Minnesota",6.60%,± 0.1%
"Wagoner County, Oklahoma",5.60%,*****
"Wahkiakum County, Washington",3.30%,± 0.9%
"Wake County, North Carolina",5.80%,± 0.1%
"Wakulla County, Florida",4.80%,± 0.4%
"Waldo County, Maine",4.40%,± 0.1%
"Walker County, Alabama",5.70%,± 0.1%
"Walker County, Georgia",5.30%,± 0.3%
"Walker County, Texas",3.90%,± 0.1%
"Walla Walla County, Washington",5%,± 0.1%
"Wallace County, Kansas",7.80%,± 1.9%
"Waller County, Texas",6.20%,± 0.1%
"Wallowa County, Oregon",5%,± 0.4%
"Walsh County, North Dakota",6%,± 0.2%
"Walthall County, Mississippi",5.50%,± 0.1%
"Walton County, Florida",5.70%,± 0.2%
"Walton County, Georgia",5.80%,± 0.1%
"Walworth County, South Dakota",6.80%,± 0.1%
"Walworth County, Wisconsin",4.60%,± 0.1%
"Wapello County, Iowa",6.20%,± 0.1%
"Ward County, North Dakota",7.20%,± 0.1%
"Ward County, Texas",7.60%,± 0.3%
"Ware County, Georgia",6.50%,± 0.3%
"Warren County, Georgia",5.30%,*****
"Warren County, Illinois",5.20%,± 0.4%
"Warren County, Indiana",5%,± 0.2%
"Warren County, Iowa",5.70%,± 0.1%
"Warren County, Kentucky",6.30%,± 0.1%
"Warren County, Mississippi",6.10%,± 0.2%
"Warren County, Missouri",5.70%,± 0.2%
"Warren County, New Jersey",4.60%,± 0.1%
"Warren County, New York",4.20%,± 0.1%
"Warren County, North Carolina",4.20%,± 0.3%
"Warren County, Ohio",5.50%,*****
"Warren County, Pennsylvania",5.20%,± 0.1%
"Warren County, Tennessee",5.80%,± 0.2%
"Warren County, Virginia",5.50%,± 0.3%
"Warrick County, Indiana",5.70%,± 0.3%
"Wasatch County, Utah",7.10%,± 0.3%
"Wasco County, Oregon",5.60%,± 0.2%
"Waseca County, Minnesota",5.80%,± 0.3%
"Washakie County, Wyoming",4.30%,± 0.7%
"Washburn County, Wisconsin",4%,± 0.1%
"Washington County, Alabama",5.50%,± 0.2%
"Washington County, Arkansas",6.30%,*****
"Washington County, Colorado",4.50%,± 0.4%
"Washington County, Florida",4.10%,± 0.3%
"Washington County, Georgia",5.40%,± 0.2%
"Washington County, Idaho",5.30%,± 0.6%
"Washington County, Illinois",5.10%,± 0.1%
"Washington County, Indiana",5.60%,± 0.2%
"Washington County, Iowa",6.30%,± 0.1%
"Washington County, Kansas",6.80%,± 0.5%
"Washington County, Kentucky",6%,± 0.1%
"Washington County, Maine",4.70%,± 0.1%
"Washington County, Maryland",5.50%,± 0.1%
"Washington County, Minnesota",5.70%,± 0.1%
"Washington County, Mississippi",6.80%,± 0.1%
"Washington County, Missouri",5.50%,± 0.2%
"Washington County, Nebraska",5.50%,± 0.4%
"Washington County, New York",4.50%,± 0.1%
"Washington County, North Carolina",2.80%,± 1.7%
"Washington County, Ohio",4.90%,± 0.1%
"Washington County, Oklahoma",6%,± 0.1%
"Washington County, Oregon",5.50%,± 0.1%
"Washington County, Pennsylvania",4.90%,± 0.1%
"Washington County, Rhode Island",3.50%,± 0.1%
"Washington County, Tennessee",4.70%,± 0.1%
"Washington County, Texas",5.30%,± 0.7%
"Washington County, Utah",6%,± 0.1%
"Washington County, Vermont",4.30%,± 0.1%
"Washington County, Virginia",3.90%,± 0.1%
"Washington County, Wisconsin",4.90%,± 0.1%
"Washington Parish, Louisiana",6.20%,± 0.4%
"Washita County, Oklahoma",6%,± 0.4%
"Washoe County, Nevada",5.50%,*****
"Washtenaw County, Michigan",4.70%,± 0.1%
"Watauga County, North Carolina",3%,± 0.1%
"Watonwan County, Minnesota",7.20%,± 0.2%
"Waukesha County, Wisconsin",5%,± 0.1%
"Waupaca County, Wisconsin",5%,± 0.2%
"Waushara County, Wisconsin",4.50%,± 0.1%
"Wayne County, Georgia",5.60%,± 0.2%
"Wayne County, Illinois",5.80%,± 0.2%
"Wayne County, Indiana",6.10%,± 0.2%
"Wayne County, Iowa",7%,± 0.3%
"Wayne County, Kentucky",5.40%,± 0.5%
"Wayne County, Michigan",6.40%,± 0.1%
"Wayne County, Mississippi",6.60%,*****
"Wayne County, Missouri",4.50%,± 0.1%
"Wayne County, Nebraska",4.80%,± 0.3%
"Wayne County, New York",5.40%,± 0.1%
"Wayne County, North Carolina",6.30%,± 0.1%
"Wayne County, Ohio",6.30%,± 0.1%
"Wayne County, Pennsylvania",4.10%,± 0.1%
"Wayne County, Tennessee",4.70%,± 1%
"Wayne County, Utah",6.10%,*****
"Wayne County, West Virginia",4.90%,± 0.3%
"Waynesboro city, Virginia",6.30%,± 0.3%
"Weakley County, Tennessee",4.70%,± 0.2%
"Webb County, Texas",8.50%,± 0.1%
"Weber County, Utah",7%,± 0.1%
"Webster County, Georgia",2.40%,± 2.1%
"Webster County, Iowa",5.70%,± 0.1%
"Webster County, Kentucky",6%,± 0.3%
"Webster County, Mississippi",6.30%,± 0.7%
"Webster County, Missouri",7.20%,± 0.2%
"Webster County, Nebraska",5.40%,± 0.4%
"Webster County, West Virginia",4.50%,± 0.4%
"Webster Parish, Louisiana",5.80%,± 0.1%
"Weld County, Colorado",6.90%,± 0.1%
"Wells County, Indiana",6.20%,± 0.3%
"Wells County, North Dakota",5.60%,± 1%
"West Baton Rouge Parish, Louisiana",6.50%,± 0.1%
"West Carroll Parish, Louisiana",5.40%,± 0.9%
"West Feliciana Parish, Louisiana",3.90%,*****
"Westchester County, New York",5.30%,± 0.1%
"Western Connecticut Planning Region, Connecticut",5.30%,± 0.1%
"Westmoreland County, Pennsylvania",4.30%,± 0.1%
"Westmoreland County, Virginia",4.80%,± 0.3%
"Weston County, Wyoming",3.90%,± 0.1%
"Wetzel County, West Virginia",5.90%,± 0.5%
"Wexford County, Michigan",5.80%,± 0.1%
"Wharton County, Texas",6.80%,± 0.1%
"Whatcom County, Washington",4.80%,± 0.1%
"Wheatland County, Montana",2.90%,± 1.5%
"Wheeler County, Georgia",2.90%,± 0.7%
"Wheeler County, Nebraska",11%,± 2.7%
"Wheeler County, Oregon",6.60%,± 2.4%
"Wheeler County, Texas",6%,± 1%
"White County, Arkansas",5.70%,± 0.1%
"White County, Georgia",4.90%,± 0.5%
"White County, Illinois",5%,± 0.2%
"White County, Indiana",5.90%,± 0.1%
"White County, Tennessee",5.80%,± 0.3%
"White Pine County, Nevada",4.60%,± 0.7%
"Whiteside County, Illinois",5.40%,± 0.2%
"Whitfield County, Georgia",6.30%,± 0.1%
"Whitley County, Indiana",5.90%,± 0.3%
"Whitley County, Kentucky",7.10%,± 0.2%
"Whitman County, Washington",4.10%,± 0.1%
"Wibaux County, Montana",8.20%,± 3%
"Wichita County, Kansas",8.40%,± 2%
"Wichita County, Texas",6.10%,± 0.1%
"Wicomico County, Maryland",6%,± 0.1%
"Wilbarger County, Texas",6.60%,± 2.1%
"Wilcox County, Alabama",6.30%,*****
"Wilcox County, Georgia",4.60%,± 0.5%
"Wilkes County, Georgia",5.40%,± 0.6%
"Wilkes County, North Carolina",4.90%,± 0.1%
"Wilkin County, Minnesota",5.80%,± 0.5%
"Wilkinson County, Georgia",5.60%,± 0.1%
"Wilkinson County, Mississippi",5%,± 1.2%
"Will County, Illinois",5.50%,± 0.1%
"Willacy County, Texas",6.10%,± 0.2%
"Williams County, North Dakota",8.90%,± 0.7%
"Williams County, Ohio",5.70%,± 0.2%
"Williamsburg city, Virginia",2.30%,± 0.8%
"Williamsburg County, South Carolina",4.70%,± 0.1%
"Williamson County, Illinois",5.60%,± 0.1%
"Williamson County, Tennessee",5.50%,*****
"Williamson County, Texas",6.10%,± 0.1%
"Wilson County, Kansas",5.90%,± 0.2%
"Wilson County, North Carolina",5.80%,± 0.1%
"Wilson County, Tennessee",5.80%,± 0.1%
"Wilson County, Texas",5.60%,± 0.1%
"Winchester city, Virginia",5.90%,± 0.4%
"Windham County, Vermont",4%,± 0.2%
"Windsor County, Vermont",4.20%,± 0.1%
"Winkler County, Texas",6.80%,± 0.1%
"Winn Parish, Louisiana",5.30%,± 0.1%
"Winnebago County, Illinois",6.20%,± 0.1%
"Winnebago County, Iowa",4.90%,± 0.2%
"Winnebago County, Wisconsin",5.20%,± 0.1%
"Winneshiek County, Iowa",4.70%,± 0.2%
"Winona County, Minnesota",4.60%,± 0.1%
"Winston County, Alabama",5.20%,± 0.3%
"Winston County, Mississippi",5.30%,± 0.1%
"Wirt County, West Virginia",4.80%,± 0.2%
"Wise County, Texas",5.90%,± 0.1%
"Wise County, Virginia",4.50%,± 0.1%
"Wolfe County, Kentucky",6.30%,*****
"Wood County, Ohio",5.10%,± 0.1%
"Wood County, Texas",4.60%,± 0.1%
"Wood County, West Virginia",5.30%,± 0.1%
"Wood County, Wisconsin",5.50%,*****
"Woodbury County, Iowa",6.80%,± 0.1%
"Woodford County, Illinois",5.80%,± 0.1%
"Woodford County, Kentucky",6.10%,± 0.7%
"Woodruff County, Arkansas",5.80%,*****
"Woods County, Oklahoma",5.40%,± 0.8%
"Woodson County, Kansas",5.70%,± 1.2%
"Woodward County, Oklahoma",6.30%,± 0.2%
"Worcester County, Maryland",4%,± 0.1%
"Worcester County, Massachusetts",5.20%,± 0.1%
"Worth County, Georgia",5.80%,± 0.3%
"Worth County, Iowa",5.40%,± 0.2%
"Worth County, Missouri",5.40%,± 0.3%
"Wrangell City and Borough, Alaska",6.40%,± 1.6%
"Wright County, Iowa",6.20%,± 0.1%
"Wright County, Minnesota",6.70%,± 0.1%
"Wright County, Missouri",6.90%,± 0.2%
"Wyandot County, Ohio",5.20%,± 0.2%
"Wyandotte County, Kansas",7.50%,± 0.1%
"Wyoming County, New York",4.80%,± 0.3%
"Wyoming County, Pennsylvania",4.60%,± 0.1%
"Wyoming County, West Virginia",4.80%,± 0.5%
"Wythe County, Virginia",4.90%,± 0.3%
"Yabucoa Municipio, Puerto Rico",3.20%,*****
"Yadkin County, North Carolina",4.90%,± 0.1%
"Yakima County, Washington",7.50%,*****
"Yakutat City and Borough, Alaska",7.60%,± 3.6%
"Yalobusha County, Mississippi",6%,± 0.1%
"Yamhill County, Oregon",5.20%,± 0.1%
"Yancey County, North Carolina",5%,± 0.4%
"Yankton County, South Dakota",5.50%,± 0.5%
"Yates County, New York",6%,± 0.1%
"Yauco Municipio, Puerto Rico",3.30%,*****
"Yavapai County, Arizona",3.80%,± 0.1%
"Yazoo County, Mississippi",5.40%,*****
"Yell County, Arkansas",6.20%,± 0.3%
"Yellow Medicine County, Minnesota",6%,± 0.2%
"Yellowstone County, Montana",5.80%,± 0.1%
"Yoakum County, Texas",8.80%,± 0.4%
"Yolo County, California",5.10%,± 0.1%
"York County, Maine",4.50%,± 0.1%
"York County, Nebraska",6.50%,± 0.3%
"York County, Pennsylvania",5.40%,± 0.1%
"York County, South Carolina",5.60%,± 0.1%
"York County, Virginia",5.30%,± 0.1%
"Young County, Texas",5.50%,± 0.1%
"Yuba County, California",7.40%,± 0.1%
"Yukon-Koyukuk Census Area, Alaska",7.30%,± 0.5%
"Yuma County, Arizona",6.90%,± 0.1%
"Yuma County, Colorado",6.90%,± 0.1%
"Zapata County, Texas",8.20%,± 0.3%
"Zavala County, Texas",7.20%,± 0.3%
"Ziebach County, South Dakota",7.90%,± 1.3%
