Geography,Percent occupied housing units—Occupied housing units—VEHICLES AVAILABLE—No vehicle available—Estimate,MoE
"Toa Alta Municipio, Puerto Rico",6.40%,± 1.1%
"Toa Baja Municipio, Puerto Rico",9.10%,± 1.2%
"Todd County, Kentucky",9.30%,± 2.9%
"Todd County, Minnesota",6.10%,± 1.3%
"Todd County, South Dakota",16.90%,± 3.7%
"Tom Green County, Texas",4.70%,± 0.9%
"Tompkins County, New York",13.30%,± 1.3%
"Tooele County, Utah",3.80%,± 1.3%
"Toole County, Montana",6.80%,± 3.2%
"Toombs County, Georgia",10.30%,± 3%
"Torrance County, New Mexico",5%,± 1.6%
"Towner County, North Dakota",3.30%,± 1.8%
"Towns County, Georgia",3.40%,± 1.5%
"Traill County, North Dakota",5.80%,± 2.3%
"Transylvania County, North Carolina",4.60%,± 1.6%
"Traverse County, Minnesota",5.20%,± 2.3%
"Travis County, Texas",5.50%,± 0.3%
"Treasure County, Montana",5.10%,± 4.2%
"Trego County, Kansas",2.80%,± 1.7%
"Trempealeau County, Wisconsin",4.80%,± 1%
"Treutlen County, Georgia",9.90%,± 3.6%
"Trigg County, Kentucky",7%,± 2%
"Trimble County, Kentucky",5.30%,± 2.7%
"Trinity County, California",4.40%,± 1.9%
"Trinity County, Texas",9.70%,± 2.7%
"Tripp County, South Dakota",5.60%,± 3.1%
"Troup County, Georgia",9.20%,± 1.6%
"Trousdale County, Tennessee",2.30%,± 2%
"Trujillo Alto Municipio, Puerto Rico",10.40%,± 1.6%
"Trumbull County, Ohio",8%,± 0.8%
"Tucker County, West Virginia",9.80%,± 2.5%
"Tulare County, California",4.70%,± 0.5%
"Tulsa County, Oklahoma",6.20%,± 0.3%
"Tunica County, Mississippi",9.50%,± 4.1%
"Tuolumne County, California",5.50%,± 1.8%
"Turner County, Georgia",9.50%,± 3.9%
"Turner County, South Dakota",2.40%,± 0.9%
"Tuscaloosa County, Alabama",5.70%,± 0.7%
"Tuscarawas County, Ohio",7.10%,± 1%
"Tuscola County, Michigan",5.20%,± 0.9%
"Twiggs County, Georgia",7.80%,± 3.3%
"Twin Falls County, Idaho",3.50%,± 0.8%
"Tyler County, Texas",7%,± 2.1%
"Tyler County, West Virginia",7.30%,± 3.4%
"Tyrrell County, North Carolina",7.60%,± 4.6%
"Uinta County, Wyoming",3.70%,± 1.9%
"Uintah County, Utah",3.10%,± 1.1%
"Ulster County, New York",7.20%,± 0.8%
"Umatilla County, Oregon",5.50%,± 1.3%
"Unicoi County, Tennessee",5.50%,± 2.3%
"Union County, Arkansas",5.20%,± 1.2%
"Union County, Florida",3.70%,± 1.8%
"Union County, Georgia",5%,± 2.2%
"Union County, Illinois",9.90%,± 3.2%
"Union County, Indiana",4.10%,± 2%
"Union County, Iowa",6.30%,± 2.1%
"Union County, Kentucky",5.10%,± 2.4%
"Union County, Mississippi",4.10%,± 1.5%
"Union County, New Jersey",10.60%,± 0.6%
"Union County, New Mexico",7.90%,± 4.1%
"Union County, North Carolina",2.70%,± 0.5%
"Union County, Ohio",2.90%,± 0.8%
"Union County, Oregon",7.40%,± 1.5%
"Union County, Pennsylvania",9.20%,± 2.1%
"Union County, South Carolina",9%,± 2%
"Union County, South Dakota",2.50%,± 1.3%
"Union County, Tennessee",3.20%,± 1.2%
"Union Parish, Louisiana",6.40%,± 2.5%
"Upshur County, Texas",3.90%,± 1.2%
"Upshur County, West Virginia",9.30%,± 2.3%
"Upson County, Georgia",11.90%,± 2.9%
"Upton County, Texas",6%,± 3.3%
"Utah County, Utah",2.50%,± 0.3%
"Utuado Municipio, Puerto Rico",16%,± 2.3%
"Uvalde County, Texas",7.20%,± 2.5%
"Val Verde County, Texas",4.80%,± 1.4%
"Valencia County, New Mexico",2.70%,± 0.8%
"Valley County, Idaho",3.90%,± 2.9%
"Valley County, Montana",4.60%,± 2.1%
"Valley County, Nebraska",4.20%,± 1.7%
"Van Buren County, Arkansas",6.40%,± 2.2%
"Van Buren County, Iowa",7.60%,± 2%
"Van Buren County, Michigan",5.50%,± 0.9%
"Van Buren County, Tennessee",11.30%,± 4.3%
"Van Wert County, Ohio",4.20%,± 1.1%
"Van Zandt County, Texas",2.90%,± 0.7%
"Vance County, North Carolina",7.80%,± 2%
"Vanderburgh County, Indiana",8%,± 0.7%
"Vega Alta Municipio, Puerto Rico",13.50%,± 2.3%
"Vega Baja Municipio, Puerto Rico",13.10%,± 1.7%
"Venango County, Pennsylvania",7.30%,± 1.1%
"Ventura County, California",4.20%,± 0.4%
"Vermilion County, Illinois",8.90%,± 1.3%
"Vermilion Parish, Louisiana",9.10%,± 1.5%
"Vermillion County, Indiana",4%,± 1.4%
"Vernon County, Missouri",8.40%,± 2.2%
"Vernon County, Wisconsin",8.40%,± 1.1%
"Vernon Parish, Louisiana",8%,± 1.2%
"Victoria County, Texas",7.20%,± 1.3%
"Vieques Municipio, Puerto Rico",14.40%,± 6.3%
"Vigo County, Indiana",7.10%,± 1.1%
"Vilas County, Wisconsin",4.40%,± 0.9%
"Villalba Municipio, Puerto Rico",12.30%,± 2.8%
"Vinton County, Ohio",4.50%,± 1.8%
"Virginia Beach city, Virginia",4.30%,± 0.4%
"Volusia County, Florida",5.60%,± 0.4%
"Wabash County, Illinois",10.50%,± 3%
"Wabash County, Indiana",4.40%,± 1.2%
"Wabasha County, Minnesota",4.70%,± 1.2%
"Wabaunsee County, Kansas",2.30%,± 1.1%
"Wadena County, Minnesota",9.10%,± 2.7%
"Wagoner County, Oklahoma",2.60%,± 0.5%
"Wahkiakum County, Washington",3.40%,± 2.2%
"Wake County, North Carolina",4%,± 0.2%
"Wakulla County, Florida",3.40%,± 1.3%
"Waldo County, Maine",5.80%,± 1.6%
"Walker County, Alabama",4.70%,± 1%
"Walker County, Georgia",5.30%,± 1.1%
"Walker County, Texas",6.70%,± 1.5%
"Walla Walla County, Washington",6.20%,± 1.3%
"Wallace County, Kansas",4.10%,± 2.4%
"Waller County, Texas",3.60%,± 1.6%
"Wallowa County, Oregon",5%,± 1.8%
"Walsh County, North Dakota",4.80%,± 1.7%
"Walthall County, Mississippi",5.50%,± 2.5%
"Walton County, Florida",3.90%,± 1.2%
"Walton County, Georgia",2.60%,± 0.6%
"Walworth County, South Dakota",2.90%,± 1.6%
"Walworth County, Wisconsin",3.60%,± 0.6%
"Wapello County, Iowa",7.40%,± 1.6%
"Ward County, North Dakota",4.30%,± 1%
"Ward County, Texas",3.90%,± 2%
"Ware County, Georgia",10.90%,± 3%
"Warren County, Georgia",7.10%,± 2.8%
"Warren County, Illinois",5.60%,± 1.6%
"Warren County, Indiana",2.90%,± 1.8%
"Warren County, Iowa",2.40%,± 0.6%
"Warren County, Kentucky",6.70%,± 1%
"Warren County, Mississippi",6.50%,± 1.4%
"Warren County, Missouri",2.50%,± 1%
"Warren County, New Jersey",6.30%,± 0.9%
"Warren County, New York",8.50%,± 1.3%
"Warren County, North Carolina",10.40%,± 2.5%
"Warren County, Ohio",2.60%,± 0.4%
"Warren County, Pennsylvania",6.70%,± 1.1%
"Warren County, Tennessee",5.10%,± 1%
"Warren County, Virginia",5.50%,± 1.4%
"Warrick County, Indiana",1.90%,± 0.5%
"Wasatch County, Utah",2.40%,± 1%
"Wasco County, Oregon",6.60%,± 1.8%
"Waseca County, Minnesota",3.30%,± 1.5%
"Washakie County, Wyoming",4.70%,± 2.6%
"Washburn County, Wisconsin",3.60%,± 0.8%
"Washington County, Alabama",4.10%,± 1.9%
"Washington County, Arkansas",4.60%,± 0.7%
"Washington County, Colorado",3.80%,± 1.6%
"Washington County, Florida",2.90%,± 1.2%
"Washington County, Georgia",8.50%,± 1.9%
"Washington County, Idaho",5.90%,± 2.4%
"Washington County, Illinois",3.10%,± 0.9%
"Washington County, Indiana",6.10%,± 1.5%
"Washington County, Iowa",4.60%,± 1.1%
"Washington County, Kansas",3%,± 1.3%
"Washington County, Kentucky",6.80%,± 2.5%
"Washington County, Maine",7.40%,± 1.1%
"Washington County, Maryland",7.90%,± 0.9%
"Washington County, Minnesota",4.10%,± 0.4%
"Washington County, Mississippi",12.40%,± 1.9%
"Washington County, Missouri",9.40%,± 2.3%
"Washington County, Nebraska",2.70%,± 1.1%
"Washington County, New York",8.80%,± 1.5%
"Washington County, North Carolina",18.20%,± 5%
"Washington County, Ohio",5.20%,± 0.9%
"Washington County, Oklahoma",4.70%,± 0.8%
"Washington County, Oregon",5.60%,± 0.5%
"Washington County, Pennsylvania",7.40%,± 0.7%
"Washington County, Rhode Island",4.40%,± 0.7%
"Washington County, Tennessee",5.50%,± 0.7%
"Washington County, Texas",6%,± 2.1%
"Washington County, Utah",3%,± 0.5%
"Washington County, Vermont",7.70%,± 1.4%
"Washington County, Virginia",4.40%,± 0.9%
"Washington County, Wisconsin",3.50%,± 0.7%
"Washington Parish, Louisiana",10.10%,± 2.1%
"Washita County, Oklahoma",3.50%,± 1.3%
"Washoe County, Nevada",6.50%,± 0.4%
"Washtenaw County, Michigan",8.10%,± 0.5%
"Watauga County, North Carolina",3.40%,± 1.2%
"Watonwan County, Minnesota",6.50%,± 2.1%
"Waukesha County, Wisconsin",3.30%,± 0.3%
"Waupaca County, Wisconsin",4.50%,± 1.1%
"Waushara County, Wisconsin",4.90%,± 0.9%
"Wayne County, Georgia",6.80%,± 1.9%
"Wayne County, Illinois",8%,± 2.4%
"Wayne County, Indiana",8.10%,± 1.1%
"Wayne County, Iowa",7.50%,± 1.6%
"Wayne County, Kentucky",6%,± 2.4%
"Wayne County, Michigan",12.10%,± 0.3%
"Wayne County, Mississippi",6.50%,± 3%
"Wayne County, Missouri",5.50%,± 2.1%
"Wayne County, Nebraska",4.90%,± 2.9%
"Wayne County, New York",7.30%,± 1%
"Wayne County, North Carolina",7%,± 0.9%
"Wayne County, Ohio",10%,± 1%
"Wayne County, Pennsylvania",6.40%,± 1.3%
"Wayne County, Tennessee",6.60%,± 2.2%
"Wayne County, Utah",1.70%,± 1.4%
"Wayne County, West Virginia",8.60%,± 1.5%
"Waynesboro city, Virginia",7.80%,± 2%
"Weakley County, Tennessee",6.70%,± 1.5%
"Webb County, Texas",6.20%,± 0.7%
"Weber County, Utah",4.50%,± 0.5%
"Webster County, Georgia",4.90%,± 4.3%
"Webster County, Iowa",6.80%,± 1.3%
"Webster County, Kentucky",5.30%,± 2.1%
"Webster County, Mississippi",6.90%,± 2.5%
"Webster County, Missouri",5.50%,± 1.3%
"Webster County, Nebraska",2.80%,± 1.4%
"Webster County, West Virginia",13.10%,± 4.4%
"Webster Parish, Louisiana",8.70%,± 2%
"Weld County, Colorado",3.50%,± 0.5%
"Wells County, Indiana",3.20%,± 1%
"Wells County, North Dakota",6.20%,± 2.2%
"West Baton Rouge Parish, Louisiana",5.40%,± 1.7%
"West Carroll Parish, Louisiana",3.60%,± 1.5%
"West Feliciana Parish, Louisiana",3.90%,± 2.9%
"Westchester County, New York",14.20%,± 0.5%
"Western Connecticut Planning Region, Connecticut",5.80%,± 0.4%
"Westmoreland County, Pennsylvania",7%,± 0.5%
"Westmoreland County, Virginia",6.10%,± 2.1%
"Weston County, Wyoming",3.40%,± 2.5%
"Wetzel County, West Virginia",6.20%,± 1.7%
"Wexford County, Michigan",5.40%,± 1%
"Wharton County, Texas",6.40%,± 1.7%
"Whatcom County, Washington",6.10%,± 0.6%
"Wheatland County, Montana",2.50%,± 2.2%
"Wheeler County, Georgia",7.10%,± 4.2%
"Wheeler County, Nebraska",1.70%,± 1.6%
"Wheeler County, Oregon",3.20%,± 2.8%
"Wheeler County, Texas",7%,± 4.5%
"White County, Arkansas",6.30%,± 1.3%
"White County, Georgia",4.30%,± 1.4%
"White County, Illinois",7.30%,± 2%
"White County, Indiana",2.50%,± 1.1%
"White County, Tennessee",4.10%,± 1.4%
"White Pine County, Nevada",1.90%,± 1.5%
"Whiteside County, Illinois",5.20%,± 0.9%
"Whitfield County, Georgia",5.10%,± 1.1%
"Whitley County, Indiana",3.70%,± 1.1%
"Whitley County, Kentucky",8.60%,± 2.2%
"Whitman County, Washington",9%,± 1.5%
"Wibaux County, Montana",2.60%,± 1.9%
"Wichita County, Kansas",1.50%,± 2.1%
"Wichita County, Texas",6.60%,± 0.9%
"Wicomico County, Maryland",7.40%,± 1.1%
"Wilbarger County, Texas",5.50%,± 2.5%
"Wilcox County, Alabama",13.60%,± 3.3%
"Wilcox County, Georgia",6.50%,± 3%
"Wilkes County, Georgia",4.60%,± 1.9%
"Wilkes County, North Carolina",5.70%,± 1.1%
"Wilkin County, Minnesota",5.20%,± 2.2%
"Wilkinson County, Georgia",5%,± 1.7%
"Wilkinson County, Mississippi",6.80%,± 2.7%
"Will County, Illinois",3.50%,± 0.3%
"Willacy County, Texas",5.60%,± 2.6%
"Williams County, North Dakota",6.50%,± 3.2%
"Williams County, Ohio",4.50%,± 1.2%
"Williamsburg city, Virginia",7.10%,± 2.3%
"Williamsburg County, South Carolina",14.20%,± 2.8%
"Williamson County, Illinois",7.10%,± 1.3%
"Williamson County, Tennessee",2.20%,± 0.4%
"Williamson County, Texas",2.60%,± 0.2%
"Wilson County, Kansas",5.40%,± 1.4%
"Wilson County, North Carolina",9.20%,± 1.4%
"Wilson County, Tennessee",2.40%,± 0.5%
"Wilson County, Texas",2.20%,± 0.8%
"Winchester city, Virginia",10%,± 3%
"Windham County, Vermont",6.10%,± 1.5%
"Windsor County, Vermont",5.10%,± 1.3%
"Winkler County, Texas",5.60%,± 3.9%
"Winn Parish, Louisiana",9.40%,± 2.8%
"Winnebago County, Illinois",8.70%,± 0.7%
"Winnebago County, Iowa",4.60%,± 1.4%
"Winnebago County, Wisconsin",5.20%,± 0.6%
"Winneshiek County, Iowa",4.40%,± 1.3%
"Winona County, Minnesota",7.30%,± 1.1%
"Winston County, Alabama",5.30%,± 1.8%
"Winston County, Mississippi",7%,± 2.4%
"Wirt County, West Virginia",9.10%,± 3.1%
"Wise County, Texas",1.60%,± 0.5%
"Wise County, Virginia",9.70%,± 1.3%
"Wolfe County, Kentucky",16.30%,± 6%
"Wood County, Ohio",4.30%,± 0.6%
"Wood County, Texas",5.50%,± 1.4%
"Wood County, West Virginia",8.40%,± 1.2%
"Wood County, Wisconsin",4.80%,± 0.8%
"Woodbury County, Iowa",6.20%,± 1%
"Woodford County, Illinois",3.40%,± 0.9%
"Woodford County, Kentucky",3.70%,± 1.3%
"Woodruff County, Arkansas",10.90%,± 3%
"Woods County, Oklahoma",9.70%,± 4.4%
"Woodson County, Kansas",5%,± 2.4%
"Woodward County, Oklahoma",3.80%,± 1.7%
"Worcester County, Maryland",5.60%,± 1%
"Worcester County, Massachusetts",8.70%,± 0.4%
"Worth County, Georgia",7.80%,± 1.9%
"Worth County, Iowa",4.80%,± 1.3%
"Worth County, Missouri",8.50%,± 4.6%
"Wrangell City and Borough, Alaska",6.30%,± 2.6%
"Wright County, Iowa",8%,± 2%
"Wright County, Minnesota",2.80%,± 0.5%
"Wright County, Missouri",6.50%,± 1.6%
"Wyandot County, Ohio",4.60%,± 1.3%
"Wyandotte County, Kansas",8%,± 0.9%
"Wyoming County, New York",7.70%,± 1.5%
"Wyoming County, Pennsylvania",5.40%,± 1.2%
"Wyoming County, West Virginia",10.40%,± 3%
"Wythe County, Virginia",8.40%,± 1.9%
"Yabucoa Municipio, Puerto Rico",14.50%,± 2.2%
"Yadkin County, North Carolina",4.60%,± 1.3%
"Yakima County, Washington",5.30%,± 0.7%
"Yakutat City and Borough, Alaska",12.60%,± 7.3%
"Yalobusha County, Mississippi",6.10%,± 2%
"Yamhill County, Oregon",5.50%,± 0.9%
"Yancey County, North Carolina",4.20%,± 1.3%
"Yankton County, South Dakota",5%,± 1.6%
"Yates County, New York",13%,± 2%
"Yauco Municipio, Puerto Rico",11.30%,± 1.8%
"Yavapai County, Arizona",3.90%,± 0.6%
"Yazoo County, Mississippi",11.10%,± 2.2%
"Yell County, Arkansas",5.80%,± 1.7%
"Yellow Medicine County, Minnesota",5.40%,± 1.5%
"Yellowstone County, Montana",4.60%,± 0.7%
"Yoakum County, Texas",2.40%,± 2.6%
"Yolo County, California",7.80%,± 0.7%
"York County, Maine",5.20%,± 0.8%
"York County, Nebraska",2.80%,± 1.2%
"York County, Pennsylvania",5.60%,± 0.4%
"York County, South Carolina",3.70%,± 0.5%
"York County, Virginia",3.90%,± 0.9%
"Young County, Texas",5.10%,± 2%
"Yuba County, California",6.40%,± 1.4%
"Yukon-Koyukuk Census Area, Alaska",46.90%,± 3.5%
"Yuma County, Arizona",5.30%,± 0.6%
"Yuma County, Colorado",2.70%,± 1.4%
"Zapata County, Texas",9.70%,± 3.7%
"Zavala County, Texas",4.90%,± 2.6%
"Ziebach County, South Dakota",11.40%,± 3.9%
