Geography,Total—AGE OF OWN CHILDREN—Households with own children of the householder under 18 years—Under 6 years and 6 to 17 years—Estimate,MoE
"Tishomingo County, Mississippi",14.10%,± 5.1%
"Titus County, Texas",27%,± 5.6%
"Toa Alta Municipio, Puerto Rico",11.80%,± 3.6%
"Toa Baja Municipio, Puerto Rico",14.10%,± 3%
"Todd County, Kentucky",32.50%,± 10%
"Todd County, Minnesota",23%,± 3.3%
"Todd County, South Dakota",32.10%,± 7.8%
"Tom Green County, Texas",21.60%,± 3.2%
"Tompkins County, New York",20.20%,± 3.5%
"Tooele County, Utah",22.80%,± 3.7%
"Toole County, Montana",27.60%,± 10.4%
"Toombs County, Georgia",20.50%,± 6%
"Torrance County, New Mexico",16.30%,± 7%
"Towner County, North Dakota",21.90%,± 9.5%
"Towns County, Georgia",24.30%,± 11.7%
"Traill County, North Dakota",19.80%,± 5.1%
"Transylvania County, North Carolina",23.70%,± 6%
"Traverse County, Minnesota",25.70%,± 7.8%
"Travis County, Texas",18.10%,± 1.1%
"Treasure County, Montana",21.40%,± 17.3%
"Trego County, Kansas",9.30%,± 8.6%
"Trempealeau County, Wisconsin",18.80%,± 2.6%
"Treutlen County, Georgia",24.10%,± 16.8%
"Trigg County, Kentucky",20.50%,± 8%
"Trimble County, Kentucky",13.10%,± 9.4%
"Trinity County, California",23.60%,± 13.8%
"Trinity County, Texas",23.10%,± 7.5%
"Tripp County, South Dakota",25.10%,± 9.6%
"Troup County, Georgia",17%,± 4.5%
"Trousdale County, Tennessee",16.90%,± 11.9%
"Trujillo Alto Municipio, Puerto Rico",15.90%,± 4.8%
"Trumbull County, Ohio",20.50%,± 2.2%
"Tucker County, West Virginia",12.20%,± 7%
"Tulare County, California",25.90%,± 1.6%
"Tulsa County, Oklahoma",21.60%,± 0.8%
"Tunica County, Mississippi",29.60%,± 16.6%
"Tuolumne County, California",17.60%,± 4.8%
"Turner County, Georgia",29.40%,± 17.2%
"Turner County, South Dakota",18.50%,± 4%
"Tuscaloosa County, Alabama",22.50%,± 3%
"Tuscarawas County, Ohio",21.60%,± 3.7%
"Tuscola County, Michigan",19.40%,± 2.5%
"Twiggs County, Georgia",17.10%,± 8.8%
"Twin Falls County, Idaho",26.90%,± 3%
"Tyler County, Texas",21%,± 9.2%
"Tyler County, West Virginia",8.60%,± 5.9%
"Tyrrell County, North Carolina",16.30%,± 14.2%
"Uinta County, Wyoming",24.30%,± 5%
"Uintah County, Utah",28.60%,± 5.3%
"Ulster County, New York",18.40%,± 2.7%
"Umatilla County, Oregon",18.50%,± 3.9%
"Unicoi County, Tennessee",19.10%,± 6.7%
"Union County, Arkansas",17.80%,± 5.5%
"Union County, Florida",26.20%,± 9.1%
"Union County, Georgia",33.40%,± 9.5%
"Union County, Illinois",19.60%,± 4.5%
"Union County, Indiana",30.50%,± 12.2%
"Union County, Iowa",20.60%,± 6%
"Union County, Kentucky",23.90%,± 8.6%
"Union County, Mississippi",20.30%,± 5.8%
"Union County, New Jersey",20.30%,± 1.5%
"Union County, New Mexico",23.10%,± 14.4%
"Union County, North Carolina",17.90%,± 1.8%
"Union County, Ohio",16.90%,± 2.9%
"Union County, Oregon",27%,± 5.6%
"Union County, Pennsylvania",16.30%,± 3.8%
"Union County, South Carolina",29.10%,± 6.4%
"Union County, South Dakota",21%,± 7%
"Union County, Tennessee",16.20%,± 7.2%
"Union Parish, Louisiana",27.20%,± 8.5%
"Upshur County, Texas",20.20%,± 6.7%
"Upshur County, West Virginia",17.60%,± 6.7%
"Upson County, Georgia",13.90%,± 5.2%
"Upton County, Texas",14.80%,± 10.8%
"Utah County, Utah",27.70%,± 1%
"Utuado Municipio, Puerto Rico",15.30%,± 5.9%
"Uvalde County, Texas",23.50%,± 7.2%
"Val Verde County, Texas",23.10%,± 6.3%
"Valencia County, New Mexico",18.70%,± 3.8%
"Valley County, Idaho",14%,± 10.1%
"Valley County, Montana",20.60%,± 9.8%
"Valley County, Nebraska",27%,± 8%
"Van Buren County, Arkansas",15.20%,± 6.4%
"Van Buren County, Iowa",25.50%,± 7%
"Van Buren County, Michigan",20.80%,± 2.8%
"Van Buren County, Tennessee",33.30%,± 11.7%
"Van Wert County, Ohio",18.20%,± 3.8%
"Van Zandt County, Texas",24.30%,± 4.5%
"Vance County, North Carolina",12.30%,± 4.4%
"Vanderburgh County, Indiana",18.40%,± 2.3%
"Vega Alta Municipio, Puerto Rico",20.30%,± 5.5%
"Vega Baja Municipio, Puerto Rico",11.30%,± 4%
"Venango County, Pennsylvania",18.90%,± 3.1%
"Ventura County, California",18.50%,± 1%
"Vermilion County, Illinois",20.60%,± 3.4%
"Vermilion Parish, Louisiana",22.50%,± 4.6%
"Vermillion County, Indiana",22%,± 6.5%
"Vernon County, Missouri",30.70%,± 6.8%
"Vernon County, Wisconsin",23.60%,± 3.3%
"Vernon Parish, Louisiana",26.10%,± 3.8%
"Victoria County, Texas",22.10%,± 4%
"Vieques Municipio, Puerto Rico",16.20%,± 13.1%
"Vigo County, Indiana",20%,± 3%
"Vilas County, Wisconsin",11.30%,± 3.2%
"Villalba Municipio, Puerto Rico",15.20%,± 7.3%
"Vinton County, Ohio",24%,± 8.3%
"Virginia Beach city, Virginia",19%,± 1.3%
"Volusia County, Florida",19.40%,± 1.8%
"Wabash County, Illinois",17.30%,± 5.8%
"Wabash County, Indiana",13.80%,± 4.7%
"Wabasha County, Minnesota",19.60%,± 3.7%
"Wabaunsee County, Kansas",13.80%,± 5.1%
"Wadena County, Minnesota",27.60%,± 6.5%
"Wagoner County, Oklahoma",25.50%,± 2.5%
"Wahkiakum County, Washington",38%,± 20.4%
"Wake County, North Carolina",18.50%,± 1.1%
"Wakulla County, Florida",25.20%,± 7.9%
"Waldo County, Maine",12.90%,± 3.5%
"Walker County, Alabama",22%,± 4.5%
"Walker County, Georgia",14.70%,± 3.5%
"Walker County, Texas",30.30%,± 6.3%
"Walla Walla County, Washington",21%,± 3.8%
"Wallace County, Kansas",20.50%,± 11.4%
"Waller County, Texas",19.10%,± 4.3%
"Wallowa County, Oregon",15.40%,± 6.3%
"Walsh County, North Dakota",29.80%,± 7.3%
"Walthall County, Mississippi",33.10%,± 14.8%
"Walton County, Florida",15.50%,± 4.1%
"Walton County, Georgia",21.80%,± 3.5%
"Walworth County, South Dakota",36.10%,± 11.6%
"Walworth County, Wisconsin",18.20%,± 2.7%
"Wapello County, Iowa",24.80%,± 5.6%
"Ward County, North Dakota",21.90%,± 4%
"Ward County, Texas",21.70%,± 8.8%
"Ware County, Georgia",15.80%,± 4.6%
"Warren County, Georgia",13.50%,± 7.3%
"Warren County, Illinois",29%,± 7.5%
"Warren County, Indiana",32.30%,± 8.6%
"Warren County, Iowa",20.30%,± 3.4%
"Warren County, Kentucky",20.20%,± 3%
"Warren County, Mississippi",18.20%,± 5.8%
"Warren County, Missouri",21.50%,± 5.7%
"Warren County, New Jersey",18.60%,± 2.9%
"Warren County, New York",17%,± 3.3%
"Warren County, North Carolina",18.40%,± 7.5%
"Warren County, Ohio",19.20%,± 2%
"Warren County, Pennsylvania",13.60%,± 2.5%
"Warren County, Tennessee",24.40%,± 4.8%
"Warren County, Virginia",23.60%,± 6.3%
"Warrick County, Indiana",16.40%,± 3.2%
"Wasatch County, Utah",29%,± 5.2%
"Wasco County, Oregon",19.50%,± 4.7%
"Waseca County, Minnesota",20.60%,± 5.8%
"Washakie County, Wyoming",18.60%,± 8.5%
"Washburn County, Wisconsin",15.10%,± 2.7%
"Washington County, Alabama",17.60%,± 5.6%
"Washington County, Arkansas",19.70%,± 1.8%
"Washington County, Colorado",22.70%,± 5.8%
"Washington County, Florida",21%,± 7.3%
"Washington County, Georgia",16.20%,± 5.7%
"Washington County, Idaho",38.30%,± 11.9%
"Washington County, Illinois",29.10%,± 6.4%
"Washington County, Indiana",22.80%,± 5%
"Washington County, Iowa",15.50%,± 4%
"Washington County, Kansas",26.20%,± 6.1%
"Washington County, Kentucky",22.10%,± 7.5%
"Washington County, Maine",17.70%,± 3.1%
"Washington County, Maryland",20.60%,± 2.4%
"Washington County, Minnesota",20.40%,± 1.7%
"Washington County, Mississippi",22.70%,± 4.7%
"Washington County, Missouri",30.60%,± 7%
"Washington County, Nebraska",19.90%,± 4.9%
"Washington County, New York",16.10%,± 3.7%
"Washington County, North Carolina",7.60%,± 6.7%
"Washington County, Ohio",13.50%,± 2.6%
"Washington County, Oklahoma",19.80%,± 3.8%
"Washington County, Oregon",17.30%,± 1.3%
"Washington County, Pennsylvania",19.20%,± 1.9%
"Washington County, Rhode Island",15.60%,± 2.7%
"Washington County, Tennessee",15.60%,± 2.7%
"Washington County, Texas",26.30%,± 6.7%
"Washington County, Utah",25.80%,± 2.8%
"Washington County, Vermont",15.10%,± 3.1%
"Washington County, Virginia",13.50%,± 3.3%
"Washington County, Wisconsin",15%,± 1.8%
"Washington Parish, Louisiana",23.80%,± 6%
"Washita County, Oklahoma",15.30%,± 5.4%
"Washoe County, Nevada",21%,± 1.6%
"Washtenaw County, Michigan",17.80%,± 1.5%
"Watauga County, North Carolina",17%,± 3.9%
"Watonwan County, Minnesota",31.40%,± 8.5%
"Waukesha County, Wisconsin",16.70%,± 1%
"Waupaca County, Wisconsin",16.40%,± 3.1%
"Waushara County, Wisconsin",19.90%,± 2.7%
"Wayne County, Georgia",20.50%,± 5.5%
"Wayne County, Illinois",21.80%,± 4.9%
"Wayne County, Indiana",21.10%,± 4.1%
"Wayne County, Iowa",29.50%,± 6.2%
"Wayne County, Kentucky",14.40%,± 5.4%
"Wayne County, Michigan",22.20%,± 0.9%
"Wayne County, Mississippi",15.40%,± 6.1%
"Wayne County, Missouri",29.10%,± 9.8%
"Wayne County, Nebraska",23.30%,± 7.4%
"Wayne County, New York",19.10%,± 2.5%
"Wayne County, North Carolina",21.60%,± 3.3%
"Wayne County, Ohio",22.60%,± 2.6%
"Wayne County, Pennsylvania",17%,± 3%
"Wayne County, Tennessee",15.50%,± 6.1%
"Wayne County, Utah",39.60%,± 12.3%
"Wayne County, West Virginia",16.20%,± 5.2%
"Waynesboro city, Virginia",23.30%,± 7.4%
"Weakley County, Tennessee",18.50%,± 5.1%
"Webb County, Texas",23.50%,± 2.2%
"Weber County, Utah",24.60%,± 1.7%
"Webster County, Georgia",12.40%,± 18.6%
"Webster County, Iowa",22.70%,± 5.1%
"Webster County, Kentucky",20.10%,± 5.5%
"Webster County, Mississippi",21.60%,± 8.5%
"Webster County, Missouri",25.50%,± 6%
"Webster County, Nebraska",11.40%,± 5.4%
"Webster County, West Virginia",10.60%,± 6.4%
"Webster Parish, Louisiana",20.10%,± 4.9%
"Weld County, Colorado",21.20%,± 1.4%
"Wells County, Indiana",21.60%,± 5%
"Wells County, North Dakota",34.50%,± 9.5%
"West Baton Rouge Parish, Louisiana",25.30%,± 6.3%
"West Carroll Parish, Louisiana",30.30%,± 10.9%
"West Feliciana Parish, Louisiana",32%,± 15.4%
"Westchester County, New York",15.40%,± 1%
"Western Connecticut Planning Region, Connecticut",18.10%,± 1.2%
"Westmoreland County, Pennsylvania",17.20%,± 1.6%
"Westmoreland County, Virginia",16.80%,± 8.7%
"Weston County, Wyoming",19.10%,± 10.4%
"Wetzel County, West Virginia",14.70%,± 5.7%
"Wexford County, Michigan",27.40%,± 4.4%
"Wharton County, Texas",26.90%,± 4.6%
"Whatcom County, Washington",18.90%,± 2.4%
"Wheatland County, Montana",35%,± 21.5%
"Wheeler County, Georgia",26.20%,± 20.8%
"Wheeler County, Nebraska",56.10%,± 18.5%
"Wheeler County, Oregon",18%,± 13.6%
"Wheeler County, Texas",30.40%,± 15.2%
"White County, Arkansas",17.60%,± 4.2%
"White County, Georgia",18.60%,± 7.1%
"White County, Illinois",27.90%,± 6.2%
"White County, Indiana",24.90%,± 4.4%
"White County, Tennessee",21.60%,± 5.7%
"White Pine County, Nevada",17.90%,± 11%
"Whiteside County, Illinois",17.50%,± 3.8%
"Whitfield County, Georgia",21.50%,± 3.2%
"Whitley County, Indiana",14.40%,± 3.6%
"Whitley County, Kentucky",19.90%,± 5.9%
"Whitman County, Washington",15.70%,± 3.7%
"Wibaux County, Montana",9.60%,± 7.8%
"Wichita County, Kansas",26.70%,± 13%
"Wichita County, Texas",20.20%,± 2.5%
"Wicomico County, Maryland",24.30%,± 4.3%
"Wilbarger County, Texas",16.20%,± 11%
"Wilcox County, Alabama",18.40%,± 10.7%
"Wilcox County, Georgia",29.40%,± 9.2%
"Wilkes County, Georgia",15.10%,± 8.1%
"Wilkes County, North Carolina",23.20%,± 5.3%
"Wilkin County, Minnesota",29.20%,± 6.8%
"Wilkinson County, Georgia",16.80%,± 8.7%
"Wilkinson County, Mississippi",27.30%,± 16.8%
"Will County, Illinois",18.60%,± 1%
"Willacy County, Texas",34.50%,± 8.2%
"Williams County, North Dakota",35.50%,± 7.2%
"Williams County, Ohio",18.90%,± 3.4%
"Williamsburg city, Virginia",33.60%,± 13.7%
"Williamsburg County, South Carolina",23.70%,± 7.3%
"Williamson County, Illinois",24.40%,± 4%
"Williamson County, Tennessee",15.50%,± 1.6%
"Williamson County, Texas",19.40%,± 1.2%
"Wilson County, Kansas",30.20%,± 8.4%
"Wilson County, North Carolina",20.20%,± 4.3%
"Wilson County, Tennessee",16.80%,± 2.3%
"Wilson County, Texas",16%,± 4.3%
"Winchester city, Virginia",17.30%,± 6.8%
"Windham County, Vermont",12%,± 3%
"Windsor County, Vermont",13.40%,± 2.9%
"Winkler County, Texas",32.70%,± 12.6%
"Winn Parish, Louisiana",23.10%,± 8.7%
"Winnebago County, Illinois",24.50%,± 2.2%
"Winnebago County, Iowa",16.40%,± 5.7%
"Winnebago County, Wisconsin",18.70%,± 2.1%
"Winneshiek County, Iowa",18.60%,± 4.7%
"Winona County, Minnesota",23.70%,± 4%
"Winston County, Alabama",25.50%,± 6.5%
"Winston County, Mississippi",16%,± 7.1%
"Wirt County, West Virginia",15.80%,± 10.5%
"Wise County, Texas",17.50%,± 2.8%
"Wise County, Virginia",25.40%,± 6.6%
"Wolfe County, Kentucky",19%,± 13.2%
"Wood County, Ohio",20.30%,± 2.5%
"Wood County, Texas",16.30%,± 4.8%
"Wood County, West Virginia",20.20%,± 3.2%
"Wood County, Wisconsin",19.80%,± 2.7%
"Woodbury County, Iowa",23.40%,± 3%
"Woodford County, Illinois",19.60%,± 3.5%
"Woodford County, Kentucky",20.60%,± 4.9%
"Woodruff County, Arkansas",10.60%,± 6.3%
"Woods County, Oklahoma",13.40%,± 6.5%
"Woodson County, Kansas",26.50%,± 11.8%
"Woodward County, Oklahoma",17%,± 6.3%
"Worcester County, Maryland",16.50%,± 4.5%
"Worcester County, Massachusetts",16.30%,± 1.1%
"Worth County, Georgia",21.20%,± 6.4%
"Worth County, Iowa",19.40%,± 6.9%
"Worth County, Missouri",25.60%,± 7.7%
"Wrangell City and Borough, Alaska",20.10%,± 10.3%
"Wright County, Iowa",22.90%,± 4.9%
"Wright County, Minnesota",20.50%,± 2.3%
"Wright County, Missouri",21.40%,± 6.3%
"Wyandot County, Ohio",23.20%,± 6.5%
"Wyandotte County, Kansas",22.20%,± 2.5%
"Wyoming County, New York",24.60%,± 3.9%
"Wyoming County, Pennsylvania",17.30%,± 3.5%
"Wyoming County, West Virginia",22.60%,± 12.1%
"Wythe County, Virginia",19%,± 5.3%
"Yabucoa Municipio, Puerto Rico",16.30%,± 5.5%
"Yadkin County, North Carolina",18.80%,± 3.8%
"Yakima County, Washington",28.40%,± 1.9%
"Yakutat City and Borough, Alaska",21.90%,± 18.7%
"Yalobusha County, Mississippi",22%,± 12.1%
"Yamhill County, Oregon",24.10%,± 4.4%
"Yancey County, North Carolina",18.50%,± 6.5%
"Yankton County, South Dakota",27.20%,± 8.8%
"Yates County, New York",24.90%,± 5.3%
"Yauco Municipio, Puerto Rico",11.70%,± 4.3%
"Yavapai County, Arizona",21.50%,± 2.8%
"Yazoo County, Mississippi",17.60%,± 8.3%
"Yell County, Arkansas",12.20%,± 4.7%
"Yellow Medicine County, Minnesota",29.40%,± 6%
"Yellowstone County, Montana",19.60%,± 2.2%
"Yoakum County, Texas",33%,± 14.3%
"Yolo County, California",19.30%,± 2.6%
"York County, Maine",16.50%,± 2.2%
"York County, Nebraska",24.20%,± 6.5%
"York County, Pennsylvania",18.80%,± 1.2%
"York County, South Carolina",20.50%,± 1.9%
"York County, Virginia",16.60%,± 2.7%
"Young County, Texas",21.30%,± 7.1%
"Yuba County, California",23.60%,± 3.1%
"Yukon-Koyukuk Census Area, Alaska",26.70%,± 5.3%
"Yuma County, Arizona",25.10%,± 2.4%
"Yuma County, Colorado",23.20%,± 8.4%
"Zapata County, Texas",25.80%,± 9.5%
"Zavala County, Texas",11%,± 8.8%
"Ziebach County, South Dakota",26.40%,± 9.7%
