Geography,"Natural resources, construction, and maintenance occupations—Civilian employed population 16 years and over—Estimate",MoE
"Titus County, Texas",10.10%,± 2.2%
"Toa Alta Municipio, Puerto Rico",7.40%,± 1.2%
"Toa Baja Municipio, Puerto Rico",8.20%,± 1.3%
"Todd County, Kentucky",14.30%,± 3.8%
"Todd County, Minnesota",13.80%,± 1.1%
"Todd County, South Dakota",9.10%,± 4.3%
"Tom Green County, Texas",12.20%,± 1.4%
"Tompkins County, New York",4.60%,± 0.7%
"Tooele County, Utah",11.20%,± 1.3%
"Toole County, Montana",12.70%,± 3.3%
"Toombs County, Georgia",17.30%,± 2.8%
"Torrance County, New Mexico",12.70%,± 3.1%
"Towner County, North Dakota",13.80%,± 5.2%
"Towns County, Georgia",10.80%,± 3%
"Traill County, North Dakota",11.30%,± 2.3%
"Transylvania County, North Carolina",10.70%,± 1.7%
"Traverse County, Minnesota",11.70%,± 2.5%
"Travis County, Texas",6.30%,± 0.3%
"Treasure County, Montana",21.20%,± 6.4%
"Trego County, Kansas",21.90%,± 6.7%
"Trempealeau County, Wisconsin",10.60%,± 0.9%
"Treutlen County, Georgia",11.40%,± 5.3%
"Trigg County, Kentucky",13.40%,± 3.5%
"Trimble County, Kentucky",17.60%,± 5.8%
"Trinity County, California",17.30%,± 5.6%
"Trinity County, Texas",12.40%,± 3.4%
"Tripp County, South Dakota",13.90%,± 4.3%
"Troup County, Georgia",7.40%,± 1.3%
"Trousdale County, Tennessee",10.50%,± 4.2%
"Trujillo Alto Municipio, Puerto Rico",7.10%,± 1.5%
"Trumbull County, Ohio",9.50%,± 0.7%
"Tucker County, West Virginia",14.60%,± 3.9%
"Tulare County, California",20.30%,± 1%
"Tulsa County, Oklahoma",8.60%,± 0.3%
"Tunica County, Mississippi",6.30%,± 2.9%
"Tuolumne County, California",9.60%,± 1.9%
"Turner County, Georgia",18.80%,± 5.9%
"Turner County, South Dakota",14.10%,± 2.1%
"Tuscaloosa County, Alabama",8.90%,± 0.9%
"Tuscarawas County, Ohio",10%,± 1.1%
"Tuscola County, Michigan",14.30%,± 1.4%
"Twiggs County, Georgia",11.20%,± 3.9%
"Twin Falls County, Idaho",12.80%,± 1.5%
"Tyler County, Texas",16.40%,± 4%
"Tyler County, West Virginia",16.20%,± 3.7%
"Tyrrell County, North Carolina",20.40%,± 7.5%
"Uinta County, Wyoming",17.40%,± 3.1%
"Uintah County, Utah",13.50%,± 2%
"Ulster County, New York",9.70%,± 0.9%
"Umatilla County, Oregon",14.50%,± 1.6%
"Unicoi County, Tennessee",11.30%,± 2.9%
"Union County, Arkansas",10.30%,± 1.9%
"Union County, Florida",8.30%,± 2.9%
"Union County, Georgia",13.50%,± 3.1%
"Union County, Illinois",10.70%,± 2.4%
"Union County, Indiana",8.20%,± 2.6%
"Union County, Iowa",11.20%,± 2.8%
"Union County, Kentucky",18.20%,± 3.8%
"Union County, Mississippi",11.20%,± 3.2%
"Union County, New Jersey",8.40%,± 0.5%
"Union County, New Mexico",9.90%,± 4.6%
"Union County, North Carolina",9.40%,± 0.6%
"Union County, Ohio",6.90%,± 1.1%
"Union County, Oregon",10.90%,± 2%
"Union County, Pennsylvania",9.10%,± 1.5%
"Union County, South Carolina",9.80%,± 1.8%
"Union County, South Dakota",10.30%,± 2.4%
"Union County, Tennessee",16.50%,± 3.3%
"Union Parish, Louisiana",17%,± 3.5%
"Upshur County, Texas",15.60%,± 2.2%
"Upshur County, West Virginia",11.20%,± 2.4%
"Upson County, Georgia",9.80%,± 1.9%
"Upton County, Texas",22.20%,± 6.3%
"Utah County, Utah",7.90%,± 0.4%
"Utuado Municipio, Puerto Rico",9.20%,± 2.5%
"Uvalde County, Texas",17%,± 4%
"Val Verde County, Texas",11.70%,± 2%
"Valencia County, New Mexico",10.80%,± 1.5%
"Valley County, Idaho",12.60%,± 3.8%
"Valley County, Montana",16.70%,± 3.3%
"Valley County, Nebraska",14.20%,± 3%
"Van Buren County, Arkansas",12.20%,± 3.4%
"Van Buren County, Iowa",17.50%,± 3.1%
"Van Buren County, Michigan",12%,± 1.3%
"Van Buren County, Tennessee",10%,± 3.1%
"Van Wert County, Ohio",9.50%,± 1.5%
"Van Zandt County, Texas",16.10%,± 2%
"Vance County, North Carolina",8.50%,± 1.9%
"Vanderburgh County, Indiana",7.10%,± 0.7%
"Vega Alta Municipio, Puerto Rico",7.50%,± 2.2%
"Vega Baja Municipio, Puerto Rico",9.70%,± 2%
"Venango County, Pennsylvania",9.70%,± 1.1%
"Ventura County, California",11.80%,± 0.5%
"Vermilion County, Illinois",10.30%,± 1.1%
"Vermilion Parish, Louisiana",14.60%,± 1.9%
"Vermillion County, Indiana",11.30%,± 2.1%
"Vernon County, Missouri",10.20%,± 2.3%
"Vernon County, Wisconsin",13.60%,± 1.2%
"Vernon Parish, Louisiana",14.40%,± 1.7%
"Victoria County, Texas",12.80%,± 1.4%
"Vieques Municipio, Puerto Rico",25.80%,± 14.3%
"Vigo County, Indiana",7.40%,± 0.9%
"Vilas County, Wisconsin",11.90%,± 1.7%
"Villalba Municipio, Puerto Rico",13.90%,± 3.7%
"Vinton County, Ohio",17.30%,± 3.8%
"Virginia Beach city, Virginia",7.60%,± 0.5%
"Volusia County, Florida",9.90%,± 0.6%
"Wabash County, Illinois",11.80%,± 2.5%
"Wabash County, Indiana",9.90%,± 1.8%
"Wabasha County, Minnesota",10.60%,± 1.1%
"Wabaunsee County, Kansas",17.20%,± 3%
"Wadena County, Minnesota",15.10%,± 2.4%
"Wagoner County, Oklahoma",11.30%,± 0.8%
"Wahkiakum County, Washington",17.40%,± 6.4%
"Wake County, North Carolina",5.30%,± 0.3%
"Wakulla County, Florida",13%,± 2.7%
"Waldo County, Maine",11.10%,± 1.1%
"Walker County, Alabama",12.80%,± 1.4%
"Walker County, Georgia",13.10%,± 1.6%
"Walker County, Texas",10.40%,± 2%
"Walla Walla County, Washington",9%,± 1.4%
"Wallace County, Kansas",12.60%,± 5.1%
"Waller County, Texas",11.80%,± 1.9%
"Wallowa County, Oregon",13.60%,± 3.4%
"Walsh County, North Dakota",15.90%,± 2.2%
"Walthall County, Mississippi",19.50%,± 6.4%
"Walton County, Florida",11.80%,± 1.6%
"Walton County, Georgia",10.90%,± 1.1%
"Walworth County, South Dakota",11.10%,± 3.7%
"Walworth County, Wisconsin",10.30%,± 0.9%
"Wapello County, Iowa",9.90%,± 1.7%
"Ward County, North Dakota",13.90%,± 1.4%
"Ward County, Texas",15.70%,± 4.1%
"Ware County, Georgia",14%,± 2.8%
"Warren County, Georgia",12.60%,± 4.4%
"Warren County, Illinois",8.10%,± 1.7%
"Warren County, Indiana",14.90%,± 3.7%
"Warren County, Iowa",11.90%,± 1.2%
"Warren County, Kentucky",7.40%,± 0.8%
"Warren County, Mississippi",9.90%,± 2.1%
"Warren County, Missouri",16.50%,± 2.8%
"Warren County, New Jersey",8.70%,± 0.9%
"Warren County, New York",7.70%,± 1%
"Warren County, North Carolina",10.10%,± 2.3%
"Warren County, Ohio",6.10%,± 0.6%
"Warren County, Pennsylvania",9.70%,± 1%
"Warren County, Tennessee",14.20%,± 1.7%
"Warren County, Virginia",11.70%,± 1.7%
"Warrick County, Indiana",8.10%,± 1.1%
"Wasatch County, Utah",10%,± 2.1%
"Wasco County, Oregon",15.30%,± 3.4%
"Waseca County, Minnesota",11.10%,± 1.7%
"Washakie County, Wyoming",14.80%,± 3.6%
"Washburn County, Wisconsin",12.80%,± 1.3%
"Washington County, Alabama",13.50%,± 3.6%
"Washington County, Arkansas",9.10%,± 0.8%
"Washington County, Colorado",16.40%,± 3.8%
"Washington County, Florida",16.10%,± 2.6%
"Washington County, Georgia",12.40%,± 2.8%
"Washington County, Idaho",12.90%,± 3%
"Washington County, Illinois",15.20%,± 2.3%
"Washington County, Indiana",12.70%,± 2.1%
"Washington County, Iowa",14.50%,± 2.1%
"Washington County, Kansas",11.90%,± 2.3%
"Washington County, Kentucky",10.40%,± 2.4%
"Washington County, Maine",17.70%,± 1.5%
"Washington County, Maryland",10.70%,± 1%
"Washington County, Minnesota",6.10%,± 0.5%
"Washington County, Mississippi",8.90%,± 1.6%
"Washington County, Missouri",16.40%,± 3.2%
"Washington County, Nebraska",12.20%,± 2.1%
"Washington County, New York",12%,± 1.3%
"Washington County, North Carolina",18.40%,± 5.1%
"Washington County, Ohio",11.30%,± 1.4%
"Washington County, Oklahoma",8.80%,± 1.1%
"Washington County, Oregon",6.60%,± 0.4%
"Washington County, Pennsylvania",10.30%,± 0.6%
"Washington County, Rhode Island",8%,± 1.1%
"Washington County, Tennessee",7.60%,± 1%
"Washington County, Texas",12.50%,± 2.3%
"Washington County, Utah",8.80%,± 1%
"Washington County, Vermont",10.60%,± 1.4%
"Washington County, Virginia",9%,± 1.4%
"Washington County, Wisconsin",8.70%,± 0.7%
"Washington Parish, Louisiana",13.90%,± 2.5%
"Washita County, Oklahoma",18.10%,± 3%
"Washoe County, Nevada",9.40%,± 0.5%
"Washtenaw County, Michigan",4%,± 0.3%
"Watauga County, North Carolina",7.80%,± 1%
"Watonwan County, Minnesota",17.40%,± 2.3%
"Waukesha County, Wisconsin",6.30%,± 0.4%
"Waupaca County, Wisconsin",11%,± 1%
"Waushara County, Wisconsin",12.80%,± 1.4%
"Wayne County, Georgia",16.40%,± 2.8%
"Wayne County, Illinois",13.80%,± 2.3%
"Wayne County, Indiana",9.90%,± 1.1%
"Wayne County, Iowa",17.70%,± 2.9%
"Wayne County, Kentucky",9.20%,± 2.4%
"Wayne County, Michigan",6.60%,± 0.3%
"Wayne County, Mississippi",11.80%,± 3.3%
"Wayne County, Missouri",9.60%,± 2.8%
"Wayne County, Nebraska",7.60%,± 1.9%
"Wayne County, New York",11.30%,± 1.1%
"Wayne County, North Carolina",12%,± 1.4%
"Wayne County, Ohio",11.30%,± 0.8%
"Wayne County, Pennsylvania",13.60%,± 1.7%
"Wayne County, Tennessee",13.60%,± 3.3%
"Wayne County, Utah",16.10%,± 6%
"Wayne County, West Virginia",8%,± 1.9%
"Waynesboro city, Virginia",7.50%,± 2.3%
"Weakley County, Tennessee",11.90%,± 2.1%
"Webb County, Texas",10.70%,± 0.9%
"Weber County, Utah",10.40%,± 0.7%
"Webster County, Georgia",13.20%,± 7.4%
"Webster County, Iowa",12.90%,± 1.8%
"Webster County, Kentucky",13.80%,± 2.5%
"Webster County, Mississippi",13.50%,± 3.5%
"Webster County, Missouri",14.20%,± 2%
"Webster County, Nebraska",15.60%,± 2.7%
"Webster County, West Virginia",20.40%,± 5%
"Webster Parish, Louisiana",13.70%,± 2.2%
"Weld County, Colorado",12.40%,± 0.7%
"Wells County, Indiana",9.90%,± 1.8%
"Wells County, North Dakota",14.30%,± 3.2%
"West Baton Rouge Parish, Louisiana",9.70%,± 2.7%
"West Carroll Parish, Louisiana",18.20%,± 4.4%
"West Feliciana Parish, Louisiana",10.90%,± 3.8%
"Westchester County, New York",6.70%,± 0.3%
"Western Connecticut Planning Region, Connecticut",7.10%,± 0.5%
"Westmoreland County, Pennsylvania",9.10%,± 0.5%
"Westmoreland County, Virginia",14.50%,± 4.5%
"Weston County, Wyoming",20.40%,± 4.5%
"Wetzel County, West Virginia",14.30%,± 3.4%
"Wexford County, Michigan",9.10%,± 1.1%
"Wharton County, Texas",16%,± 2.4%
"Whatcom County, Washington",9.70%,± 0.9%
"Wheatland County, Montana",19.80%,± 8.9%
"Wheeler County, Georgia",20.40%,± 13.2%
"Wheeler County, Nebraska",25.10%,± 5.8%
"Wheeler County, Oregon",13.80%,± 4.5%
"Wheeler County, Texas",21.10%,± 4.1%
"White County, Arkansas",11.20%,± 1.8%
"White County, Georgia",11.90%,± 3%
"White County, Illinois",13.80%,± 2.7%
"White County, Indiana",9.30%,± 1.6%
"White County, Tennessee",10.50%,± 2.1%
"White Pine County, Nevada",18.30%,± 5.8%
"Whiteside County, Illinois",8.80%,± 1.1%
"Whitfield County, Georgia",10.30%,± 1.4%
"Whitley County, Indiana",12.30%,± 1.9%
"Whitley County, Kentucky",7.30%,± 2%
"Whitman County, Washington",6.90%,± 1.1%
"Wibaux County, Montana",21.90%,± 8.4%
"Wichita County, Kansas",14.60%,± 7.3%
"Wichita County, Texas",9.70%,± 1%
"Wicomico County, Maryland",8.90%,± 1%
"Wilbarger County, Texas",9.50%,± 2.8%
"Wilcox County, Alabama",16.60%,± 4.9%
"Wilcox County, Georgia",21.40%,± 4.7%
"Wilkes County, Georgia",12.50%,± 3.1%
"Wilkes County, North Carolina",10.40%,± 1.5%
"Wilkin County, Minnesota",16.90%,± 3.2%
"Wilkinson County, Georgia",13.30%,± 2.4%
"Wilkinson County, Mississippi",17.50%,± 5.1%
"Will County, Illinois",8.40%,± 0.3%
"Willacy County, Texas",19.40%,± 4.3%
"Williams County, North Dakota",19.30%,± 3.4%
"Williams County, Ohio",8.60%,± 1.3%
"Williamsburg city, Virginia",2%,± 1.2%
"Williamsburg County, South Carolina",11.70%,± 2.3%
"Williamson County, Illinois",9.50%,± 1.1%
"Williamson County, Tennessee",3.40%,± 0.5%
"Williamson County, Texas",6.50%,± 0.5%
"Wilson County, Kansas",10.70%,± 2.6%
"Wilson County, North Carolina",9.80%,± 1.3%
"Wilson County, Tennessee",7.70%,± 0.8%
"Wilson County, Texas",12.50%,± 1.6%
"Winchester city, Virginia",10.10%,± 2.5%
"Windham County, Vermont",11.60%,± 1.2%
"Windsor County, Vermont",10%,± 1.1%
"Winkler County, Texas",19.60%,± 4.6%
"Winn Parish, Louisiana",14.80%,± 3.7%
"Winnebago County, Illinois",8.20%,± 0.5%
"Winnebago County, Iowa",10.60%,± 2%
"Winnebago County, Wisconsin",7%,± 0.6%
"Winneshiek County, Iowa",12%,± 1.4%
"Winona County, Minnesota",8.70%,± 1%
"Winston County, Alabama",13.70%,± 2.7%
"Winston County, Mississippi",11.80%,± 2.8%
"Wirt County, West Virginia",13.10%,± 5.4%
"Wise County, Texas",12.10%,± 1.5%
"Wise County, Virginia",11.60%,± 2.1%
"Wolfe County, Kentucky",7%,± 4.5%
"Wood County, Ohio",7.10%,± 0.7%
"Wood County, Texas",17.70%,± 2.4%
"Wood County, West Virginia",9.40%,± 1.3%
"Wood County, Wisconsin",12%,± 1.1%
"Woodbury County, Iowa",10.20%,± 1%
"Woodford County, Illinois",8.70%,± 1.1%
"Woodford County, Kentucky",8.80%,± 1.6%
"Woodruff County, Arkansas",8.10%,± 2.9%
"Woods County, Oklahoma",12.90%,± 4.8%
"Woodson County, Kansas",15%,± 4.1%
"Woodward County, Oklahoma",12.50%,± 2.5%
"Worcester County, Maryland",10.40%,± 1.3%
"Worcester County, Massachusetts",7.70%,± 0.3%
"Worth County, Georgia",16%,± 3%
"Worth County, Iowa",11%,± 1.6%
"Worth County, Missouri",21.50%,± 5.7%
"Wrangell City and Borough, Alaska",15.50%,± 4.5%
"Wright County, Iowa",13.90%,± 2.7%
"Wright County, Minnesota",12.10%,± 0.9%
"Wright County, Missouri",13.20%,± 2.9%
"Wyandot County, Ohio",10.40%,± 1.7%
"Wyandotte County, Kansas",12.60%,± 0.9%
"Wyoming County, New York",15%,± 1.5%
"Wyoming County, Pennsylvania",13.40%,± 1.3%
"Wyoming County, West Virginia",19.10%,± 3.6%
"Wythe County, Virginia",9.70%,± 2.5%
"Yabucoa Municipio, Puerto Rico",11.20%,± 2.7%
"Yadkin County, North Carolina",12.30%,± 2.5%
"Yakima County, Washington",19.70%,± 1.1%
"Yakutat City and Borough, Alaska",8.40%,± 5.2%
"Yalobusha County, Mississippi",12.90%,± 3.8%
"Yamhill County, Oregon",11.30%,± 1.5%
"Yancey County, North Carolina",11.70%,± 1.9%
"Yankton County, South Dakota",7.50%,± 1.7%
"Yates County, New York",14.30%,± 2.5%
"Yauco Municipio, Puerto Rico",5.80%,± 1.9%
"Yavapai County, Arizona",11.80%,± 1%
"Yazoo County, Mississippi",16.20%,± 3.7%
"Yell County, Arkansas",11.50%,± 2.7%
"Yellow Medicine County, Minnesota",14.70%,± 1.9%
"Yellowstone County, Montana",10.20%,± 1%
"Yoakum County, Texas",31.40%,± 5.8%
"Yolo County, California",9%,± 0.8%
"York County, Maine",10.90%,± 1.1%
"York County, Nebraska",12.80%,± 2.1%
"York County, Pennsylvania",9.20%,± 0.5%
"York County, South Carolina",7.90%,± 0.6%
"York County, Virginia",7.40%,± 1.2%
"Young County, Texas",16.90%,± 3.3%
"Yuba County, California",15.20%,± 1.9%
"Yukon-Koyukuk Census Area, Alaska",13.20%,± 3.8%
"Yuma County, Arizona",15.60%,± 1.5%
"Yuma County, Colorado",17%,± 3.3%
"Zapata County, Texas",21.60%,± 5%
"Zavala County, Texas",21.40%,± 7.2%
"Ziebach County, South Dakota",4.50%,± 2.6%
