Geography,"Total—Civilian employed population 16 years and over—Management, business, science, and arts occupations:—Education, legal, community service, arts, and media occupations:—Educational instruction, and library occupations—Estimate",MoE,Total—Civilian employed population 16 years and over—Estimate
"St. Lucie County, Florida","6,530",± 847,"145,080"
"St. Martin Parish, Louisiana","1,199",± 320,"21,952"
"St. Mary Parish, Louisiana","1,127",± 281,"19,359"
"St. Mary's County, Maryland","3,219",± 515,"57,306"
"St. Tammany Parish, Louisiana","7,792",± 626,"123,509"
"Stafford County, Kansas",130,± 40,"1,971"
"Stafford County, Virginia","5,343",± 529,"76,554"
"Stanislaus County, California","13,541",± 803,"237,110"
"Stanley County, South Dakota",98,± 44,"1,714"
"Stanly County, North Carolina","1,526",± 275,"28,739"
"Stanton County, Kansas",36,± 36,994
"Stanton County, Nebraska",178,± 65,"3,111"
"Stark County, Illinois",116,± 43,"2,438"
"Stark County, North Dakota",738,± 202,"16,757"
"Stark County, Ohio","9,163",± 777,"179,639"
"Starke County, Indiana",438,± 142,"9,562"
"Starr County, Texas","2,490",± 424,"24,109"
"Staunton city, Virginia",839,± 212,"12,367"
"Ste. Genevieve County, Missouri",243,± 92,"8,539"
"Stearns County, Minnesota","5,393",± 473,"84,473"
"Steele County, Minnesota","1,175",± 242,"19,136"
"Steele County, North Dakota",47,± 23,836
"Stephens County, Georgia",970,± 276,"11,303"
"Stephens County, Oklahoma",874,± 138,"17,605"
"Stephens County, Texas",266,± 121,"3,857"
"Stephenson County, Illinois","1,403",± 279,"20,221"
"Sterling County, Texas",27,± 26,575
"Steuben County, Indiana",978,± 218,"16,567"
"Steuben County, New York","3,358",± 316,"42,149"
"Stevens County, Kansas",79,± 44,"2,410"
"Stevens County, Minnesota",353,± 78,"5,134"
"Stevens County, Washington","1,143",± 273,"17,962"
"Stewart County, Georgia",85,± 59,"1,480"
"Stewart County, Tennessee",351,± 130,"5,613"
"Stillwater County, Montana",262,± 78,"4,269"
"Stoddard County, Missouri",634,± 164,"12,022"
"Stokes County, North Carolina",919,± 264,"19,662"
"Stone County, Arkansas",196,± 92,"3,907"
"Stone County, Mississippi",460,± 172,"6,802"
"Stone County, Missouri",802,± 223,"12,003"
"Stonewall County, Texas",13,± 13,667
"Storey County, Nevada",76,± 47,"1,344"
"Story County, Iowa","7,085",± 617,"53,259"
"Strafford County, New Hampshire","5,015",± 696,"71,642"
"Stutsman County, North Dakota",555,± 137,"10,800"
"Sublette County, Wyoming",116,± 58,"4,489"
"Suffolk city, Virginia","2,403",± 318,"44,358"
"Suffolk County, Massachusetts","30,768","± 1,601","434,911"
"Suffolk County, New York","67,212","± 2,115","781,818"
"Sullivan County, Indiana",362,± 126,"8,938"
"Sullivan County, Missouri",168,± 54,"2,636"
"Sullivan County, New Hampshire","1,319",± 258,"20,190"
"Sullivan County, New York","2,731",± 347,"34,474"
"Sullivan County, Pennsylvania",111,± 31,"2,548"
"Sullivan County, Tennessee","3,763",± 434,"69,206"
"Sully County, South Dakota",50,± 23,785
"Summers County, West Virginia",170,± 89,"3,543"
"Summit County, Colorado","1,140",± 353,"19,419"
"Summit County, Ohio","15,110","± 1,173","270,271"
"Summit County, Utah","1,234",± 230,"22,962"
"Sumner County, Kansas",893,± 174,"9,954"
"Sumner County, Tennessee","6,200",± 591,"99,744"
"Sumter County, Alabama",244,± 96,"4,299"
"Sumter County, Florida","1,262",± 348,"28,658"
"Sumter County, Georgia",795,± 238,"12,148"
"Sumter County, South Carolina","2,358",± 432,"42,030"
"Sunflower County, Mississippi",849,± 210,"8,739"
"Surry County, North Carolina","2,084",± 282,"31,768"
"Surry County, Virginia",235,± 110,"3,147"
"Susquehanna County, Pennsylvania",883,± 134,"16,812"
"Sussex County, Delaware","6,110",± 616,"103,861"
"Sussex County, New Jersey","6,551",± 581,"77,810"
"Sussex County, Virginia",175,± 66,"4,382"
"Sutter County, California","2,248",± 445,"42,251"
"Sutton County, Texas",122,± 71,"1,430"
"Suwannee County, Florida",728,± 268,"17,198"
"Swain County, North Carolina",272,± 124,"5,754"
"Sweet Grass County, Montana",123,± 46,"1,848"
"Sweetwater County, Wyoming","1,458",± 271,"20,950"
"Swift County, Minnesota",280,± 73,"4,658"
"Swisher County, Texas",438,± 167,"2,668"
"Switzerland County, Indiana",225,± 100,"4,397"
"Talbot County, Georgia",303,± 114,"2,455"
"Talbot County, Maryland",948,± 191,"17,056"
"Taliaferro County, Georgia",35,± 28,668
"Talladega County, Alabama","1,803",± 367,"32,093"
"Tallahatchie County, Mississippi",351,± 175,"4,468"
"Tallapoosa County, Alabama",663,± 196,"15,600"
"Tama County, Iowa",441,± 79,"8,165"
"Taney County, Missouri","1,384",± 353,"25,499"
"Tangipahoa Parish, Louisiana","4,167",± 724,"57,432"
"Taos County, New Mexico",828,± 254,"14,083"
"Tarrant County, Texas","63,508","± 2,550","1,065,717"
"Tate County, Mississippi",901,± 237,"11,953"
"Tattnall County, Georgia",897,± 233,"7,916"
"Taylor County, Florida",432,± 216,"6,747"
"Taylor County, Georgia",232,± 94,"3,011"
"Taylor County, Iowa",141,± 42,"2,951"
"Taylor County, Kentucky",908,± 248,"12,119"
"Taylor County, Texas","5,046",± 718,"66,180"
"Taylor County, West Virginia",293,± 138,"6,664"
"Taylor County, Wisconsin",453,± 102,"9,903"
"Tazewell County, Illinois","3,609",± 466,"62,163"
"Tazewell County, Virginia",854,± 249,"14,328"
"Tehama County, California","1,504",± 367,"25,597"
"Telfair County, Georgia",322,± 176,"3,698"
"Teller County, Colorado",814,± 206,"11,519"
"Tensas Parish, Louisiana",57,± 36,"1,174"
"Terrebonne Parish, Louisiana","2,592",± 540,"47,126"
"Terrell County, Georgia",217,± 106,"3,305"
"Terrell County, Texas",33,± 23,364
"Terry County, Texas",242,± 147,"4,992"
"Teton County, Idaho",232,± 105,"6,875"
"Teton County, Montana",238,± 65,"2,862"
"Teton County, Wyoming",772,± 259,"15,156"
"Texas County, Missouri",454,± 190,"9,137"
"Texas County, Oklahoma",880,± 258,"10,267"
"Thayer County, Nebraska",171,± 47,"2,439"
"Thomas County, Georgia",739,± 178,"21,032"
"Thomas County, Kansas",273,± 114,"4,152"
"Thomas County, Nebraska",24,± 12,352
"Throckmorton County, Texas",44,± 31,734
"Thurston County, Nebraska",225,± 44,"2,698"
"Thurston County, Washington","8,081",± 674,"134,622"
"Tift County, Georgia","1,171",± 365,"17,809"
"Tillamook County, Oregon",545,± 127,"10,896"
"Tillman County, Oklahoma",153,± 48,"2,793"
"Tioga County, New York","1,747",± 260,"22,722"
"Tioga County, Pennsylvania","1,245",± 204,"18,529"
"Tippah County, Mississippi",655,± 187,"9,229"
"Tippecanoe County, Indiana","11,370",± 922,"91,808"
"Tipton County, Indiana",569,± 179,"7,470"
"Tipton County, Tennessee","1,812",± 393,"27,734"
"Tishomingo County, Mississippi",350,± 144,"7,514"
"Titus County, Texas",786,± 184,"13,364"
"Toa Alta Municipio, Puerto Rico","1,632",± 368,"26,426"
"Toa Baja Municipio, Puerto Rico","1,238",± 218,"29,433"
"Todd County, Kentucky",407,± 116,"5,048"
"Todd County, Minnesota",611,± 95,"11,299"
"Todd County, South Dakota",432,± 88,"2,296"
"Tom Green County, Texas","3,266",± 461,"55,687"
"Tompkins County, New York","8,846",± 802,"49,415"
"Tooele County, Utah","2,454",± 405,"36,843"
"Toole County, Montana",97,± 35,"2,128"
"Toombs County, Georgia",692,± 197,"10,157"
"Torrance County, New Mexico",92,± 43,"5,544"
"Towner County, North Dakota",65,± 30,"1,059"
"Towns County, Georgia",338,± 110,"4,631"
"Traill County, North Dakota",324,± 61,"4,135"
"Transylvania County, North Carolina",887,± 247,"14,196"
"Traverse County, Minnesota",76,± 23,"1,605"
"Travis County, Texas","44,508","± 2,474","736,834"
"Treasure County, Montana",15,± 16,364
"Trego County, Kansas",77,± 44,"1,405"
"Trempealeau County, Wisconsin",887,± 132,"15,521"
"Treutlen County, Georgia",149,± 100,"2,223"
"Trigg County, Kentucky",455,± 162,"5,743"
"Trimble County, Kentucky",147,± 84,"3,631"
"Trinity County, California",215,± 118,"5,200"
"Trinity County, Texas",256,± 94,"4,990"
"Tripp County, South Dakota",237,± 78,"2,639"
"Troup County, Georgia","2,206",± 456,"31,000"
"Trousdale County, Tennessee",127,± 88,"5,122"
"Trujillo Alto Municipio, Puerto Rico","2,070",± 466,"28,494"
"Trumbull County, Ohio","4,748",± 633,"86,468"
"Tucker County, West Virginia",144,± 64,"3,000"
"Tulare County, California","11,216",± 946,"190,883"
"Tulsa County, Oklahoma","18,098",± 790,"323,969"
"Tunica County, Mississippi",270,± 137,"4,117"
"Tuolumne County, California","1,419",± 320,"20,829"
"Turner County, Georgia",64,± 58,"3,341"
"Turner County, South Dakota",204,± 53,"4,460"
"Tuscaloosa County, Alabama","9,246",± 856,"109,994"
"Tuscarawas County, Ohio","2,246",± 367,"43,237"
"Tuscola County, Michigan",883,± 143,"22,892"
"Twiggs County, Georgia",109,± 82,"2,760"
"Twin Falls County, Idaho","2,401",± 423,"42,256"
"Tyler County, Texas",281,± 96,"6,324"
"Tyler County, West Virginia",299,± 113,"3,008"
"Tyrrell County, North Carolina",97,± 81,"1,180"
"Uinta County, Wyoming",803,± 225,"9,562"
"Uintah County, Utah","1,050",± 271,"14,591"
"Ulster County, New York","7,388",± 725,"86,493"
"Umatilla County, Oregon","1,920",± 380,"33,979"
"Unicoi County, Tennessee",473,± 194,"7,626"
"Union County, Arkansas","1,330",± 312,"16,232"
"Union County, Florida",230,± 87,"4,229"
"Union County, Georgia",530,± 178,"9,721"
"Union County, Illinois",392,± 97,"6,787"
"Union County, Indiana",235,± 88,"3,569"
"Union County, Iowa",269,± 99,"5,604"
"Union County, Kentucky",141,± 69,"5,686"
"Union County, Mississippi",800,± 186,"12,173"
"Union County, New Jersey","19,002","± 1,317","292,493"
"Union County, New Mexico",87,± 43,"1,358"
"Union County, North Carolina","7,693",± 677,"120,938"
"Union County, Ohio","1,549",± 292,"32,749"
"Union County, Oregon",711,± 126,"11,508"
"Union County, Pennsylvania","1,806",± 294,"16,876"
"Union County, South Carolina",430,± 173,"10,913"
"Union County, South Dakota",479,± 138,"8,507"
"Union County, Tennessee",333,± 169,"8,181"
"Union Parish, Louisiana",220,± 116,"8,016"
"Upshur County, Texas",954,± 218,"17,269"
"Upshur County, West Virginia",524,± 150,"9,536"
"Upson County, Georgia",556,± 199,"11,347"
"Upton County, Texas",79,± 40,"1,360"
"Utah County, Utah","26,165","± 1,089","326,244"
"Utuado Municipio, Puerto Rico",638,± 208,"6,632"
"Uvalde County, Texas",699,± 281,"9,920"
"Val Verde County, Texas","1,336",± 316,"19,782"
"Valencia County, New Mexico","1,811",± 380,"29,129"
"Valley County, Idaho",87,± 75,"4,936"
"Valley County, Montana",149,± 47,"3,471"
"Valley County, Nebraska",118,± 44,"2,062"
"Van Buren County, Arkansas",373,± 112,"5,427"
"Van Buren County, Iowa",255,± 75,"3,060"
"Van Buren County, Michigan","1,513",± 235,"34,382"
"Van Buren County, Tennessee",34,± 29,"2,448"
"Van Wert County, Ohio",642,± 144,"14,225"
"Van Zandt County, Texas","1,332",± 264,"25,364"
"Vance County, North Carolina",928,± 253,"18,177"
"Vanderburgh County, Indiana","4,426",± 602,"89,329"
"Vega Alta Municipio, Puerto Rico",482,± 163,"11,311"
"Vega Baja Municipio, Puerto Rico","1,147",± 215,"16,949"
"Venango County, Pennsylvania","1,166",± 193,"21,733"
"Ventura County, California","21,724","± 1,029","409,387"
"Vermilion County, Illinois","1,517",± 216,"30,399"
"Vermilion Parish, Louisiana","1,671",± 335,"23,066"
"Vermillion County, Indiana",342,± 96,"6,817"
"Vernon County, Missouri",590,± 219,"8,492"
"Vernon County, Wisconsin",713,± 110,"13,843"
"Vernon Parish, Louisiana","1,088",± 213,"15,879"
"Victoria County, Texas","2,191",± 398,"41,593"
"Vieques Municipio, Puerto Rico",199,± 203,"2,075"
"Vigo County, Indiana","3,398",± 448,"48,800"
"Vilas County, Wisconsin",536,± 152,"10,186"
"Villalba Municipio, Puerto Rico",459,± 186,"6,700"
"Vinton County, Ohio",379,± 148,"5,101"
"Virginia Beach city, Virginia","15,764","± 1,016","224,334"
"Volusia County, Florida","13,866","± 1,294","244,700"
"Wabash County, Illinois",336,± 99,"5,084"
"Wabash County, Indiana",809,± 232,"14,417"
"Wabasha County, Minnesota",522,± 96,"11,174"
"Wabaunsee County, Kansas",226,± 53,"3,297"
"Wadena County, Minnesota",379,± 104,"6,245"
"Wagoner County, Oklahoma","1,947",± 240,"38,931"
"Wahkiakum County, Washington",29,± 24,"1,554"
"Wake County, North Carolina","36,872","± 1,864","601,289"
"Wakulla County, Florida",832,± 220,"15,355"
"Waldo County, Maine","1,436",± 268,"18,460"
"Walker County, Alabama","1,316",± 310,"25,764"
"Walker County, Georgia","2,131",± 476,"30,682"
"Walker County, Texas","2,705",± 551,"29,120"
"Walla Walla County, Washington","2,266",± 381,"27,499"
"Wallace County, Kansas",88,± 32,714
"Waller County, Texas","1,199",± 322,"24,902"
"Wallowa County, Oregon",214,± 66,"3,295"
"Walsh County, North Dakota",324,± 87,"5,210"
"Walthall County, Mississippi",688,± 208,"5,168"
"Walton County, Florida","1,362",± 322,"34,379"
"Walton County, Georgia","2,923",± 471,"46,541"
"Walworth County, South Dakota",145,± 78,"2,557"
"Walworth County, Wisconsin","3,452",± 298,"55,626"
"Wapello County, Iowa",902,± 202,"16,468"
"Ward County, North Dakota","2,294",± 397,"34,170"
"Ward County, Texas",472,± 175,"5,111"
"Ware County, Georgia",948,± 317,"13,100"
"Warren County, Georgia",113,± 58,"2,020"
"Warren County, Illinois",720,± 162,"7,685"
"Warren County, Indiana",150,± 58,"4,074"
"Warren County, Iowa","1,926",± 279,"27,607"
"Warren County, Kentucky","4,032",± 469,"68,496"
"Warren County, Mississippi","1,209",± 262,"19,268"
"Warren County, Missouri",662,± 259,"17,120"
"Warren County, New Jersey","4,229",± 500,"56,741"
"Warren County, New York","2,682",± 364,"31,884"
"Warren County, North Carolina",334,± 114,"7,084"
"Warren County, Ohio","7,750",± 890,"121,923"
"Warren County, Pennsylvania",537,± 110,"17,363"
"Warren County, Tennessee",925,± 231,"17,684"
"Warren County, Virginia","1,260",± 299,"19,589"
"Warrick County, Indiana","2,124",± 382,"31,541"
"Wasatch County, Utah","1,092",± 219,"17,205"
"Wasco County, Oregon",592,± 141,"11,870"
"Waseca County, Minnesota",507,± 135,"9,538"
"Washakie County, Wyoming",314,± 106,"3,961"
"Washburn County, Wisconsin",367,± 77,"7,249"
"Washington County, Alabama",261,± 127,"5,598"
"Washington County, Arkansas","10,031",± 870,"120,991"
"Washington County, Colorado",196,± 61,"2,284"
"Washington County, Florida",469,± 141,"8,671"
"Washington County, Georgia",695,± 217,"7,809"
"Washington County, Idaho",341,± 114,"3,998"
"Washington County, Illinois",409,± 99,"6,942"
"Washington County, Indiana",496,± 150,"13,164"
"Washington County, Iowa",615,± 167,"11,701"
"Washington County, Kansas",220,± 62,"2,600"
"Washington County, Kentucky",360,± 106,"5,717"
"Washington County, Maine","1,027",± 135,"12,737"
"Washington County, Maryland","3,501",± 463,"70,953"
"Washington County, Minnesota","8,750",± 772,"141,759"
"Washington County, Mississippi","1,246",± 215,"16,531"
"Washington County, Missouri",352,± 96,"9,233"
"Washington County, Nebraska",932,± 229,"11,060"
"Washington County, New York","1,543",± 249,"28,617"
"Washington County, North Carolina",210,± 111,"3,893"
"Washington County, Ohio","1,372",± 235,"27,028"
"Washington County, Oklahoma","1,283",± 200,"23,038"
"Washington County, Oregon","16,207","± 1,016","316,457"
"Washington County, Pennsylvania","5,017",± 439,"102,148"
"Washington County, Rhode Island","5,921",± 652,"66,218"
"Washington County, Tennessee","4,204",± 687,"63,338"
"Washington County, Texas","1,214",± 372,"16,633"
"Washington County, Utah","4,743",± 689,"78,297"
"Washington County, Vermont","2,348",± 253,"31,418"
"Washington County, Virginia","1,565",± 304,"23,968"
"Washington County, Wisconsin","4,065",± 427,"74,576"
"Washington Parish, Louisiana","1,117",± 256,"16,763"
"Washita County, Oklahoma",300,± 83,"4,759"
"Washoe County, Nevada","13,402","± 1,051","248,193"
"Washtenaw County, Michigan","21,780","± 1,092","188,675"
"Watauga County, North Carolina","2,742",± 552,"26,404"
"Watonwan County, Minnesota",374,± 102,"5,279"
"Waukesha County, Wisconsin","12,972",± 688,"217,962"
"Waupaca County, Wisconsin","1,245",± 248,"26,151"
"Waushara County, Wisconsin",492,± 78,"10,826"
"Wayne County, Georgia",688,± 224,"11,345"
"Wayne County, Illinois",378,± 95,"7,186"
"Wayne County, Indiana","1,753",± 362,"30,512"
"Wayne County, Iowa",166,± 48,"2,859"
"Wayne County, Kentucky",422,± 149,"6,899"
"Wayne County, Michigan","36,073","± 1,658","760,955"
"Wayne County, Mississippi",571,± 226,"7,679"
"Wayne County, Missouri",213,± 102,"3,685"
"Wayne County, Nebraska",476,± 137,"5,362"
"Wayne County, New York","3,080",± 355,"43,843"
"Wayne County, North Carolina","3,062",± 499,"50,428"
"Wayne County, Ohio","3,152",± 344,"55,098"
"Wayne County, Pennsylvania","1,329",± 217,"21,217"
"Wayne County, Tennessee",399,± 139,"6,254"
"Wayne County, Utah",13,± 14,"1,274"
"Wayne County, West Virginia","1,127",± 294,"14,240"
"Waynesboro city, Virginia",418,± 157,"10,895"
"Weakley County, Tennessee","1,253",± 248,"14,126"
"Webb County, Texas","7,621",± 715,"111,606"
"Weber County, Utah","6,969",± 618,"132,709"
"Webster County, Georgia",56,± 55,993
"Webster County, Iowa","1,041",± 207,"17,742"
"Webster County, Kentucky",275,± 105,"5,348"
"Webster County, Mississippi",149,± 77,"4,112"
"Webster County, Missouri",867,± 206,"16,184"
"Webster County, Nebraska",119,± 38,"1,767"
"Webster County, West Virginia",138,± 63,"2,669"
"Webster Parish, Louisiana",761,± 214,"12,994"
"Weld County, Colorado","9,314",± 741,"168,820"
"Wells County, Indiana",784,± 193,"14,351"
"Wells County, North Dakota",140,± 52,"1,938"
"West Baton Rouge Parish, Louisiana",729,± 242,"12,560"
"West Carroll Parish, Louisiana",159,± 72,"3,629"
"West Feliciana Parish, Louisiana",451,± 167,"5,627"
"Westchester County, New York","44,168","± 1,592","496,164"
"Western Connecticut Planning Region, Connecticut","20,661","± 1,219","322,043"
"Westmoreland County, Pennsylvania","9,508",± 827,"171,612"
"Westmoreland County, Virginia",297,± 164,"7,016"
"Weston County, Wyoming",135,± 68,"3,035"
"Wetzel County, West Virginia",285,± 94,"5,116"
"Wexford County, Michigan",628,± 117,"14,075"
"Wharton County, Texas","1,121",± 211,"18,162"
"Whatcom County, Washington","7,471",± 819,"111,457"
"Wheatland County, Montana",61,± 30,827
"Wheeler County, Georgia",56,± 59,"2,763"
"Wheeler County, Nebraska",29,± 15,363
"Wheeler County, Oregon",45,± 21,493
"Wheeler County, Texas",101,± 43,"2,274"
"White County, Arkansas","2,695",± 492,"32,261"
"White County, Georgia",756,± 251,"12,598"
"White County, Illinois",321,± 93,"5,962"
"White County, Indiana",453,± 127,"11,340"
"White County, Tennessee",596,± 190,"11,226"
"White Pine County, Nevada",225,± 100,"3,470"
"Whiteside County, Illinois","1,618",± 349,"26,585"
"Whitfield County, Georgia","2,740",± 490,"47,406"
"Whitley County, Indiana",664,± 191,"17,167"
"Whitley County, Kentucky","1,162",± 271,"13,246"
"Whitman County, Washington","3,624",± 516,"22,847"
"Wibaux County, Montana",47,± 29,489
"Wichita County, Kansas",70,± 40,941
"Wichita County, Texas","3,724",± 467,"57,700"
"Wicomico County, Maryland","3,641",± 508,"50,869"
"Wilbarger County, Texas",280,± 123,"5,495"
"Wilcox County, Alabama",193,± 85,"3,345"
"Wilcox County, Georgia",194,± 66,"2,894"
"Wilkes County, Georgia",133,± 69,"3,964"
"Wilkes County, North Carolina","1,384",± 341,"28,568"
"Wilkin County, Minnesota",225,± 81,"3,198"
"Wilkinson County, Georgia",125,± 62,"3,256"
"Wilkinson County, Mississippi",129,± 75,"2,798"
"Will County, Illinois","21,341",± 993,"359,464"
"Willacy County, Texas",423,± 119,"8,029"
"Williams County, North Dakota","1,458",± 422,"20,312"
"Williams County, Ohio",684,± 131,"17,689"
"Williamsburg city, Virginia",706,± 168,"6,417"
"Williamsburg County, South Carolina",658,± 194,"12,034"
"Williamson County, Illinois","2,253",± 351,"30,387"
"Williamson County, Tennessee","7,969",± 786,"127,487"
"Williamson County, Texas","20,420","± 1,118","325,008"
"Wilson County, Kansas",401,± 92,"3,895"
"Wilson County, North Carolina","2,214",± 459,"34,334"
"Wilson County, Tennessee","4,507",± 576,"74,682"
"Wilson County, Texas","1,711",± 319,"23,332"
"Winchester city, Virginia","1,098",± 327,"14,519"
"Windham County, Vermont","2,174",± 331,"23,512"
"Windsor County, Vermont","2,298",± 309,"29,203"
"Winkler County, Texas",225,± 84,"3,380"
"Winn Parish, Louisiana",247,± 112,"4,857"
"Winnebago County, Illinois","6,609",± 589,"129,952"
"Winnebago County, Iowa",419,± 118,"5,495"
"Winnebago County, Wisconsin","4,725",± 461,"90,628"
"Winneshiek County, Iowa",823,± 163,"10,955"
"Winona County, Minnesota","1,772",± 254,"27,653"
"Winston County, Alabama",476,± 138,"9,773"
"Winston County, Mississippi",469,± 125,"6,547"
"Wirt County, West Virginia",139,± 121,"2,012"
"Wise County, Texas","1,965",± 408,"34,358"
"Wise County, Virginia","1,279",± 348,"12,651"
"Wolfe County, Kentucky",142,± 108,"1,527"
"Wood County, Ohio","5,386",± 561,"68,995"
"Wood County, Texas","1,154",± 261,"17,179"
"Wood County, West Virginia","2,037",± 305,"35,901"
"Wood County, Wisconsin","1,653",± 270,"35,858"
"Woodbury County, Iowa","3,088",± 442,"52,921"
"Woodford County, Illinois","1,421",± 340,"18,599"
"Woodford County, Kentucky",818,± 168,"13,606"
"Woodruff County, Arkansas",97,± 41,"2,630"
"Woods County, Oklahoma",304,± 110,"4,062"
"Woodson County, Kansas",119,± 38,"1,330"
"Woodward County, Oklahoma",826,± 213,"9,425"
"Worcester County, Maryland","1,354",± 219,"24,644"
"Worcester County, Massachusetts","31,854","± 1,428","441,570"
"Worth County, Georgia",334,± 133,"8,679"
"Worth County, Iowa",182,± 52,"3,994"
"Worth County, Missouri",20,± 14,930
"Wrangell City and Borough, Alaska",44,± 17,815
"Wright County, Iowa",264,± 88,"5,823"
"Wright County, Minnesota","4,918",± 482,"76,981"
"Wright County, Missouri",481,± 160,"6,859"
"Wyandot County, Ohio",763,± 149,"10,973"
"Wyandotte County, Kansas","3,437",± 467,"78,590"
"Wyoming County, New York","1,193",± 193,"18,100"
"Wyoming County, Pennsylvania",585,± 113,"12,048"
"Wyoming County, West Virginia",803,± 253,"6,143"
"Wythe County, Virginia",806,± 222,"12,623"
"Yabucoa Municipio, Puerto Rico",480,± 164,"8,686"
"Yadkin County, North Carolina",772,± 173,"16,900"
"Yakima County, Washington","7,110",± 716,"108,902"
"Yakutat City and Borough, Alaska",38,± 31,322
"Yalobusha County, Mississippi",346,± 136,"4,992"
"Yamhill County, Oregon","2,700",± 394,"49,981"
"Yancey County, North Carolina",432,± 130,"7,696"
"Yankton County, South Dakota",483,± 176,"11,876"
"Yates County, New York",796,± 156,"10,807"
"Yauco Municipio, Puerto Rico",832,± 219,"9,880"
"Yavapai County, Arizona","5,069",± 698,"94,954"
"Yazoo County, Mississippi",272,± 88,"9,054"
"Yell County, Arkansas",426,± 118,"8,930"
"Yellow Medicine County, Minnesota",248,± 48,"4,733"
"Yellowstone County, Montana","4,368",± 556,"84,122"
"Yoakum County, Texas",277,± 148,"3,287"
"Yolo County, California","10,680",± 829,"102,693"
"York County, Maine","6,954",± 657,"112,736"
"York County, Nebraska",510,± 133,"6,948"
"York County, Pennsylvania","11,596",± 769,"230,648"
"York County, South Carolina","8,166",± 735,"141,825"
"York County, Virginia","2,986",± 500,"31,845"
"Young County, Texas",325,± 174,"8,217"
"Yuba County, California","1,462",± 343,"31,657"
"Yukon-Koyukuk Census Area, Alaska",252,± 67,"2,358"
"Yuma County, Arizona","4,568",± 651,"74,868"
"Yuma County, Colorado",276,± 126,"4,857"
"Zapata County, Texas",320,± 140,"4,843"
"Zavala County, Texas",239,± 168,"3,797"
"Ziebach County, South Dakota",86,± 30,829
