Geography,"Total—Civilian employed population 16 years and over—Management, business, science, and arts occupations:—Healthcare practitioners and technical occupations:—Estimate",MoE,Total—Civilian employed population 16 years and over—Estimate
"St. Martin Parish, Louisiana","1,279",± 311,"21,952"
"St. Mary Parish, Louisiana",671,± 204,"19,359"
"St. Mary's County, Maryland","2,116",± 324,"57,306"
"St. Tammany Parish, Louisiana","9,806",± 814,"123,509"
"Stafford County, Kansas",106,± 38,"1,971"
"Stafford County, Virginia","4,152",± 623,"76,554"
"Stanislaus County, California","11,710","± 1,013","237,110"
"Stanley County, South Dakota",73,± 46,"1,714"
"Stanly County, North Carolina","1,968",± 318,"28,739"
"Stanton County, Kansas",11,± 16,994
"Stanton County, Nebraska",180,± 65,"3,111"
"Stark County, Illinois",173,± 51,"2,438"
"Stark County, North Dakota",657,± 180,"16,757"
"Stark County, Ohio","12,395",± 910,"179,639"
"Starke County, Indiana",622,± 167,"9,562"
"Starr County, Texas",866,± 198,"24,109"
"Staunton city, Virginia",880,± 184,"12,367"
"Ste. Genevieve County, Missouri",522,± 145,"8,539"
"Stearns County, Minnesota","6,010",± 534,"84,473"
"Steele County, Minnesota","1,054",± 181,"19,136"
"Steele County, North Dakota",31,± 16,836
"Stephens County, Georgia",399,± 184,"11,303"
"Stephens County, Oklahoma","1,051",± 205,"17,605"
"Stephens County, Texas",88,± 53,"3,857"
"Stephenson County, Illinois","1,231",± 211,"20,221"
"Sterling County, Texas",0,± 15,575
"Steuben County, Indiana",663,± 160,"16,567"
"Steuben County, New York","2,469",± 265,"42,149"
"Stevens County, Kansas",48,± 38,"2,410"
"Stevens County, Minnesota",254,± 67,"5,134"
"Stevens County, Washington","1,022",± 210,"17,962"
"Stewart County, Georgia",81,± 49,"1,480"
"Stewart County, Tennessee",251,± 103,"5,613"
"Stillwater County, Montana",157,± 49,"4,269"
"Stoddard County, Missouri",882,± 192,"12,022"
"Stokes County, North Carolina","1,249",± 313,"19,662"
"Stone County, Arkansas",316,± 125,"3,907"
"Stone County, Mississippi",522,± 198,"6,802"
"Stone County, Missouri",508,± 145,"12,003"
"Stonewall County, Texas",21,± 20,667
"Storey County, Nevada",73,± 56,"1,344"
"Story County, Iowa","2,371",± 333,"53,259"
"Strafford County, New Hampshire","4,094",± 503,"71,642"
"Stutsman County, North Dakota",547,± 133,"10,800"
"Sublette County, Wyoming",204,± 112,"4,489"
"Suffolk city, Virginia","3,195",± 378,"44,358"
"Suffolk County, Massachusetts","29,564","± 1,461","434,911"
"Suffolk County, New York","56,078","± 1,832","781,818"
"Sullivan County, Indiana",785,± 175,"8,938"
"Sullivan County, Missouri",105,± 37,"2,636"
"Sullivan County, New Hampshire","1,801",± 439,"20,190"
"Sullivan County, New York","2,182",± 336,"34,474"
"Sullivan County, Pennsylvania",167,± 42,"2,548"
"Sullivan County, Tennessee","6,016",± 570,"69,206"
"Sully County, South Dakota",23,± 16,785
"Summers County, West Virginia",235,± 156,"3,543"
"Summit County, Colorado",905,± 299,"19,419"
"Summit County, Ohio","17,912",± 954,"270,271"
"Summit County, Utah","1,511",± 288,"22,962"
"Sumner County, Kansas",428,± 94,"9,954"
"Sumner County, Tennessee","6,872",± 589,"99,744"
"Sumter County, Alabama",63,± 35,"4,299"
"Sumter County, Florida","1,781",± 505,"28,658"
"Sumter County, Georgia","1,009",± 295,"12,148"
"Sumter County, South Carolina","3,294",± 670,"42,030"
"Sunflower County, Mississippi",625,± 161,"8,739"
"Surry County, North Carolina","1,906",± 312,"31,768"
"Surry County, Virginia",167,± 77,"3,147"
"Susquehanna County, Pennsylvania",976,± 157,"16,812"
"Sussex County, Delaware","7,106",± 606,"103,861"
"Sussex County, New Jersey","4,824",± 661,"77,810"
"Sussex County, Virginia",197,± 83,"4,382"
"Sutter County, California","1,970",± 397,"42,251"
"Sutton County, Texas",56,± 39,"1,430"
"Suwannee County, Florida","1,161",± 388,"17,198"
"Swain County, North Carolina",431,± 148,"5,754"
"Sweet Grass County, Montana",99,± 47,"1,848"
"Sweetwater County, Wyoming",964,± 301,"20,950"
"Swift County, Minnesota",304,± 74,"4,658"
"Swisher County, Texas",168,± 96,"2,668"
"Switzerland County, Indiana",103,± 47,"4,397"
"Talbot County, Georgia",86,± 54,"2,455"
"Talbot County, Maryland","1,472",± 248,"17,056"
"Taliaferro County, Georgia",21,± 14,668
"Talladega County, Alabama","1,589",± 275,"32,093"
"Tallahatchie County, Mississippi",182,± 73,"4,468"
"Tallapoosa County, Alabama",938,± 209,"15,600"
"Tama County, Iowa",397,± 99,"8,165"
"Taney County, Missouri","1,209",± 264,"25,499"
"Tangipahoa Parish, Louisiana","3,771",± 565,"57,432"
"Taos County, New Mexico",972,± 313,"14,083"
"Tarrant County, Texas","53,885","± 2,169","1,065,717"
"Tate County, Mississippi",734,± 227,"11,953"
"Tattnall County, Georgia",411,± 143,"7,916"
"Taylor County, Florida",404,± 132,"6,747"
"Taylor County, Georgia",124,± 54,"3,011"
"Taylor County, Iowa",242,± 55,"2,951"
"Taylor County, Kentucky",703,± 220,"12,119"
"Taylor County, Texas","5,101",± 681,"66,180"
"Taylor County, West Virginia",413,± 189,"6,664"
"Taylor County, Wisconsin",568,± 95,"9,903"
"Tazewell County, Illinois","4,767",± 529,"62,163"
"Tazewell County, Virginia","1,127",± 295,"14,328"
"Tehama County, California","1,166",± 328,"25,597"
"Telfair County, Georgia",222,± 125,"3,698"
"Teller County, Colorado",695,± 187,"11,519"
"Tensas Parish, Louisiana",51,± 32,"1,174"
"Terrebonne Parish, Louisiana","3,559",± 649,"47,126"
"Terrell County, Georgia",83,± 48,"3,305"
"Terrell County, Texas",3,± 4,364
"Terry County, Texas",209,± 119,"4,992"
"Teton County, Idaho",385,± 149,"6,875"
"Teton County, Montana",107,± 34,"2,862"
"Teton County, Wyoming",461,± 179,"15,156"
"Texas County, Missouri",620,± 142,"9,137"
"Texas County, Oklahoma",257,± 91,"10,267"
"Thayer County, Nebraska",131,± 31,"2,439"
"Thomas County, Georgia","2,015",± 340,"21,032"
"Thomas County, Kansas",352,± 173,"4,152"
"Thomas County, Nebraska",8,± 6,352
"Throckmorton County, Texas",44,± 27,734
"Thurston County, Nebraska",130,± 31,"2,698"
"Thurston County, Washington","8,064",± 860,"134,622"
"Tift County, Georgia","1,254",± 263,"17,809"
"Tillamook County, Oregon",599,± 196,"10,896"
"Tillman County, Oklahoma",92,± 43,"2,793"
"Tioga County, New York","1,210",± 190,"22,722"
"Tioga County, Pennsylvania",925,± 139,"18,529"
"Tippah County, Mississippi",664,± 201,"9,229"
"Tippecanoe County, Indiana","5,172",± 500,"91,808"
"Tipton County, Indiana",368,± 133,"7,470"
"Tipton County, Tennessee","2,065",± 378,"27,734"
"Tishomingo County, Mississippi",858,± 226,"7,514"
"Titus County, Texas",434,± 147,"13,364"
"Toa Alta Municipio, Puerto Rico","1,891",± 396,"26,426"
"Toa Baja Municipio, Puerto Rico","1,398",± 255,"29,433"
"Todd County, Kentucky",304,± 113,"5,048"
"Todd County, Minnesota",638,± 75,"11,299"
"Todd County, South Dakota",117,± 60,"2,296"
"Tom Green County, Texas","3,558",± 503,"55,687"
"Tompkins County, New York","2,878",± 345,"49,415"
"Tooele County, Utah","1,399",± 456,"36,843"
"Toole County, Montana",188,± 101,"2,128"
"Toombs County, Georgia",781,± 209,"10,157"
"Torrance County, New Mexico",91,± 71,"5,544"
"Towner County, North Dakota",67,± 33,"1,059"
"Towns County, Georgia",292,± 107,"4,631"
"Traill County, North Dakota",304,± 61,"4,135"
"Transylvania County, North Carolina",811,± 245,"14,196"
"Traverse County, Minnesota",95,± 26,"1,605"
"Travis County, Texas","35,898","± 2,134","736,834"
"Treasure County, Montana",9,± 8,364
"Trego County, Kansas",60,± 30,"1,405"
"Trempealeau County, Wisconsin",687,± 80,"15,521"
"Treutlen County, Georgia",268,± 159,"2,223"
"Trigg County, Kentucky",379,± 123,"5,743"
"Trimble County, Kentucky",298,± 157,"3,631"
"Trinity County, California",187,± 148,"5,200"
"Trinity County, Texas",255,± 81,"4,990"
"Tripp County, South Dakota",295,± 104,"2,639"
"Troup County, Georgia","1,269",± 330,"31,000"
"Trousdale County, Tennessee",338,± 129,"5,122"
"Trujillo Alto Municipio, Puerto Rico","1,479",± 359,"28,494"
"Trumbull County, Ohio","6,265",± 471,"86,468"
"Tucker County, West Virginia",286,± 96,"3,000"
"Tulare County, California","8,057",± 742,"190,883"
"Tulsa County, Oklahoma","22,001",± 962,"323,969"
"Tunica County, Mississippi",53,± 61,"4,117"
"Tuolumne County, California","1,262",± 244,"20,829"
"Turner County, Georgia",387,± 139,"3,341"
"Turner County, South Dakota",306,± 80,"4,460"
"Tuscaloosa County, Alabama","8,341",± 902,"109,994"
"Tuscarawas County, Ohio","2,677",± 385,"43,237"
"Tuscola County, Michigan","1,370",± 187,"22,892"
"Twiggs County, Georgia",152,± 75,"2,760"
"Twin Falls County, Idaho","2,190",± 335,"42,256"
"Tyler County, Texas",245,± 101,"6,324"
"Tyler County, West Virginia",274,± 113,"3,008"
"Tyrrell County, North Carolina",11,± 15,"1,180"
"Uinta County, Wyoming",535,± 196,"9,562"
"Uintah County, Utah",381,± 129,"14,591"
"Ulster County, New York","5,239",± 458,"86,493"
"Umatilla County, Oregon","1,209",± 251,"33,979"
"Unicoi County, Tennessee",586,± 165,"7,626"
"Union County, Arkansas","1,251",± 251,"16,232"
"Union County, Florida",250,± 82,"4,229"
"Union County, Georgia",624,± 219,"9,721"
"Union County, Illinois",652,± 169,"6,787"
"Union County, Indiana",302,± 133,"3,569"
"Union County, Iowa",335,± 94,"5,604"
"Union County, Kentucky",472,± 138,"5,686"
"Union County, Mississippi",719,± 182,"12,173"
"Union County, New Jersey","14,938","± 1,261","292,493"
"Union County, New Mexico",74,± 46,"1,358"
"Union County, North Carolina","6,328",± 685,"120,938"
"Union County, Ohio","2,606",± 391,"32,749"
"Union County, Oregon",623,± 140,"11,508"
"Union County, Pennsylvania","1,375",± 263,"16,876"
"Union County, South Carolina",775,± 228,"10,913"
"Union County, South Dakota",761,± 185,"8,507"
"Union County, Tennessee",538,± 188,"8,181"
"Union Parish, Louisiana",643,± 199,"8,016"
"Upshur County, Texas","1,171",± 300,"17,269"
"Upshur County, West Virginia",666,± 195,"9,536"
"Upson County, Georgia",782,± 202,"11,347"
"Upton County, Texas",57,± 56,"1,360"
"Utah County, Utah","14,809",± 920,"326,244"
"Utuado Municipio, Puerto Rico",443,± 202,"6,632"
"Uvalde County, Texas",528,± 214,"9,920"
"Val Verde County, Texas",912,± 293,"19,782"
"Valencia County, New Mexico","1,964",± 367,"29,129"
"Valley County, Idaho",309,± 184,"4,936"
"Valley County, Montana",224,± 88,"3,471"
"Valley County, Nebraska",135,± 55,"2,062"
"Van Buren County, Arkansas",344,± 118,"5,427"
"Van Buren County, Iowa",141,± 58,"3,060"
"Van Buren County, Michigan","2,023",± 288,"34,382"
"Van Buren County, Tennessee",178,± 78,"2,448"
"Van Wert County, Ohio","1,072",± 188,"14,225"
"Van Zandt County, Texas","1,409",± 285,"25,364"
"Vance County, North Carolina","1,055",± 295,"18,177"
"Vanderburgh County, Indiana","6,369",± 622,"89,329"
"Vega Alta Municipio, Puerto Rico",689,± 252,"11,311"
"Vega Baja Municipio, Puerto Rico","1,027",± 263,"16,949"
"Venango County, Pennsylvania","1,607",± 239,"21,733"
"Ventura County, California","20,110","± 1,121","409,387"
"Vermilion County, Illinois","1,629",± 211,"30,399"
"Vermilion Parish, Louisiana","1,583",± 405,"23,066"
"Vermillion County, Indiana",472,± 126,"6,817"
"Vernon County, Missouri",658,± 180,"8,492"
"Vernon County, Wisconsin",967,± 162,"13,843"
"Vernon Parish, Louisiana",777,± 188,"15,879"
"Victoria County, Texas","2,557",± 385,"41,593"
"Vieques Municipio, Puerto Rico",138,± 212,"2,075"
"Vigo County, Indiana","2,979",± 447,"48,800"
"Vilas County, Wisconsin",544,± 109,"10,186"
"Villalba Municipio, Puerto Rico",652,± 206,"6,700"
"Vinton County, Ohio",446,± 150,"5,101"
"Virginia Beach city, Virginia","15,927","± 1,060","224,334"
"Volusia County, Florida","15,173","± 1,018","244,700"
"Wabash County, Illinois",301,± 106,"5,084"
"Wabash County, Indiana",808,± 232,"14,417"
"Wabasha County, Minnesota","1,076",± 157,"11,174"
"Wabaunsee County, Kansas",171,± 67,"3,297"
"Wadena County, Minnesota",354,± 100,"6,245"
"Wagoner County, Oklahoma","2,853",± 313,"38,931"
"Wahkiakum County, Washington",22,± 28,"1,554"
"Wake County, North Carolina","36,759","± 1,798","601,289"
"Wakulla County, Florida",742,± 229,"15,355"
"Waldo County, Maine","1,275",± 249,"18,460"
"Walker County, Alabama","1,975",± 316,"25,764"
"Walker County, Georgia","1,962",± 462,"30,682"
"Walker County, Texas",976,± 321,"29,120"
"Walla Walla County, Washington","1,650",± 249,"27,499"
"Wallace County, Kansas",44,± 23,714
"Waller County, Texas","1,127",± 291,"24,902"
"Wallowa County, Oregon",149,± 51,"3,295"
"Walsh County, North Dakota",322,± 74,"5,210"
"Walthall County, Mississippi",397,± 167,"5,168"
"Walton County, Florida","1,664",± 459,"34,379"
"Walton County, Georgia","2,268",± 352,"46,541"
"Walworth County, South Dakota",279,± 101,"2,557"
"Walworth County, Wisconsin","2,509",± 356,"55,626"
"Wapello County, Iowa","1,077",± 218,"16,468"
"Ward County, North Dakota","1,987",± 379,"34,170"
"Ward County, Texas",172,± 95,"5,111"
"Ware County, Georgia",672,± 191,"13,100"
"Warren County, Georgia",48,± 26,"2,020"
"Warren County, Illinois",277,± 84,"7,685"
"Warren County, Indiana",274,± 101,"4,074"
"Warren County, Iowa","1,384",± 252,"27,607"
"Warren County, Kentucky","4,538",± 565,"68,496"
"Warren County, Mississippi","1,345",± 357,"19,268"
"Warren County, Missouri","1,039",± 354,"17,120"
"Warren County, New Jersey","3,308",± 422,"56,741"
"Warren County, New York","2,409",± 398,"31,884"
"Warren County, North Carolina",288,± 116,"7,084"
"Warren County, Ohio","9,542",± 970,"121,923"
"Warren County, Pennsylvania","1,330",± 214,"17,363"
"Warren County, Tennessee","1,018",± 253,"17,684"
"Warren County, Virginia",678,± 156,"19,589"
"Warrick County, Indiana","3,395",± 445,"31,541"
"Wasatch County, Utah",974,± 257,"17,205"
"Wasco County, Oregon",965,± 275,"11,870"
"Waseca County, Minnesota",473,± 96,"9,538"
"Washakie County, Wyoming",273,± 104,"3,961"
"Washburn County, Wisconsin",406,± 59,"7,249"
"Washington County, Alabama",389,± 149,"5,598"
"Washington County, Arkansas","7,794","± 1,024","120,991"
"Washington County, Colorado",87,± 31,"2,284"
"Washington County, Florida",469,± 164,"8,671"
"Washington County, Georgia",379,± 146,"7,809"
"Washington County, Idaho",135,± 79,"3,998"
"Washington County, Illinois",501,± 95,"6,942"
"Washington County, Indiana",736,± 185,"13,164"
"Washington County, Iowa",878,± 213,"11,701"
"Washington County, Kansas",109,± 40,"2,600"
"Washington County, Kentucky",318,± 109,"5,717"
"Washington County, Maine",487,± 76,"12,737"
"Washington County, Maryland","4,459",± 466,"70,953"
"Washington County, Minnesota","10,931",± 891,"141,759"
"Washington County, Mississippi","1,080",± 235,"16,531"
"Washington County, Missouri",584,± 197,"9,233"
"Washington County, Nebraska",742,± 225,"11,060"
"Washington County, New York","1,932",± 334,"28,617"
"Washington County, North Carolina",149,± 75,"3,893"
"Washington County, Ohio","2,126",± 327,"27,028"
"Washington County, Oklahoma","1,205",± 197,"23,038"
"Washington County, Oregon","17,594","± 1,159","316,457"
"Washington County, Pennsylvania","7,700",± 725,"102,148"
"Washington County, Rhode Island","4,751",± 538,"66,218"
"Washington County, Tennessee","7,330",± 708,"63,338"
"Washington County, Texas","1,227",± 296,"16,633"
"Washington County, Utah","5,280",± 829,"78,297"
"Washington County, Vermont","1,969",± 307,"31,418"
"Washington County, Virginia","1,931",± 304,"23,968"
"Washington County, Wisconsin","5,193",± 473,"74,576"
"Washington Parish, Louisiana","1,223",± 399,"16,763"
"Washita County, Oklahoma",147,± 52,"4,759"
"Washoe County, Nevada","13,148",± 999,"248,193"
"Washtenaw County, Michigan","16,461",± 905,"188,675"
"Watauga County, North Carolina",939,± 204,"26,404"
"Watonwan County, Minnesota",372,± 89,"5,279"
"Waukesha County, Wisconsin","18,403","± 1,030","217,962"
"Waupaca County, Wisconsin","1,337",± 179,"26,151"
"Waushara County, Wisconsin",542,± 69,"10,826"
"Wayne County, Georgia",627,± 257,"11,345"
"Wayne County, Illinois",498,± 125,"7,186"
"Wayne County, Indiana","1,993",± 305,"30,512"
"Wayne County, Iowa",173,± 54,"2,859"
"Wayne County, Kentucky",313,± 131,"6,899"
"Wayne County, Michigan","46,802","± 1,666","760,955"
"Wayne County, Mississippi",812,± 311,"7,679"
"Wayne County, Missouri",223,± 102,"3,685"
"Wayne County, Nebraska",273,± 99,"5,362"
"Wayne County, New York","3,153",± 370,"43,843"
"Wayne County, North Carolina","3,029",± 409,"50,428"
"Wayne County, Ohio","3,105",± 344,"55,098"
"Wayne County, Pennsylvania","1,233",± 195,"21,217"
"Wayne County, Tennessee",609,± 177,"6,254"
"Wayne County, Utah",80,± 61,"1,274"
"Wayne County, West Virginia","1,619",± 389,"14,240"
"Waynesboro city, Virginia",877,± 292,"10,895"
"Weakley County, Tennessee","1,192",± 238,"14,126"
"Webb County, Texas","3,991",± 584,"111,606"
"Weber County, Utah","6,162",± 522,"132,709"
"Webster County, Georgia",38,± 33,993
"Webster County, Iowa","1,135",± 216,"17,742"
"Webster County, Kentucky",374,± 101,"5,348"
"Webster County, Mississippi",313,± 116,"4,112"
"Webster County, Missouri",826,± 190,"16,184"
"Webster County, Nebraska",112,± 30,"1,767"
"Webster County, West Virginia",210,± 97,"2,669"
"Webster Parish, Louisiana","1,107",± 229,"12,994"
"Weld County, Colorado","9,013",± 662,"168,820"
"Wells County, Indiana","1,098",± 220,"14,351"
"Wells County, North Dakota",93,± 45,"1,938"
"West Baton Rouge Parish, Louisiana",783,± 256,"12,560"
"West Carroll Parish, Louisiana",284,± 99,"3,629"
"West Feliciana Parish, Louisiana",358,± 134,"5,627"
"Westchester County, New York","36,206","± 1,720","496,164"
"Western Connecticut Planning Region, Connecticut","18,335","± 1,105","322,043"
"Westmoreland County, Pennsylvania","13,367",± 847,"171,612"
"Westmoreland County, Virginia",109,± 74,"7,016"
"Weston County, Wyoming",141,± 81,"3,035"
"Wetzel County, West Virginia",225,± 102,"5,116"
"Wexford County, Michigan",924,± 160,"14,075"
"Wharton County, Texas","1,203",± 249,"18,162"
"Whatcom County, Washington","6,558",± 695,"111,457"
"Wheatland County, Montana",16,± 13,827
"Wheeler County, Georgia",46,± 40,"2,763"
"Wheeler County, Nebraska",7,± 6,363
"Wheeler County, Oregon",14,± 9,493
"Wheeler County, Texas",119,± 59,"2,274"
"White County, Arkansas","2,237",± 364,"32,261"
"White County, Georgia","1,085",± 359,"12,598"
"White County, Illinois",377,± 107,"5,962"
"White County, Indiana",445,± 100,"11,340"
"White County, Tennessee",656,± 227,"11,226"
"White Pine County, Nevada",184,± 98,"3,470"
"Whiteside County, Illinois","1,639",± 255,"26,585"
"Whitfield County, Georgia","2,112",± 472,"47,406"
"Whitley County, Indiana","1,255",± 186,"17,167"
"Whitley County, Kentucky",769,± 195,"13,246"
"Whitman County, Washington","1,058",± 197,"22,847"
"Wibaux County, Montana",15,± 13,489
"Wichita County, Kansas",29,± 25,941
"Wichita County, Texas","3,964",± 428,"57,700"
"Wicomico County, Maryland","3,174",± 492,"50,869"
"Wilbarger County, Texas",241,± 112,"5,495"
"Wilcox County, Alabama",107,± 56,"3,345"
"Wilcox County, Georgia",117,± 58,"2,894"
"Wilkes County, Georgia",211,± 88,"3,964"
"Wilkes County, North Carolina","1,643",± 341,"28,568"
"Wilkin County, Minnesota",154,± 44,"3,198"
"Wilkinson County, Georgia",180,± 76,"3,256"
"Wilkinson County, Mississippi",47,± 45,"2,798"
"Will County, Illinois","22,690","± 1,158","359,464"
"Willacy County, Texas",373,± 166,"8,029"
"Williams County, North Dakota","1,193",± 337,"20,312"
"Williams County, Ohio",890,± 190,"17,689"
"Williamsburg city, Virginia",193,± 79,"6,417"
"Williamsburg County, South Carolina",724,± 207,"12,034"
"Williamson County, Illinois","2,608",± 350,"30,387"
"Williamson County, Tennessee","9,119",± 834,"127,487"
"Williamson County, Texas","18,260","± 1,133","325,008"
"Wilson County, Kansas",180,± 63,"3,895"
"Wilson County, North Carolina","2,184",± 395,"34,334"
"Wilson County, Tennessee","4,952",± 738,"74,682"
"Wilson County, Texas","1,225",± 305,"23,332"
"Winchester city, Virginia",975,± 230,"14,519"
"Windham County, Vermont","1,273",± 239,"23,512"
"Windsor County, Vermont","2,373",± 307,"29,203"
"Winkler County, Texas",53,± 49,"3,380"
"Winn Parish, Louisiana",348,± 134,"4,857"
"Winnebago County, Illinois","7,966",± 590,"129,952"
"Winnebago County, Iowa",251,± 68,"5,495"
"Winnebago County, Wisconsin","4,924",± 442,"90,628"
"Winneshiek County, Iowa",576,± 141,"10,955"
"Winona County, Minnesota","1,996",± 329,"27,653"
"Winston County, Alabama",792,± 204,"9,773"
"Winston County, Mississippi",359,± 129,"6,547"
"Wirt County, West Virginia",108,± 54,"2,012"
"Wise County, Texas","1,670",± 306,"34,358"
"Wise County, Virginia",846,± 216,"12,651"
"Wolfe County, Kentucky",92,± 61,"1,527"
"Wood County, Ohio","5,190",± 544,"68,995"
"Wood County, Texas",981,± 237,"17,179"
"Wood County, West Virginia","2,646",± 394,"35,901"
"Wood County, Wisconsin","2,873",± 306,"35,858"
"Woodbury County, Iowa","2,826",± 395,"52,921"
"Woodford County, Illinois","1,410",± 269,"18,599"
"Woodford County, Kentucky","1,062",± 248,"13,606"
"Woodruff County, Arkansas",256,± 104,"2,630"
"Woods County, Oklahoma",159,± 64,"4,062"
"Woodson County, Kansas",30,± 23,"1,330"
"Woodward County, Oklahoma",283,± 133,"9,425"
"Worcester County, Maryland","1,567",± 242,"24,644"
"Worcester County, Massachusetts","31,007","± 1,185","441,570"
"Worth County, Georgia",763,± 208,"8,679"
"Worth County, Iowa",267,± 69,"3,994"
"Worth County, Missouri",32,± 19,930
"Wrangell City and Borough, Alaska",37,± 25,815
"Wright County, Iowa",371,± 99,"5,823"
"Wright County, Minnesota","5,058",± 553,"76,981"
"Wright County, Missouri",291,± 116,"6,859"
"Wyandot County, Ohio",705,± 186,"10,973"
"Wyandotte County, Kansas","3,159",± 424,"78,590"
"Wyoming County, New York","1,005",± 171,"18,100"
"Wyoming County, Pennsylvania",673,± 97,"12,048"
"Wyoming County, West Virginia",593,± 287,"6,143"
"Wythe County, Virginia",977,± 257,"12,623"
"Yabucoa Municipio, Puerto Rico",491,± 165,"8,686"
"Yadkin County, North Carolina","1,274",± 239,"16,900"
"Yakima County, Washington","4,343",± 503,"108,902"
"Yakutat City and Borough, Alaska",0,± 10,322
"Yalobusha County, Mississippi",303,± 136,"4,992"
"Yamhill County, Oregon","2,574",± 373,"49,981"
"Yancey County, North Carolina",583,± 149,"7,696"
"Yankton County, South Dakota","1,214",± 286,"11,876"
"Yates County, New York",425,± 106,"10,807"
"Yauco Municipio, Puerto Rico","1,051",± 262,"9,880"
"Yavapai County, Arizona","5,882",± 703,"94,954"
"Yazoo County, Mississippi",463,± 178,"9,054"
"Yell County, Arkansas",382,± 134,"8,930"
"Yellow Medicine County, Minnesota",286,± 59,"4,733"
"Yellowstone County, Montana","7,108",± 842,"84,122"
"Yoakum County, Texas",164,± 103,"3,287"
"Yolo County, California","5,545",± 594,"102,693"
"York County, Maine","6,628",± 767,"112,736"
"York County, Nebraska",351,± 101,"6,948"
"York County, Pennsylvania","15,400","± 1,019","230,648"
"York County, South Carolina","8,603",± 870,"141,825"
"York County, Virginia","2,287",± 346,"31,845"
"Young County, Texas",380,± 200,"8,217"
"Yuba County, California","1,729",± 356,"31,657"
"Yukon-Koyukuk Census Area, Alaska",63,± 36,"2,358"
"Yuma County, Arizona","3,481",± 532,"74,868"
"Yuma County, Colorado",258,± 98,"4,857"
"Zapata County, Texas",219,± 137,"4,843"
"Zavala County, Texas",214,± 124,"3,797"
"Ziebach County, South Dakota",28,± 15,829
