Geography,Households—Median income (dollars)—Estimate,MoE
"Van Zandt County, Texas","62,334","± 5,052"
"Vance County, North Carolina","48,340","± 3,954"
"Vanderburgh County, Indiana","58,839","± 1,279"
"Vega Alta Municipio, Puerto Rico","24,778","± 1,463"
"Vega Baja Municipio, Puerto Rico","23,701","± 1,606"
"Venango County, Pennsylvania","59,278","± 2,044"
"Ventura County, California","102,141","± 1,528"
"Vermilion County, Illinois","52,787","± 1,819"
"Vermilion Parish, Louisiana","56,194","± 3,429"
"Vermillion County, Indiana","59,567","± 5,283"
"Vernon County, Missouri","53,318","± 3,351"
"Vernon County, Wisconsin","65,177","± 2,339"
"Vernon Parish, Louisiana","56,547","± 2,244"
"Victoria County, Texas","66,308","± 2,357"
"Vieques Municipio, Puerto Rico","17,062",± 999
"Vigo County, Indiana","52,789","± 2,521"
"Vilas County, Wisconsin","63,726","± 3,670"
"Villalba Municipio, Puerto Rico","22,461","± 3,326"
"Vinton County, Ohio","50,967","± 6,264"
"Virginia Beach city, Virginia","87,544","± 1,964"
"Volusia County, Florida","63,075","± 1,287"
"Wabash County, Illinois","54,074","± 5,882"
"Wabash County, Indiana","66,194","± 5,189"
"Wabasha County, Minnesota","75,063","± 3,181"
"Wabaunsee County, Kansas","70,000","± 7,955"
"Wadena County, Minnesota","54,747","± 2,697"
"Wagoner County, Oklahoma","75,082","± 2,194"
"Wahkiakum County, Washington","59,167","± 7,057"
"Wake County, North Carolina","96,734","± 1,318"
"Wakulla County, Florida","72,035","± 4,005"
"Waldo County, Maine","62,694","± 5,027"
"Walker County, Alabama","52,987","± 3,833"
"Walker County, Georgia","52,276","± 2,554"
"Walker County, Texas","47,193","± 2,982"
"Walla Walla County, Washington","66,635","± 4,619"
"Wallace County, Kansas","57,708","± 10,523"
"Waller County, Texas","71,643","± 4,285"
"Wallowa County, Oregon","62,238","± 6,062"
"Walsh County, North Dakota","68,082","± 3,496"
"Walthall County, Mississippi","37,145","± 6,419"
"Walton County, Florida","74,832","± 5,234"
"Walton County, Georgia","79,425","± 3,517"
"Walworth County, South Dakota","57,697","± 5,699"
"Walworth County, Wisconsin","75,172","± 2,150"
"Wapello County, Iowa","56,209","± 2,477"
"Ward County, North Dakota","78,143","± 2,048"
"Ward County, Texas","70,771","± 8,920"
"Ware County, Georgia","44,138","± 3,499"
"Warren County, Georgia","45,091","± 7,507"
"Warren County, Illinois","62,700","± 7,148"
"Warren County, Indiana","72,833","± 5,691"
"Warren County, Iowa","89,741","± 3,923"
"Warren County, Kentucky","63,074","± 2,102"
"Warren County, Mississippi","54,117","± 2,094"
"Warren County, Missouri","75,531","± 5,347"
"Warren County, New Jersey","92,620","± 2,407"
"Warren County, New York","74,531","± 3,532"
"Warren County, North Carolina","42,282","± 2,684"
"Warren County, Ohio","103,128","± 2,349"
"Warren County, Pennsylvania","57,925","± 3,005"
"Warren County, Tennessee","52,948","± 2,054"
"Warren County, Virginia","79,313","± 7,029"
"Warrick County, Indiana","91,105","± 4,766"
"Wasatch County, Utah","104,855","± 7,512"
"Wasco County, Oregon","61,316","± 4,317"
"Waseca County, Minnesota","71,856","± 3,640"
"Washakie County, Wyoming","61,875","± 5,828"
"Washburn County, Wisconsin","58,504","± 3,095"
"Washington County, Alabama","51,184","± 5,632"
"Washington County, Arkansas","61,985","± 2,353"
"Washington County, Colorado","59,087","± 5,105"
"Washington County, Florida","47,536","± 4,379"
"Washington County, Georgia","43,810","± 6,143"
"Washington County, Idaho","50,046","± 6,839"
"Washington County, Illinois","75,111","± 4,845"
"Washington County, Indiana","60,695","± 6,274"
"Washington County, Iowa","71,122","± 4,067"
"Washington County, Kansas","59,432","± 4,635"
"Washington County, Kentucky","65,456","± 7,080"
"Washington County, Maine","51,669","± 2,809"
"Washington County, Maryland","73,017","± 2,283"
"Washington County, Minnesota","110,828","± 2,338"
"Washington County, Mississippi","38,394","± 4,280"
"Washington County, Missouri","49,364","± 3,832"
"Washington County, Nebraska","89,671","± 8,506"
"Washington County, New York","68,703","± 2,345"
"Washington County, North Carolina","38,927","± 7,294"
"Washington County, Ohio","59,053","± 2,477"
"Washington County, Oklahoma","59,426","± 2,550"
"Washington County, Oregon","100,121","± 1,602"
"Washington County, Pennsylvania","74,403","± 1,769"
"Washington County, Rhode Island","99,510","± 3,981"
"Washington County, Tennessee","58,507","± 2,962"
"Washington County, Texas","70,043","± 6,589"
"Washington County, Utah","71,976","± 3,410"
"Washington County, Vermont","77,278","± 2,901"
"Washington County, Virginia","59,116","± 2,547"
"Washington County, Wisconsin","91,915","± 2,441"
"Washington Parish, Louisiana","41,803","± 3,193"
"Washita County, Oklahoma","60,600","± 4,570"
"Washoe County, Nevada","81,531","± 1,600"
"Washtenaw County, Michigan","84,245","± 2,357"
"Watauga County, North Carolina","50,034","± 4,190"
"Watonwan County, Minnesota","65,197","± 5,388"
"Waukesha County, Wisconsin","101,639","± 1,566"
"Waupaca County, Wisconsin","69,198","± 3,370"
"Waushara County, Wisconsin","61,033","± 3,114"
"Wayne County, Georgia","49,847","± 6,009"
"Wayne County, Illinois","53,522","± 3,908"
"Wayne County, Indiana","54,854","± 2,833"
"Wayne County, Iowa","58,257","± 5,920"
"Wayne County, Kentucky","41,583","± 4,426"
"Wayne County, Michigan","57,223",± 563
"Wayne County, Mississippi","34,875","± 4,489"
"Wayne County, Missouri","42,758","± 5,529"
"Wayne County, Nebraska","64,951","± 2,373"
"Wayne County, New York","71,007","± 2,203"
"Wayne County, North Carolina","54,323","± 2,745"
"Wayne County, Ohio","70,320","± 1,919"
"Wayne County, Pennsylvania","59,240","± 2,840"
"Wayne County, Tennessee","49,360","± 3,970"
"Wayne County, Utah","64,870","± 16,573"
"Wayne County, West Virginia","52,694","± 5,157"
"Waynesboro city, Virginia","52,519","± 4,615"
"Weakley County, Tennessee","47,769","± 2,693"
"Webb County, Texas","59,984","± 1,866"
"Weber County, Utah","82,291","± 1,773"
"Webster County, Georgia","35,000","± 14,998"
"Webster County, Iowa","65,335","± 3,112"
"Webster County, Kentucky","55,451","± 3,852"
"Webster County, Mississippi","55,657","± 6,714"
"Webster County, Missouri","65,103","± 2,215"
"Webster County, Nebraska","62,571","± 4,179"
"Webster County, West Virginia","43,409","± 5,376"
"Webster Parish, Louisiana","34,263","± 1,859"
"Weld County, Colorado","89,182","± 1,677"
"Wells County, Indiana","68,074","± 3,789"
"Wells County, North Dakota","59,732","± 7,606"
"West Baton Rouge Parish, Louisiana","80,510","± 7,340"
"West Carroll Parish, Louisiana","45,035","± 5,686"
"West Feliciana Parish, Louisiana","71,985","± 9,132"
"Westchester County, New York","114,651","± 1,787"
"Western Connecticut Planning Region, Connecticut","118,930","± 1,895"
"Westmoreland County, Pennsylvania","69,454","± 1,383"
"Westmoreland County, Virginia","56,647","± 6,946"
"Weston County, Wyoming","71,800","± 9,694"
"Wetzel County, West Virginia","50,715","± 3,116"
"Wexford County, Michigan","58,652","± 3,406"
"Wharton County, Texas","59,712","± 4,083"
"Whatcom County, Washington","77,581","± 2,536"
"Wheatland County, Montana","48,272","± 10,149"
"Wheeler County, Georgia","36,354","± 12,745"
"Wheeler County, Nebraska","59,167","± 12,111"
"Wheeler County, Oregon","50,774","± 4,237"
"Wheeler County, Texas","58,158","± 8,282"
"White County, Arkansas","51,144","± 3,710"
"White County, Georgia","66,256","± 6,214"
"White County, Illinois","54,605","± 5,361"
"White County, Indiana","65,345","± 3,144"
"White County, Tennessee","48,220","± 4,011"
"White Pine County, Nevada","71,297","± 6,042"
"Whiteside County, Illinois","62,828","± 3,966"
"Whitfield County, Georgia","59,659","± 3,701"
"Whitley County, Indiana","73,636","± 3,545"
"Whitley County, Kentucky","44,332","± 3,253"
"Whitman County, Washington","49,345","± 3,719"
"Wibaux County, Montana","58,750","± 25,620"
"Wichita County, Kansas","69,551","± 10,062"
"Wichita County, Texas","58,862","± 1,910"
"Wicomico County, Maryland","69,421","± 2,707"
"Wilbarger County, Texas","50,769","± 9,320"
"Wilcox County, Alabama","38,208","± 3,720"
"Wilcox County, Georgia","46,759","± 4,699"
"Wilkes County, Georgia","51,780","± 5,497"
"Wilkes County, North Carolina","49,119","± 3,036"
"Wilkin County, Minnesota","67,114","± 3,779"
"Wilkinson County, Georgia","40,757","± 6,538"
"Wilkinson County, Mississippi","34,928","± 8,245"
"Will County, Illinois","103,678","± 1,442"
"Willacy County, Texas","42,839","± 5,591"
"Williams County, North Dakota","86,139","± 5,773"
"Williams County, Ohio","60,632","± 2,187"
"Williamsburg city, Virginia","66,815","± 4,892"
"Williamsburg County, South Carolina","40,848","± 3,255"
"Williamson County, Illinois","60,325","± 3,173"
"Williamson County, Tennessee","125,943","± 4,211"
"Williamson County, Texas","102,851","± 1,462"
"Wilson County, Kansas","55,439","± 5,720"
"Wilson County, North Carolina","49,827","± 2,161"
"Wilson County, Tennessee","89,462","± 2,780"
"Wilson County, Texas","89,708","± 4,391"
"Winchester city, Virginia","62,495","± 4,330"
"Windham County, Vermont","65,473","± 3,331"
"Windsor County, Vermont","69,492","± 2,945"
"Winkler County, Texas","89,155","± 14,320"
"Winn Parish, Louisiana","44,922","± 4,240"
"Winnebago County, Illinois","61,738","± 1,336"
"Winnebago County, Iowa","62,853","± 9,365"
"Winnebago County, Wisconsin","70,041","± 1,478"
"Winneshiek County, Iowa","67,770","± 6,161"
"Winona County, Minnesota","66,162","± 4,142"
"Winston County, Alabama","49,494","± 4,717"
"Winston County, Mississippi","45,516","± 5,780"
"Wirt County, West Virginia","52,776","± 6,589"
"Wise County, Texas","85,385","± 5,181"
"Wise County, Virginia","47,541","± 3,057"
"Wolfe County, Kentucky","28,666","± 4,230"
"Wood County, Ohio","70,537","± 2,274"
"Wood County, Texas","61,748","± 3,717"
"Wood County, West Virginia","54,350","± 2,665"
"Wood County, Wisconsin","63,273","± 2,057"
"Woodbury County, Iowa","68,399","± 2,126"
"Woodford County, Illinois","80,093","± 4,024"
"Woodford County, Kentucky","78,295","± 4,702"
"Woodruff County, Arkansas","49,608","± 3,585"
"Woods County, Oklahoma","50,724","± 5,750"
"Woodson County, Kansas","50,670","± 7,943"
"Woodward County, Oklahoma","61,207","± 3,519"
"Worcester County, Maryland","76,689","± 3,573"
"Worcester County, Massachusetts","88,524","± 1,230"
"Worth County, Georgia","56,496","± 5,496"
"Worth County, Iowa","69,897","± 4,976"
"Worth County, Missouri","43,536","± 5,123"
"Wrangell City and Borough, Alaska","61,000","± 9,442"
"Wright County, Iowa","58,240","± 4,351"
"Wright County, Minnesota","102,980","± 3,863"
"Wright County, Missouri","43,573","± 2,950"
"Wyandot County, Ohio","68,552","± 5,205"
"Wyandotte County, Kansas","57,771","± 1,464"
"Wyoming County, New York","65,066","± 2,202"
"Wyoming County, Pennsylvania","67,968","± 2,618"
"Wyoming County, West Virginia","44,510","± 5,817"
"Wythe County, Virginia","53,921","± 4,026"
"Yabucoa Municipio, Puerto Rico","19,972","± 1,975"
"Yadkin County, North Carolina","57,486","± 3,174"
"Yakima County, Washington","64,910","± 2,209"
"Yakutat City and Borough, Alaska","76,875","± 23,980"
"Yalobusha County, Mississippi","47,006","± 5,290"
"Yamhill County, Oregon","80,125","± 5,185"
"Yancey County, North Carolina","53,103","± 4,642"
"Yankton County, South Dakota","68,847","± 5,533"
"Yates County, New York","63,974","± 3,733"
"Yauco Municipio, Puerto Rico","19,827","± 1,671"
"Yavapai County, Arizona","62,430","± 1,633"
"Yazoo County, Mississippi","41,867","± 4,436"
"Yell County, Arkansas","55,879","± 6,270"
"Yellow Medicine County, Minnesota","70,605","± 4,435"
"Yellowstone County, Montana","72,300","± 2,616"
"Yoakum County, Texas","80,317","± 7,073"
"Yolo County, California","85,097","± 2,333"
"York County, Maine","79,743","± 2,453"
"York County, Nebraska","72,914","± 4,391"
"York County, Pennsylvania","79,183","± 1,416"
"York County, South Carolina","80,158","± 2,289"
"York County, Virginia","105,154","± 3,549"
"Young County, Texas","65,565","± 11,057"
"Yuba County, California","66,693","± 2,796"
"Yukon-Koyukuk Census Area, Alaska","47,826","± 5,856"
"Yuma County, Arizona","56,439","± 1,344"
"Yuma County, Colorado","60,118","± 7,842"
"Zapata County, Texas","35,061","± 3,758"
"Zavala County, Texas","49,243","± 14,172"
"Ziebach County, South Dakota","46,023","± 7,176"
