Geography,"Percent—AGE BY EDUCATIONAL ATTAINMENT—Population 25 years and over—9th to 12th grade, no diploma—Estimate",MoE
"Tippecanoe County, Indiana",5%,± 0.7%
"Tipton County, Indiana",6.60%,± 1.9%
"Tipton County, Tennessee",7.40%,± 1.1%
"Tishomingo County, Mississippi",9.70%,± 2.1%
"Titus County, Texas",9.80%,± 1.6%
"Toa Alta Municipio, Puerto Rico",5.10%,± 0.8%
"Toa Baja Municipio, Puerto Rico",6.20%,± 0.7%
"Todd County, Kentucky",9.40%,± 2.4%
"Todd County, Minnesota",5.50%,± 0.7%
"Todd County, South Dakota",14.90%,± 3.3%
"Tom Green County, Texas",7.20%,± 0.9%
"Tompkins County, New York",2.60%,± 0.4%
"Tooele County, Utah",5.30%,± 1%
"Toole County, Montana",7.20%,± 3%
"Toombs County, Georgia",9.80%,± 2.1%
"Torrance County, New Mexico",9%,± 2.1%
"Towner County, North Dakota",8.10%,± 3.2%
"Towns County, Georgia",5.90%,± 1.8%
"Traill County, North Dakota",3.10%,± 1%
"Transylvania County, North Carolina",4.40%,± 1.1%
"Traverse County, Minnesota",3.70%,± 1.6%
"Travis County, Texas",3.80%,± 0.2%
"Treasure County, Montana",5.20%,± 3.2%
"Trego County, Kansas",5.20%,± 2.4%
"Trempealeau County, Wisconsin",4.90%,± 0.7%
"Treutlen County, Georgia",20.20%,± 5.2%
"Trigg County, Kentucky",7.30%,± 1.9%
"Trimble County, Kentucky",12.30%,± 4.3%
"Trinity County, California",3.30%,± 1.5%
"Trinity County, Texas",8.30%,± 1.9%
"Tripp County, South Dakota",7.60%,± 2%
"Troup County, Georgia",8.30%,± 1.1%
"Trousdale County, Tennessee",10.10%,± 3.3%
"Trujillo Alto Municipio, Puerto Rico",4.80%,± 0.9%
"Trumbull County, Ohio",7.10%,± 0.6%
"Tucker County, West Virginia",7.20%,± 1.6%
"Tulare County, California",9.90%,± 0.5%
"Tulsa County, Oklahoma",6.20%,± 0.2%
"Tunica County, Mississippi",12.70%,± 2.7%
"Tuolumne County, California",5.90%,± 1%
"Turner County, Georgia",11.60%,± 3.5%
"Turner County, South Dakota",5.40%,± 1.3%
"Tuscaloosa County, Alabama",6.80%,± 0.6%
"Tuscarawas County, Ohio",6.40%,± 0.7%
"Tuscola County, Michigan",6.60%,± 0.8%
"Twiggs County, Georgia",16.40%,± 3.1%
"Twin Falls County, Idaho",7.10%,± 1%
"Tyler County, Texas",11.60%,± 2.2%
"Tyler County, West Virginia",4.50%,± 1.7%
"Tyrrell County, North Carolina",18.30%,± 5.1%
"Uinta County, Wyoming",3.50%,± 1%
"Uintah County, Utah",10%,± 1.7%
"Ulster County, New York",6%,± 0.6%
"Umatilla County, Oregon",8.50%,± 0.9%
"Unicoi County, Tennessee",7.90%,± 1.9%
"Union County, Arkansas",9.80%,± 1.4%
"Union County, Florida",17.70%,± 2.8%
"Union County, Georgia",8.30%,± 1.6%
"Union County, Illinois",7.10%,± 1.4%
"Union County, Indiana",9.40%,± 2.3%
"Union County, Iowa",5.70%,± 1.6%
"Union County, Kentucky",6.60%,± 1.7%
"Union County, Mississippi",15.70%,± 2.9%
"Union County, New Jersey",5.50%,± 0.3%
"Union County, New Mexico",9.30%,± 3.5%
"Union County, North Carolina",5.60%,± 0.5%
"Union County, Ohio",4.10%,± 0.7%
"Union County, Oregon",5.30%,± 1.2%
"Union County, Pennsylvania",9.50%,± 1.5%
"Union County, South Carolina",12.90%,± 1.7%
"Union County, South Dakota",3.40%,± 1%
"Union County, Tennessee",11.60%,± 2.7%
"Union Parish, Louisiana",10.60%,± 1.9%
"Upshur County, Texas",9.20%,± 1.4%
"Upshur County, West Virginia",7.90%,± 1.8%
"Upson County, Georgia",10.90%,± 1.8%
"Upton County, Texas",9.50%,± 5.5%
"Utah County, Utah",3%,± 0.2%
"Utuado Municipio, Puerto Rico",7.90%,± 1.2%
"Uvalde County, Texas",11.50%,± 2.8%
"Val Verde County, Texas",10.40%,± 2.3%
"Valencia County, New Mexico",9.80%,± 1%
"Valley County, Idaho",5.40%,± 2.6%
"Valley County, Montana",5.70%,± 2.2%
"Valley County, Nebraska",4.10%,± 1.6%
"Van Buren County, Arkansas",10%,± 2.1%
"Van Buren County, Iowa",3.10%,± 0.9%
"Van Buren County, Michigan",7.10%,± 0.8%
"Van Buren County, Tennessee",10%,± 2.8%
"Van Wert County, Ohio",5.80%,± 1.1%
"Van Zandt County, Texas",9.80%,± 1.2%
"Vance County, North Carolina",10.30%,± 1.5%
"Vanderburgh County, Indiana",6.50%,± 0.6%
"Vega Alta Municipio, Puerto Rico",8.10%,± 1.8%
"Vega Baja Municipio, Puerto Rico",8.50%,± 1.2%
"Venango County, Pennsylvania",6.30%,± 0.7%
"Ventura County, California",5.90%,± 0.3%
"Vermilion County, Illinois",6.90%,± 0.7%
"Vermilion Parish, Louisiana",10.10%,± 1.2%
"Vermillion County, Indiana",6%,± 1.7%
"Vernon County, Missouri",7.70%,± 1.7%
"Vernon County, Wisconsin",4%,± 0.6%
"Vernon Parish, Louisiana",8.60%,± 1.1%
"Victoria County, Texas",9.50%,± 1.2%
"Vieques Municipio, Puerto Rico",14.50%,± 5.5%
"Vigo County, Indiana",7.20%,± 0.7%
"Vilas County, Wisconsin",3.60%,± 0.8%
"Villalba Municipio, Puerto Rico",6%,± 1.3%
"Vinton County, Ohio",15.90%,± 3.3%
"Virginia Beach city, Virginia",3.60%,± 0.3%
"Volusia County, Florida",5.60%,± 0.4%
"Wabash County, Illinois",5%,± 1.4%
"Wabash County, Indiana",6.20%,± 1.2%
"Wabasha County, Minnesota",3.20%,± 0.6%
"Wabaunsee County, Kansas",2.40%,± 0.8%
"Wadena County, Minnesota",4.90%,± 1.3%
"Wagoner County, Oklahoma",5.60%,± 0.6%
"Wahkiakum County, Washington",4%,± 1.7%
"Wake County, North Carolina",3.30%,± 0.2%
"Wakulla County, Florida",8.40%,± 1.9%
"Waldo County, Maine",5.10%,± 0.9%
"Walker County, Alabama",12.10%,± 1.3%
"Walker County, Georgia",9.60%,± 1.4%
"Walker County, Texas",8.80%,± 1.4%
"Walla Walla County, Washington",6.50%,± 1%
"Wallace County, Kansas",3.40%,± 2%
"Waller County, Texas",6.60%,± 1.1%
"Wallowa County, Oregon",5.10%,± 1.8%
"Walsh County, North Dakota",6.20%,± 1.5%
"Walthall County, Mississippi",11.80%,± 3.8%
"Walton County, Florida",5.60%,± 1%
"Walton County, Georgia",9.50%,± 1.1%
"Walworth County, South Dakota",5.10%,± 1.9%
"Walworth County, Wisconsin",5.30%,± 0.6%
"Wapello County, Iowa",7.30%,± 1.2%
"Ward County, North Dakota",3.10%,± 0.7%
"Ward County, Texas",9.60%,± 2.6%
"Ware County, Georgia",12.50%,± 1.7%
"Warren County, Georgia",17.60%,± 3.4%
"Warren County, Illinois",7.70%,± 1.7%
"Warren County, Indiana",5.90%,± 1.4%
"Warren County, Iowa",2.60%,± 0.6%
"Warren County, Kentucky",5.90%,± 0.8%
"Warren County, Mississippi",8.50%,± 1.7%
"Warren County, Missouri",8.20%,± 1.6%
"Warren County, New Jersey",4.20%,± 0.5%
"Warren County, New York",5.90%,± 0.8%
"Warren County, North Carolina",10.70%,± 1.8%
"Warren County, Ohio",3.60%,± 0.4%
"Warren County, Pennsylvania",4.50%,± 0.7%
"Warren County, Tennessee",10.50%,± 1.2%
"Warren County, Virginia",7.20%,± 1.1%
"Warrick County, Indiana",3.60%,± 0.7%
"Wasatch County, Utah",1.90%,± 0.7%
"Wasco County, Oregon",7.60%,± 1.5%
"Waseca County, Minnesota",5.10%,± 1.2%
"Washakie County, Wyoming",3.90%,± 1.5%
"Washburn County, Wisconsin",4.70%,± 0.8%
"Washington County, Alabama",8.90%,± 2.1%
"Washington County, Arkansas",5.90%,± 0.5%
"Washington County, Colorado",6.50%,± 1.9%
"Washington County, Florida",12.10%,± 2.2%
"Washington County, Georgia",10.10%,± 2%
"Washington County, Idaho",4.30%,± 1.3%
"Washington County, Illinois",4.50%,± 0.9%
"Washington County, Indiana",7.70%,± 1.5%
"Washington County, Iowa",4.30%,± 1%
"Washington County, Kansas",3.80%,± 1.1%
"Washington County, Kentucky",5.70%,± 1.4%
"Washington County, Maine",5.90%,± 0.7%
"Washington County, Maryland",8.50%,± 0.7%
"Washington County, Minnesota",2.40%,± 0.3%
"Washington County, Mississippi",11.80%,± 1.2%
"Washington County, Missouri",14.30%,± 2.4%
"Washington County, Nebraska",3.10%,± 0.9%
"Washington County, New York",6.90%,± 0.9%
"Washington County, North Carolina",6.90%,± 2.7%
"Washington County, Ohio",6.60%,± 0.9%
"Washington County, Oklahoma",6.40%,± 0.8%
"Washington County, Oregon",3.40%,± 0.3%
"Washington County, Pennsylvania",4.20%,± 0.4%
"Washington County, Rhode Island",3.90%,± 0.7%
"Washington County, Tennessee",5.90%,± 0.7%
"Washington County, Texas",6.20%,± 1.2%
"Washington County, Utah",3.90%,± 0.5%
"Washington County, Vermont",3.20%,± 0.7%
"Washington County, Virginia",6.60%,± 0.8%
"Washington County, Wisconsin",3.80%,± 0.5%
"Washington Parish, Louisiana",11.50%,± 1.5%
"Washita County, Oklahoma",8.70%,± 1.9%
"Washoe County, Nevada",6.50%,± 0.4%
"Washtenaw County, Michigan",2.90%,± 0.3%
"Watauga County, North Carolina",4.70%,± 1.1%
"Watonwan County, Minnesota",5%,± 1.2%
"Waukesha County, Wisconsin",2.20%,± 0.2%
"Waupaca County, Wisconsin",5.30%,± 0.7%
"Waushara County, Wisconsin",7.20%,± 0.9%
"Wayne County, Georgia",9.60%,± 1.7%
"Wayne County, Illinois",6.10%,± 1.2%
"Wayne County, Indiana",7.70%,± 0.8%
"Wayne County, Iowa",3.80%,± 1.1%
"Wayne County, Kentucky",11.10%,± 2.1%
"Wayne County, Michigan",8.30%,± 0.2%
"Wayne County, Mississippi",9.90%,± 2.2%
"Wayne County, Missouri",13.50%,± 2.3%
"Wayne County, Nebraska",2%,± 0.9%
"Wayne County, New York",5.80%,± 0.6%
"Wayne County, North Carolina",8.20%,± 0.8%
"Wayne County, Ohio",5.30%,± 0.6%
"Wayne County, Pennsylvania",6.60%,± 1%
"Wayne County, Tennessee",11.40%,± 2.2%
"Wayne County, Utah",6.30%,± 3.5%
"Wayne County, West Virginia",11.70%,± 1.9%
"Waynesboro city, Virginia",7.20%,± 1.7%
"Weakley County, Tennessee",7.60%,± 1.2%
"Webb County, Texas",15%,± 0.9%
"Weber County, Utah",5.10%,± 0.4%
"Webster County, Georgia",8.10%,± 4.6%
"Webster County, Iowa",6.30%,± 1.2%
"Webster County, Kentucky",9.20%,± 2.1%
"Webster County, Mississippi",11.30%,± 2.8%
"Webster County, Missouri",7.40%,± 1.1%
"Webster County, Nebraska",3.80%,± 1.2%
"Webster County, West Virginia",9.80%,± 2.5%
"Webster Parish, Louisiana",8.90%,± 1.4%
"Weld County, Colorado",5.80%,± 0.4%
"Wells County, Indiana",5.20%,± 0.9%
"Wells County, North Dakota",4.10%,± 1.6%
"West Baton Rouge Parish, Louisiana",8.40%,± 1.9%
"West Carroll Parish, Louisiana",11.30%,± 2.7%
"West Feliciana Parish, Louisiana",11.70%,± 2.2%
"Westchester County, New York",5.20%,± 0.3%
"Western Connecticut Planning Region, Connecticut",3.70%,± 0.2%
"Westmoreland County, Pennsylvania",3.40%,± 0.3%
"Westmoreland County, Virginia",11.10%,± 2.1%
"Weston County, Wyoming",6.90%,± 2.5%
"Wetzel County, West Virginia",7.20%,± 1.7%
"Wexford County, Michigan",7.40%,± 1%
"Wharton County, Texas",10.30%,± 1.8%
"Whatcom County, Washington",4.60%,± 0.6%
"Wheatland County, Montana",3.70%,± 2.7%
"Wheeler County, Georgia",20.10%,± 6.1%
"Wheeler County, Nebraska",1.60%,± 1.4%
"Wheeler County, Oregon",7.20%,± 4.2%
"Wheeler County, Texas",7.30%,± 2.9%
"White County, Arkansas",9.40%,± 1.2%
"White County, Georgia",9.50%,± 2%
"White County, Illinois",7.40%,± 1.9%
"White County, Indiana",6.80%,± 1.1%
"White County, Tennessee",11.20%,± 2.3%
"White Pine County, Nevada",7.80%,± 1.9%
"Whiteside County, Illinois",5.90%,± 1%
"Whitfield County, Georgia",12.40%,± 1.3%
"Whitley County, Indiana",5.50%,± 1.1%
"Whitley County, Kentucky",11.60%,± 1.6%
"Whitman County, Washington",3%,± 0.7%
"Wibaux County, Montana",3.60%,± 2.6%
"Wichita County, Kansas",8.10%,± 5.8%
"Wichita County, Texas",7%,± 0.7%
"Wicomico County, Maryland",7.70%,± 0.9%
"Wilbarger County, Texas",12.90%,± 2.8%
"Wilcox County, Alabama",16.60%,± 3.1%
"Wilcox County, Georgia",15.40%,± 3.5%
"Wilkes County, Georgia",12.10%,± 3%
"Wilkes County, North Carolina",12.60%,± 1.4%
"Wilkin County, Minnesota",4.70%,± 1.4%
"Wilkinson County, Georgia",6.70%,± 1.8%
"Wilkinson County, Mississippi",11.60%,± 2.8%
"Will County, Illinois",4.50%,± 0.3%
"Willacy County, Texas",15.50%,± 2.9%
"Williams County, North Dakota",6.90%,± 2.1%
"Williams County, Ohio",7.50%,± 1.6%
"Williamsburg city, Virginia",4.30%,± 1.7%
"Williamsburg County, South Carolina",12.40%,± 1.6%
"Williamson County, Illinois",5.10%,± 0.7%
"Williamson County, Tennessee",2.20%,± 0.3%
"Williamson County, Texas",3.10%,± 0.3%
"Wilson County, Kansas",5.80%,± 1.5%
"Wilson County, North Carolina",9.80%,± 1%
"Wilson County, Tennessee",4.30%,± 0.7%
"Wilson County, Texas",4.50%,± 0.8%
"Winchester city, Virginia",7.50%,± 1.6%
"Windham County, Vermont",4.70%,± 0.8%
"Windsor County, Vermont",3.60%,± 0.7%
"Winkler County, Texas",15.10%,± 5%
"Winn Parish, Louisiana",10.20%,± 2.1%
"Winnebago County, Illinois",7.90%,± 0.5%
"Winnebago County, Iowa",3.80%,± 1%
"Winnebago County, Wisconsin",4.10%,± 0.4%
"Winneshiek County, Iowa",2.60%,± 0.7%
"Winona County, Minnesota",4.70%,± 0.8%
"Winston County, Alabama",14%,± 2.3%
"Winston County, Mississippi",9.60%,± 1.9%
"Wirt County, West Virginia",9.20%,± 3%
"Wise County, Texas",7.30%,± 0.8%
"Wise County, Virginia",12.70%,± 1.9%
"Wolfe County, Kentucky",22%,± 5.2%
"Wood County, Ohio",3.60%,± 0.5%
"Wood County, Texas",8.60%,± 1.3%
"Wood County, West Virginia",6.70%,± 0.9%
"Wood County, Wisconsin",4.80%,± 0.7%
"Woodbury County, Iowa",6.30%,± 0.7%
"Woodford County, Illinois",4.40%,± 0.9%
"Woodford County, Kentucky",5.90%,± 1.2%
"Woodruff County, Arkansas",11.40%,± 2.7%
"Woods County, Oklahoma",7.10%,± 1.8%
"Woodson County, Kansas",6.90%,± 2.5%
"Woodward County, Oklahoma",8.50%,± 1.7%
"Worcester County, Maryland",4.90%,± 0.7%
"Worcester County, Massachusetts",5.20%,± 0.3%
"Worth County, Georgia",10.70%,± 1.9%
"Worth County, Iowa",4.50%,± 1.2%
"Worth County, Missouri",3.60%,± 1.5%
"Wrangell City and Borough, Alaska",11.20%,± 4.8%
"Wright County, Iowa",5.20%,± 1.4%
"Wright County, Minnesota",3.70%,± 0.5%
"Wright County, Missouri",10.90%,± 2%
"Wyandot County, Ohio",4.20%,± 0.9%
"Wyandotte County, Kansas",9.10%,± 0.7%
"Wyoming County, New York",9.20%,± 0.9%
"Wyoming County, Pennsylvania",5.90%,± 0.9%
"Wyoming County, West Virginia",15.80%,± 3.2%
"Wythe County, Virginia",7%,± 1.5%
"Yabucoa Municipio, Puerto Rico",9.60%,± 1.9%
"Yadkin County, North Carolina",8.70%,± 1.5%
"Yakima County, Washington",10.40%,± 0.8%
"Yakutat City and Borough, Alaska",5%,± 3.1%
"Yalobusha County, Mississippi",9.80%,± 2.2%
"Yamhill County, Oregon",6.20%,± 0.8%
"Yancey County, North Carolina",7.30%,± 1.4%
"Yankton County, South Dakota",4.50%,± 1.2%
"Yates County, New York",4.20%,± 0.9%
"Yauco Municipio, Puerto Rico",7.30%,± 1.3%
"Yavapai County, Arizona",5.70%,± 0.5%
"Yazoo County, Mississippi",15.50%,± 2.2%
"Yell County, Arkansas",13.80%,± 2.4%
"Yellow Medicine County, Minnesota",5.20%,± 1.2%
"Yellowstone County, Montana",3.30%,± 0.5%
"Yoakum County, Texas",12.30%,± 5.3%
"Yolo County, California",5.10%,± 0.5%
"York County, Maine",3.80%,± 0.4%
"York County, Nebraska",4.20%,± 1.1%
"York County, Pennsylvania",6.30%,± 0.4%
"York County, South Carolina",5.30%,± 0.5%
"York County, Virginia",2.90%,± 0.7%
"Young County, Texas",6.70%,± 2%
"Yuba County, California",9.30%,± 1.2%
"Yukon-Koyukuk Census Area, Alaska",8.60%,± 1.5%
"Yuma County, Arizona",11.40%,± 0.8%
"Yuma County, Colorado",6.40%,± 2.1%
"Zapata County, Texas",14.70%,± 4.1%
"Zavala County, Texas",11%,± 3.6%
"Ziebach County, South Dakota",9.30%,± 2.9%
