Geography,Total—Total households—UNITS IN STRUCTURE—2-or-more-unit structures—Estimate,MoE
"Todd County, Minnesota",7.80%,± 1.4%
"Todd County, South Dakota",15.90%,± 3.6%
"Tom Green County, Texas",16.90%,± 1.4%
"Tompkins County, New York",36.30%,± 1.5%
"Tooele County, Utah",9.30%,± 1.7%
"Toole County, Montana",12.60%,± 3.8%
"Toombs County, Georgia",14%,± 2.9%
"Torrance County, New Mexico",2%,± 0.9%
"Towner County, North Dakota",15.40%,± 5.1%
"Towns County, Georgia",7.70%,± 1.6%
"Traill County, North Dakota",18%,± 2.5%
"Transylvania County, North Carolina",9.30%,± 1.8%
"Traverse County, Minnesota",12%,± 3.8%
"Travis County, Texas",39%,± 0.5%
"Treasure County, Montana",3.30%,± 3.8%
"Trego County, Kansas",5.40%,± 3.3%
"Trempealeau County, Wisconsin",15.90%,± 1.5%
"Treutlen County, Georgia",11.10%,± 4.5%
"Trigg County, Kentucky",7.70%,± 2.4%
"Trimble County, Kentucky",4.20%,± 2.4%
"Trinity County, California",7.60%,± 2.6%
"Trinity County, Texas",5.80%,± 2.4%
"Tripp County, South Dakota",7.70%,± 2.8%
"Troup County, Georgia",18.30%,± 2.3%
"Trousdale County, Tennessee",7.10%,± 3.5%
"Trujillo Alto Municipio, Puerto Rico",27.60%,± 2.3%
"Trumbull County, Ohio",14.80%,± 0.9%
"Tucker County, West Virginia",5.30%,± 2.2%
"Tulare County, California",15.50%,± 0.9%
"Tulsa County, Oklahoma",24.50%,± 0.4%
"Tunica County, Mississippi",34.50%,± 6.1%
"Tuolumne County, California",10.60%,± 1.7%
"Turner County, Georgia",10.80%,± 4.5%
"Turner County, South Dakota",9.50%,± 1.6%
"Tuscaloosa County, Alabama",24.60%,± 1.1%
"Tuscarawas County, Ohio",13.90%,± 1.4%
"Tuscola County, Michigan",6.50%,± 0.9%
"Twiggs County, Georgia",1.60%,± 1.1%
"Twin Falls County, Idaho",14.30%,± 1.4%
"Tyler County, Texas",6.50%,± 1.9%
"Tyler County, West Virginia",2.80%,± 1.3%
"Tyrrell County, North Carolina",6.10%,± 3.9%
"Uinta County, Wyoming",11.40%,± 2.9%
"Uintah County, Utah",12.90%,± 2.4%
"Ulster County, New York",22.80%,± 1.3%
"Umatilla County, Oregon",16.60%,± 1.7%
"Unicoi County, Tennessee",11.30%,± 3%
"Union County, Arkansas",7.50%,± 1.6%
"Union County, Florida",4.40%,± 1.9%
"Union County, Georgia",5.70%,± 2.4%
"Union County, Illinois",8.90%,± 2%
"Union County, Indiana",7.60%,± 2.3%
"Union County, Iowa",13.70%,± 2.7%
"Union County, Kentucky",8%,± 2.4%
"Union County, Mississippi",7.30%,± 1.6%
"Union County, New Jersey",43.80%,± 0.8%
"Union County, New Mexico",9%,± 4.6%
"Union County, North Carolina",5.20%,± 0.7%
"Union County, Ohio",10.60%,± 1.6%
"Union County, Oregon",14.20%,± 1.7%
"Union County, Pennsylvania",15%,± 2.1%
"Union County, South Carolina",10.30%,± 1.8%
"Union County, South Dakota",19.50%,± 3%
"Union County, Tennessee",2.70%,± 0.9%
"Union Parish, Louisiana",6.10%,± 1.6%
"Upshur County, Texas",5.40%,± 1.4%
"Upshur County, West Virginia",6.60%,± 1.8%
"Upson County, Georgia",13.70%,± 2.5%
"Upton County, Texas",3.50%,± 2.6%
"Utah County, Utah",22.40%,± 0.5%
"Utuado Municipio, Puerto Rico",10.50%,± 2.1%
"Uvalde County, Texas",12.10%,± 3.3%
"Val Verde County, Texas",16.30%,± 2.8%
"Valencia County, New Mexico",3.80%,± 1.3%
"Valley County, Idaho",8.60%,± 3.8%
"Valley County, Montana",15.80%,± 3.7%
"Valley County, Nebraska",10.90%,± 2.3%
"Van Buren County, Arkansas",5.50%,± 1.5%
"Van Buren County, Iowa",5.50%,± 1.6%
"Van Buren County, Michigan",9.30%,± 1%
"Van Buren County, Tennessee",3.60%,± 1.7%
"Van Wert County, Ohio",7.80%,± 1.7%
"Van Zandt County, Texas",4.70%,± 0.9%
"Vance County, North Carolina",13.60%,± 2.4%
"Vanderburgh County, Indiana",23.20%,± 1.4%
"Vega Alta Municipio, Puerto Rico",9.90%,± 2.5%
"Vega Baja Municipio, Puerto Rico",4.90%,± 0.9%
"Venango County, Pennsylvania",9.70%,± 1.3%
"Ventura County, California",20.50%,± 0.5%
"Vermilion County, Illinois",13.30%,± 1.1%
"Vermilion Parish, Louisiana",6.80%,± 1.1%
"Vermillion County, Indiana",6.60%,± 1.9%
"Vernon County, Missouri",9.90%,± 2.6%
"Vernon County, Wisconsin",8.70%,± 1.2%
"Vernon Parish, Louisiana",20.50%,± 1.8%
"Victoria County, Texas",19.20%,± 1.5%
"Vieques Municipio, Puerto Rico",7.10%,± 3.9%
"Vigo County, Indiana",21.90%,± 1.5%
"Vilas County, Wisconsin",7.30%,± 1.3%
"Villalba Municipio, Puerto Rico",4.90%,± 1.4%
"Vinton County, Ohio",2.80%,± 1.3%
"Virginia Beach city, Virginia",24.70%,± 0.7%
"Volusia County, Florida",18.80%,± 0.7%
"Wabash County, Illinois",10.80%,± 2.2%
"Wabash County, Indiana",9.90%,± 1.6%
"Wabasha County, Minnesota",10.80%,± 1.5%
"Wabaunsee County, Kansas",3%,± 1.1%
"Wadena County, Minnesota",17.10%,± 2.7%
"Wagoner County, Oklahoma",6.10%,± 0.7%
"Wahkiakum County, Washington",3.10%,± 2.2%
"Wake County, North Carolina",24.80%,± 0.5%
"Wakulla County, Florida",2.40%,± 1.2%
"Waldo County, Maine",10.20%,± 2%
"Walker County, Alabama",8.10%,± 1.3%
"Walker County, Georgia",9.40%,± 1.3%
"Walker County, Texas",30%,± 2.8%
"Walla Walla County, Washington",18.30%,± 2.1%
"Wallace County, Kansas",8.30%,± 5.3%
"Waller County, Texas",15.30%,± 3.1%
"Wallowa County, Oregon",8.90%,± 2.4%
"Walsh County, North Dakota",13%,± 2.5%
"Walthall County, Mississippi",2.90%,± 2.3%
"Walton County, Florida",11%,± 1.9%
"Walton County, Georgia",6.60%,± 1.1%
"Walworth County, South Dakota",7.90%,± 3.7%
"Walworth County, Wisconsin",21.80%,± 1.3%
"Wapello County, Iowa",14.30%,± 2.2%
"Ward County, North Dakota",29%,± 2%
"Ward County, Texas",10.20%,± 3.2%
"Ware County, Georgia",15.10%,± 2.6%
"Warren County, Georgia",6.30%,± 2.3%
"Warren County, Illinois",9.80%,± 2%
"Warren County, Indiana",3.80%,± 1.2%
"Warren County, Iowa",13.30%,± 1.5%
"Warren County, Kentucky",28.20%,± 1.5%
"Warren County, Mississippi",15.40%,± 2.2%
"Warren County, Missouri",7.30%,± 1.8%
"Warren County, New Jersey",20.30%,± 1.5%
"Warren County, New York",24.70%,± 1.6%
"Warren County, North Carolina",6%,± 1.7%
"Warren County, Ohio",14.50%,± 0.9%
"Warren County, Pennsylvania",13.10%,± 1.4%
"Warren County, Tennessee",12.80%,± 1.6%
"Warren County, Virginia",8.80%,± 1.5%
"Warrick County, Indiana",10.50%,± 1.3%
"Wasatch County, Utah",9.60%,± 1.7%
"Wasco County, Oregon",14.40%,± 2.2%
"Waseca County, Minnesota",8.80%,± 2.2%
"Washakie County, Wyoming",11.80%,± 3.9%
"Washburn County, Wisconsin",6.50%,± 1.2%
"Washington County, Alabama",1.30%,± 0.9%
"Washington County, Arkansas",28.20%,± 1%
"Washington County, Colorado",5.20%,± 2.5%
"Washington County, Florida",3.90%,± 1.3%
"Washington County, Georgia",7.80%,± 2.4%
"Washington County, Idaho",10.30%,± 3%
"Washington County, Illinois",4.30%,± 1.2%
"Washington County, Indiana",5.10%,± 1.1%
"Washington County, Iowa",13.70%,± 2%
"Washington County, Kansas",7.80%,± 2.1%
"Washington County, Kentucky",7.50%,± 2.3%
"Washington County, Maine",10.80%,± 1.2%
"Washington County, Maryland",18.90%,± 1.2%
"Washington County, Minnesota",13.10%,± 0.7%
"Washington County, Mississippi",17.30%,± 2%
"Washington County, Missouri",4.90%,± 1.5%
"Washington County, Nebraska",9.90%,± 1.8%
"Washington County, New York",20.10%,± 2%
"Washington County, North Carolina",7.20%,± 3.3%
"Washington County, Ohio",12.80%,± 1%
"Washington County, Oklahoma",10.40%,± 1%
"Washington County, Oregon",30.70%,± 0.6%
"Washington County, Pennsylvania",12.70%,± 0.7%
"Washington County, Rhode Island",17.30%,± 1.2%
"Washington County, Tennessee",23.10%,± 1.4%
"Washington County, Texas",13.30%,± 2.6%
"Washington County, Utah",12.10%,± 1%
"Washington County, Vermont",25.60%,± 1.4%
"Washington County, Virginia",11.60%,± 1.5%
"Washington County, Wisconsin",22.30%,± 1.2%
"Washington Parish, Louisiana",6.50%,± 1.6%
"Washita County, Oklahoma",3.70%,± 1.4%
"Washoe County, Nevada",29.80%,± 0.6%
"Washtenaw County, Michigan",31.50%,± 0.8%
"Watauga County, North Carolina",26.70%,± 2.3%
"Watonwan County, Minnesota",13.80%,± 2.9%
"Waukesha County, Wisconsin",23.20%,± 0.7%
"Waupaca County, Wisconsin",15.70%,± 1.4%
"Waushara County, Wisconsin",6.80%,± 1.2%
"Wayne County, Georgia",6.60%,± 1.8%
"Wayne County, Illinois",6.60%,± 2.2%
"Wayne County, Indiana",13.50%,± 1.4%
"Wayne County, Iowa",7.90%,± 2.4%
"Wayne County, Kentucky",6.10%,± 1.8%
"Wayne County, Michigan",20.90%,± 0.4%
"Wayne County, Mississippi",3.20%,± 1.6%
"Wayne County, Missouri",4.70%,± 1.8%
"Wayne County, Nebraska",16.30%,± 4.5%
"Wayne County, New York",15.10%,± 1.4%
"Wayne County, North Carolina",14.80%,± 1.3%
"Wayne County, Ohio",13.60%,± 1%
"Wayne County, Pennsylvania",8%,± 1.3%
"Wayne County, Tennessee",5.30%,± 1.9%
"Wayne County, Utah",1.50%,± 1.8%
"Wayne County, West Virginia",5.90%,± 1.4%
"Waynesboro city, Virginia",28%,± 3.2%
"Weakley County, Tennessee",15%,± 2.3%
"Webb County, Texas",20.40%,± 1.2%
"Weber County, Utah",17.90%,± 0.9%
"Webster County, Georgia",4.90%,± 3.8%
"Webster County, Iowa",16.40%,± 1.6%
"Webster County, Kentucky",6.60%,± 1.9%
"Webster County, Mississippi",7.20%,± 2.4%
"Webster County, Missouri",8%,± 1.5%
"Webster County, Nebraska",8.20%,± 2.7%
"Webster County, West Virginia",5.70%,± 2.1%
"Webster Parish, Louisiana",8.20%,± 1.6%
"Weld County, Colorado",14.50%,± 0.7%
"Wells County, Indiana",11.70%,± 2.1%
"Wells County, North Dakota",13.70%,± 3.6%
"West Baton Rouge Parish, Louisiana",5.50%,± 1.8%
"West Carroll Parish, Louisiana",2.40%,± 1.3%
"West Feliciana Parish, Louisiana",14.50%,± 6.5%
"Westchester County, New York",49.30%,± 0.5%
"Western Connecticut Planning Region, Connecticut",34%,± 0.8%
"Westmoreland County, Pennsylvania",12%,± 0.5%
"Westmoreland County, Virginia",4.40%,± 2%
"Weston County, Wyoming",3.30%,± 1.9%
"Wetzel County, West Virginia",7.20%,± 2%
"Wexford County, Michigan",9.30%,± 1.5%
"Wharton County, Texas",13.60%,± 2.2%
"Whatcom County, Washington",27.70%,± 1.2%
"Wheatland County, Montana",2.20%,± 2.1%
"Wheeler County, Georgia",10.50%,± 4.7%
"Wheeler County, Nebraska",4%,± 3.7%
"Wheeler County, Oregon",2.40%,± 2.4%
"Wheeler County, Texas",6.90%,± 2.8%
"White County, Arkansas",13.80%,± 1.5%
"White County, Georgia",7.80%,± 2%
"White County, Illinois",7.40%,± 2.1%
"White County, Indiana",11.20%,± 2.4%
"White County, Tennessee",4.70%,± 1.5%
"White Pine County, Nevada",6%,± 2.9%
"Whiteside County, Illinois",13.30%,± 1.4%
"Whitfield County, Georgia",17.30%,± 1.7%
"Whitley County, Indiana",8.40%,± 1.7%
"Whitley County, Kentucky",9.70%,± 1.9%
"Whitman County, Washington",45.30%,± 2.2%
"Wibaux County, Montana",2.60%,± 3.6%
"Wichita County, Kansas",6.60%,± 3.4%
"Wichita County, Texas",20.10%,± 1.3%
"Wicomico County, Maryland",21.30%,± 1.5%
"Wilbarger County, Texas",13.30%,± 4.1%
"Wilcox County, Alabama",5.10%,± 2.1%
"Wilcox County, Georgia",3.40%,± 1.9%
"Wilkes County, Georgia",11.60%,± 5.4%
"Wilkes County, North Carolina",8.20%,± 1.3%
"Wilkin County, Minnesota",14.10%,± 3.3%
"Wilkinson County, Georgia",3.90%,± 1.8%
"Wilkinson County, Mississippi",5.20%,± 2.5%
"Will County, Illinois",11.50%,± 0.5%
"Willacy County, Texas",8.10%,± 2.6%
"Williams County, North Dakota",35.10%,± 3.8%
"Williams County, Ohio",11.40%,± 2%
"Williamsburg city, Virginia",43.40%,± 4.5%
"Williamsburg County, South Carolina",7.60%,± 2.2%
"Williamson County, Illinois",16%,± 1.6%
"Williamson County, Tennessee",13.70%,± 0.8%
"Williamson County, Texas",21.20%,± 0.7%
"Wilson County, Kansas",5%,± 1.4%
"Wilson County, North Carolina",17.70%,± 1.5%
"Wilson County, Tennessee",12.60%,± 1.1%
"Wilson County, Texas",4%,± 1%
"Winchester city, Virginia",30.30%,± 3.8%
"Windham County, Vermont",21.80%,± 1.8%
"Windsor County, Vermont",17.30%,± 1.6%
"Winkler County, Texas",0.60%,± 0.8%
"Winn Parish, Louisiana",8.90%,± 2.9%
"Winnebago County, Illinois",23%,± 0.8%
"Winnebago County, Iowa",11.60%,± 3.1%
"Winnebago County, Wisconsin",27.10%,± 1.2%
"Winneshiek County, Iowa",11.60%,± 1.6%
"Winona County, Minnesota",25.90%,± 1.6%
"Winston County, Alabama",5.70%,± 1.4%
"Winston County, Mississippi",9.90%,± 2.5%
"Wirt County, West Virginia",5.40%,± 2.5%
"Wise County, Texas",3.80%,± 0.9%
"Wise County, Virginia",8.90%,± 1.5%
"Wolfe County, Kentucky",11.60%,± 5%
"Wood County, Ohio",25.60%,± 1.6%
"Wood County, Texas",6.50%,± 1.5%
"Wood County, West Virginia",14.60%,± 1.6%
"Wood County, Wisconsin",17.10%,± 1.5%
"Woodbury County, Iowa",18.10%,± 1.7%
"Woodford County, Illinois",6.90%,± 1.4%
"Woodford County, Kentucky",10.20%,± 2%
"Woodruff County, Arkansas",15.30%,± 3.4%
"Woods County, Oklahoma",8.40%,± 2.9%
"Woodson County, Kansas",5.90%,± 3.1%
"Woodward County, Oklahoma",9.60%,± 3.1%
"Worcester County, Maryland",15.50%,± 1.5%
"Worcester County, Massachusetts",34.90%,± 0.6%
"Worth County, Georgia",7.10%,± 2.2%
"Worth County, Iowa",10.10%,± 1.8%
"Worth County, Missouri",8.50%,± 3.6%
"Wrangell City and Borough, Alaska",20.50%,± 5.3%
"Wright County, Iowa",11.80%,± 2.3%
"Wright County, Minnesota",9.30%,± 0.9%
"Wright County, Missouri",7.30%,± 2%
"Wyandot County, Ohio",12.10%,± 2%
"Wyandotte County, Kansas",18.60%,± 1%
"Wyoming County, New York",13.50%,± 1.6%
"Wyoming County, Pennsylvania",7.80%,± 1.1%
"Wyoming County, West Virginia",4.10%,± 1.6%
"Wythe County, Virginia",10.50%,± 2%
"Yabucoa Municipio, Puerto Rico",3.80%,± 1.2%
"Yadkin County, North Carolina",6.80%,± 1.7%
"Yakima County, Washington",17.20%,± 1.1%
"Yakutat City and Borough, Alaska",19.90%,± 15.1%
"Yalobusha County, Mississippi",4.40%,± 1.6%
"Yamhill County, Oregon",16.10%,± 1.2%
"Yancey County, North Carolina",6%,± 1.5%
"Yankton County, South Dakota",18.90%,± 2.7%
"Yates County, New York",14.50%,± 2.5%
"Yauco Municipio, Puerto Rico",7%,± 1.4%
"Yavapai County, Arizona",12%,± 0.8%
"Yazoo County, Mississippi",13.40%,± 2.3%
"Yell County, Arkansas",10.80%,± 2.6%
"Yellow Medicine County, Minnesota",6.80%,± 1.3%
"Yellowstone County, Montana",17.60%,± 1.2%
"Yoakum County, Texas",6.30%,± 4%
"Yolo County, California",29.90%,± 1%
"York County, Maine",22.20%,± 1.1%
"York County, Nebraska",15.50%,± 3%
"York County, Pennsylvania",13.80%,± 0.6%
"York County, South Carolina",15.80%,± 0.8%
"York County, Virginia",14.90%,± 1.5%
"Young County, Texas",9.70%,± 2.7%
"Yuba County, California",18.10%,± 1.6%
"Yukon-Koyukuk Census Area, Alaska",3.60%,± 1.4%
"Yuma County, Arizona",12.60%,± 1%
"Yuma County, Colorado",6.60%,± 2.8%
"Zapata County, Texas",9.60%,± 3.6%
"Zavala County, Texas",10.10%,± 4.4%
"Ziebach County, South Dakota",11.90%,± 2.8%
