Geography,Percent with a disability—Total civilian noninstitutionalized population—DISABILITY TYPE BY DETAILED AGE—With an ambulatory difficulty—Estimate,MoE
"Tillman County, Oklahoma",17.10%,± 2.1%
"Tioga County, New York",7%,± 1%
"Tioga County, Pennsylvania",9.70%,± 0.9%
"Tippah County, Mississippi",12.30%,± 2%
"Tippecanoe County, Indiana",4%,± 0.4%
"Tipton County, Indiana",6.40%,± 1.6%
"Tipton County, Tennessee",9.80%,± 0.9%
"Tishomingo County, Mississippi",13.50%,± 2%
"Titus County, Texas",7.70%,± 0.9%
"Toa Alta Municipio, Puerto Rico",8.20%,± 0.9%
"Toa Baja Municipio, Puerto Rico",14.80%,± 1.1%
"Todd County, Kentucky",8.60%,± 2.1%
"Todd County, Minnesota",6.70%,± 0.6%
"Todd County, South Dakota",5.40%,± 1.6%
"Tom Green County, Texas",7.50%,± 0.8%
"Tompkins County, New York",3.90%,± 0.5%
"Tooele County, Utah",4.60%,± 0.6%
"Toole County, Montana",9.60%,± 2.1%
"Toombs County, Georgia",11.30%,± 1.7%
"Torrance County, New Mexico",12.30%,± 2.3%
"Towner County, North Dakota",11.70%,± 4.2%
"Towns County, Georgia",9.80%,± 1.8%
"Traill County, North Dakota",6%,± 1.4%
"Transylvania County, North Carolina",7.10%,± 1.3%
"Traverse County, Minnesota",4.90%,± 1.3%
"Travis County, Texas",3.90%,± 0.2%
"Treasure County, Montana",6.50%,± 2.8%
"Trego County, Kansas",7.10%,± 2.5%
"Trempealeau County, Wisconsin",5%,± 0.5%
"Treutlen County, Georgia",15.40%,± 3.5%
"Trigg County, Kentucky",13.30%,± 2.5%
"Trimble County, Kentucky",12.30%,± 2.9%
"Trinity County, California",9.80%,± 2.8%
"Trinity County, Texas",13.90%,± 2%
"Tripp County, South Dakota",5%,± 1.9%
"Troup County, Georgia",9.80%,± 0.9%
"Trousdale County, Tennessee",5.60%,± 1.6%
"Trujillo Alto Municipio, Puerto Rico",11.20%,± 1.2%
"Trumbull County, Ohio",9.40%,± 0.7%
"Tucker County, West Virginia",10.70%,± 1.8%
"Tulare County, California",6.10%,± 0.3%
"Tulsa County, Oklahoma",7%,± 0.2%
"Tunica County, Mississippi",7%,± 1.5%
"Tuolumne County, California",10.30%,± 1.1%
"Turner County, Georgia",11.90%,± 3%
"Turner County, South Dakota",5.60%,± 1%
"Tuscaloosa County, Alabama",6.60%,± 0.5%
"Tuscarawas County, Ohio",8.50%,± 0.8%
"Tuscola County, Michigan",10.80%,± 0.8%
"Twiggs County, Georgia",12.90%,± 2.4%
"Twin Falls County, Idaho",6.90%,± 0.7%
"Tyler County, Texas",14%,± 2.3%
"Tyler County, West Virginia",13.40%,± 2.4%
"Tyrrell County, North Carolina",14.50%,± 4.6%
"Uinta County, Wyoming",7.40%,± 1.5%
"Uintah County, Utah",5.10%,± 0.8%
"Ulster County, New York",7.40%,± 0.6%
"Umatilla County, Oregon",8.90%,± 0.9%
"Unicoi County, Tennessee",13.30%,± 2.3%
"Union County, Arkansas",9.80%,± 1.2%
"Union County, Florida",8.40%,± 1.8%
"Union County, Georgia",11.20%,± 1.8%
"Union County, Illinois",13.70%,± 1.9%
"Union County, Indiana",7.50%,± 1.7%
"Union County, Iowa",7.30%,± 1.1%
"Union County, Kentucky",12.90%,± 2.2%
"Union County, Mississippi",10.80%,± 1.5%
"Union County, New Jersey",4.70%,± 0.2%
"Union County, New Mexico",14.80%,± 3.7%
"Union County, North Carolina",4.60%,± 0.3%
"Union County, Ohio",5.10%,± 0.7%
"Union County, Oregon",8.10%,± 1%
"Union County, Pennsylvania",6.80%,± 1%
"Union County, South Carolina",12.70%,± 1.4%
"Union County, South Dakota",4.40%,± 1%
"Union County, Tennessee",12.20%,± 1.7%
"Union Parish, Louisiana",10.50%,± 1.8%
"Upshur County, Texas",10.90%,± 1.2%
"Upshur County, West Virginia",9.60%,± 1.8%
"Upson County, Georgia",10.30%,± 1.4%
"Upton County, Texas",5.20%,± 2.5%
"Utah County, Utah",3.20%,± 0.2%
"Utuado Municipio, Puerto Rico",12.40%,± 1.6%
"Uvalde County, Texas",9.20%,± 1.3%
"Val Verde County, Texas",7.50%,± 1%
"Valencia County, New Mexico",11.30%,± 1.1%
"Valley County, Idaho",5.90%,± 2.2%
"Valley County, Montana",8%,± 2.1%
"Valley County, Nebraska",9.50%,± 1.9%
"Van Buren County, Arkansas",16.20%,± 1.9%
"Van Buren County, Iowa",9.20%,± 1.6%
"Van Buren County, Michigan",7%,± 0.6%
"Van Buren County, Tennessee",14.80%,± 2.9%
"Van Wert County, Ohio",7%,± 0.9%
"Van Zandt County, Texas",8.40%,± 1%
"Vance County, North Carolina",10.90%,± 1.4%
"Vanderburgh County, Indiana",8.40%,± 0.5%
"Vega Alta Municipio, Puerto Rico",15.50%,± 1.7%
"Vega Baja Municipio, Puerto Rico",13.60%,± 1.2%
"Venango County, Pennsylvania",9.50%,± 0.9%
"Ventura County, California",5.80%,± 0.2%
"Vermilion County, Illinois",8.40%,± 0.6%
"Vermilion Parish, Louisiana",8.60%,± 1.1%
"Vermillion County, Indiana",12.40%,± 1.8%
"Vernon County, Missouri",11.70%,± 1.6%
"Vernon County, Wisconsin",5%,± 0.5%
"Vernon Parish, Louisiana",10.70%,± 1%
"Victoria County, Texas",7.60%,± 0.7%
"Vieques Municipio, Puerto Rico",8%,± 3.9%
"Vigo County, Indiana",9.10%,± 0.8%
"Vilas County, Wisconsin",7.50%,± 0.9%
"Villalba Municipio, Puerto Rico",14.80%,± 1.8%
"Vinton County, Ohio",13.70%,± 2.8%
"Virginia Beach city, Virginia",5.90%,± 0.3%
"Volusia County, Florida",9.70%,± 0.4%
"Wabash County, Illinois",12.60%,± 1.9%
"Wabash County, Indiana",7.50%,± 1%
"Wabasha County, Minnesota",5.90%,± 0.8%
"Wabaunsee County, Kansas",7.40%,± 1.4%
"Wadena County, Minnesota",7.70%,± 1.2%
"Wagoner County, Oklahoma",9.20%,± 0.6%
"Wahkiakum County, Washington",7.10%,± 2.1%
"Wake County, North Carolina",4.10%,± 0.2%
"Wakulla County, Florida",5.90%,± 1%
"Waldo County, Maine",8.60%,± 1%
"Walker County, Alabama",14.10%,± 1.1%
"Walker County, Georgia",10%,± 0.9%
"Walker County, Texas",6.40%,± 1%
"Walla Walla County, Washington",7.60%,± 0.9%
"Wallace County, Kansas",13.40%,± 3.7%
"Waller County, Texas",5.40%,± 1%
"Wallowa County, Oregon",6.70%,± 1.8%
"Walsh County, North Dakota",5.50%,± 1.3%
"Walthall County, Mississippi",11.50%,± 2%
"Walton County, Florida",8.60%,± 0.8%
"Walton County, Georgia",7.50%,± 0.7%
"Walworth County, South Dakota",5.80%,± 1.8%
"Walworth County, Wisconsin",5.50%,± 0.5%
"Wapello County, Iowa",8.60%,± 1%
"Ward County, North Dakota",5.50%,± 0.6%
"Ward County, Texas",7.70%,± 1.9%
"Ware County, Georgia",6.90%,± 1.3%
"Warren County, Georgia",10.80%,± 3%
"Warren County, Illinois",7.60%,± 1.3%
"Warren County, Indiana",9.70%,± 1.7%
"Warren County, Iowa",4.20%,± 0.6%
"Warren County, Kentucky",6.50%,± 0.6%
"Warren County, Mississippi",11.40%,± 1.3%
"Warren County, Missouri",6.80%,± 0.9%
"Warren County, New Jersey",5.80%,± 0.5%
"Warren County, New York",7.20%,± 0.7%
"Warren County, North Carolina",13.60%,± 1.9%
"Warren County, Ohio",5.40%,± 0.4%
"Warren County, Pennsylvania",8.20%,± 0.8%
"Warren County, Tennessee",9.40%,± 1.2%
"Warren County, Virginia",6.80%,± 1%
"Warrick County, Indiana",7.40%,± 0.9%
"Wasatch County, Utah",2.30%,± 0.5%
"Wasco County, Oregon",10.30%,± 1.4%
"Waseca County, Minnesota",5.80%,± 1%
"Washakie County, Wyoming",4.30%,± 1.1%
"Washburn County, Wisconsin",7.90%,± 0.8%
"Washington County, Alabama",7.90%,± 1.8%
"Washington County, Arkansas",5.70%,± 0.5%
"Washington County, Colorado",6.50%,± 1.5%
"Washington County, Florida",12.40%,± 1.9%
"Washington County, Georgia",11.10%,± 1.5%
"Washington County, Idaho",11%,± 2.1%
"Washington County, Illinois",7.60%,± 1.2%
"Washington County, Indiana",7.30%,± 1%
"Washington County, Iowa",6%,± 1.1%
"Washington County, Kansas",7.40%,± 1%
"Washington County, Kentucky",12.50%,± 2.5%
"Washington County, Maine",11.60%,± 0.9%
"Washington County, Maryland",8%,± 0.5%
"Washington County, Minnesota",3.70%,± 0.3%
"Washington County, Mississippi",12%,± 1.2%
"Washington County, Missouri",13%,± 1.8%
"Washington County, Nebraska",5.60%,± 1%
"Washington County, New York",8.10%,± 0.9%
"Washington County, North Carolina",13.80%,± 2.5%
"Washington County, Ohio",9.10%,± 1%
"Washington County, Oklahoma",8.80%,± 0.8%
"Washington County, Oregon",4.60%,± 0.2%
"Washington County, Pennsylvania",7.50%,± 0.4%
"Washington County, Rhode Island",4.10%,± 0.4%
"Washington County, Tennessee",8.60%,± 0.7%
"Washington County, Texas",7.70%,± 1.3%
"Washington County, Utah",5.90%,± 0.6%
"Washington County, Vermont",6%,± 0.7%
"Washington County, Virginia",11.20%,± 0.9%
"Washington County, Wisconsin",5.10%,± 0.5%
"Washington Parish, Louisiana",14.10%,± 1.5%
"Washita County, Oklahoma",10.80%,± 2%
"Washoe County, Nevada",6.30%,± 0.3%
"Washtenaw County, Michigan",4.50%,± 0.2%
"Watauga County, North Carolina",4.50%,± 0.8%
"Watonwan County, Minnesota",6.40%,± 1.2%
"Waukesha County, Wisconsin",4.50%,± 0.3%
"Waupaca County, Wisconsin",7%,± 0.8%
"Waushara County, Wisconsin",8.10%,± 0.8%
"Wayne County, Georgia",10.60%,± 2%
"Wayne County, Illinois",11%,± 1.3%
"Wayne County, Indiana",9.30%,± 0.7%
"Wayne County, Iowa",9.10%,± 2%
"Wayne County, Kentucky",17.20%,± 2.3%
"Wayne County, Michigan",8.70%,± 0.2%
"Wayne County, Mississippi",10.10%,± 2.6%
"Wayne County, Missouri",16%,± 2.4%
"Wayne County, Nebraska",7.10%,± 2.1%
"Wayne County, New York",7.60%,± 0.6%
"Wayne County, North Carolina",9.60%,± 0.7%
"Wayne County, Ohio",6%,± 0.5%
"Wayne County, Pennsylvania",9.50%,± 1.1%
"Wayne County, Tennessee",10.50%,± 2.4%
"Wayne County, Utah",2.80%,± 1.6%
"Wayne County, West Virginia",13.60%,± 1.7%
"Waynesboro city, Virginia",7.90%,± 1.3%
"Weakley County, Tennessee",12.20%,± 1.4%
"Webb County, Texas",7.30%,± 0.5%
"Weber County, Utah",4.70%,± 0.3%
"Webster County, Georgia",10.20%,± 4.1%
"Webster County, Iowa",8.40%,± 1.2%
"Webster County, Kentucky",13%,± 1.8%
"Webster County, Mississippi",12.50%,± 2.1%
"Webster County, Missouri",8%,± 0.9%
"Webster County, Nebraska",7%,± 1.4%
"Webster County, West Virginia",13.50%,± 2.5%
"Webster Parish, Louisiana",10%,± 1.2%
"Weld County, Colorado",5.10%,± 0.3%
"Wells County, Indiana",5.90%,± 0.8%
"Wells County, North Dakota",7.90%,± 1.9%
"West Baton Rouge Parish, Louisiana",6.60%,± 1.2%
"West Carroll Parish, Louisiana",9.50%,± 2.1%
"West Feliciana Parish, Louisiana",6.90%,± 1.7%
"Westchester County, New York",5.50%,± 0.2%
"Western Connecticut Planning Region, Connecticut",4.20%,± 0.2%
"Westmoreland County, Pennsylvania",7.70%,± 0.4%
"Westmoreland County, Virginia",9.80%,± 1.6%
"Weston County, Wyoming",6.10%,± 2%
"Wetzel County, West Virginia",12.40%,± 1.9%
"Wexford County, Michigan",9.40%,± 0.8%
"Wharton County, Texas",8.60%,± 1.1%
"Whatcom County, Washington",5.50%,± 0.4%
"Wheatland County, Montana",5.10%,± 2.9%
"Wheeler County, Georgia",5.10%,± 2%
"Wheeler County, Nebraska",12.70%,± 5.4%
"Wheeler County, Oregon",11.60%,± 3.5%
"Wheeler County, Texas",10.30%,± 2.5%
"White County, Arkansas",11%,± 0.9%
"White County, Georgia",8.70%,± 1.4%
"White County, Illinois",10.20%,± 1.5%
"White County, Indiana",7.60%,± 1.1%
"White County, Tennessee",9.90%,± 1.3%
"White Pine County, Nevada",6.60%,± 1.8%
"Whiteside County, Illinois",7.30%,± 0.7%
"Whitfield County, Georgia",6.20%,± 0.6%
"Whitley County, Indiana",7%,± 1.2%
"Whitley County, Kentucky",13%,± 1.5%
"Whitman County, Washington",4.80%,± 0.5%
"Wibaux County, Montana",7.10%,± 2.9%
"Wichita County, Kansas",12.10%,± 5.9%
"Wichita County, Texas",8.90%,± 0.7%
"Wicomico County, Maryland",6.60%,± 0.7%
"Wilbarger County, Texas",13.40%,± 2.6%
"Wilcox County, Alabama",14.30%,± 2.3%
"Wilcox County, Georgia",7.20%,± 1.6%
"Wilkes County, Georgia",8.20%,± 2.1%
"Wilkes County, North Carolina",11.50%,± 1.1%
"Wilkin County, Minnesota",5.80%,± 1.5%
"Wilkinson County, Georgia",9.20%,± 1.8%
"Wilkinson County, Mississippi",15.70%,± 3.1%
"Will County, Illinois",4.70%,± 0.2%
"Willacy County, Texas",9.10%,± 1.5%
"Williams County, North Dakota",4.40%,± 1%
"Williams County, Ohio",9.80%,± 1.3%
"Williamsburg city, Virginia",3.70%,± 1%
"Williamsburg County, South Carolina",12.10%,± 1.3%
"Williamson County, Illinois",9.40%,± 0.8%
"Williamson County, Tennessee",3.10%,± 0.3%
"Williamson County, Texas",4.50%,± 0.3%
"Wilson County, Kansas",9.90%,± 1.5%
"Wilson County, North Carolina",8.80%,± 0.8%
"Wilson County, Tennessee",5.90%,± 0.5%
"Wilson County, Texas",5.80%,± 0.8%
"Winchester city, Virginia",6.20%,± 1.2%
"Windham County, Vermont",7.30%,± 0.9%
"Windsor County, Vermont",6.30%,± 0.8%
"Winkler County, Texas",6.90%,± 1.7%
"Winn Parish, Louisiana",11.80%,± 2%
"Winnebago County, Illinois",8.10%,± 0.4%
"Winnebago County, Iowa",5%,± 1.4%
"Winnebago County, Wisconsin",6%,± 0.4%
"Winneshiek County, Iowa",5.10%,± 1%
"Winona County, Minnesota",5.40%,± 0.6%
"Winston County, Alabama",11.80%,± 1.6%
"Winston County, Mississippi",15.40%,± 2%
"Wirt County, West Virginia",13.20%,± 3.5%
"Wise County, Texas",8.10%,± 0.8%
"Wise County, Virginia",16.40%,± 1.8%
"Wolfe County, Kentucky",19.60%,± 3.6%
"Wood County, Ohio",5.70%,± 0.6%
"Wood County, Texas",10.20%,± 1.3%
"Wood County, West Virginia",9.80%,± 0.7%
"Wood County, Wisconsin",7.40%,± 0.8%
"Woodbury County, Iowa",6.70%,± 0.6%
"Woodford County, Illinois",4.90%,± 0.8%
"Woodford County, Kentucky",6.40%,± 1.2%
"Woodruff County, Arkansas",11.20%,± 1.8%
"Woods County, Oklahoma",8.30%,± 2%
"Woodson County, Kansas",11%,± 2.4%
"Woodward County, Oklahoma",8.70%,± 1.4%
"Worcester County, Maryland",7.40%,± 0.9%
"Worcester County, Massachusetts",6%,± 0.2%
"Worth County, Georgia",10.10%,± 1.4%
"Worth County, Iowa",7.10%,± 1.3%
"Worth County, Missouri",8.70%,± 2.1%
"Wrangell City and Borough, Alaska",10.90%,± 3.2%
"Wright County, Iowa",5.60%,± 1.1%
"Wright County, Minnesota",4.40%,± 0.5%
"Wright County, Missouri",11.20%,± 1.8%
"Wyandot County, Ohio",6.70%,± 0.9%
"Wyandotte County, Kansas",7.70%,± 0.5%
"Wyoming County, New York",7.50%,± 1%
"Wyoming County, Pennsylvania",6.30%,± 0.6%
"Wyoming County, West Virginia",21%,± 2.6%
"Wythe County, Virginia",12.20%,± 1.5%
"Yabucoa Municipio, Puerto Rico",4.80%,± 0.9%
"Yadkin County, North Carolina",9%,± 1.2%
"Yakima County, Washington",7.10%,± 0.5%
"Yakutat City and Borough, Alaska",5.80%,± 2.6%
"Yalobusha County, Mississippi",14.40%,± 2.3%
"Yamhill County, Oregon",8.30%,± 0.7%
"Yancey County, North Carolina",8.50%,± 1.4%
"Yankton County, South Dakota",7%,± 1.5%
"Yates County, New York",5.20%,± 0.9%
"Yauco Municipio, Puerto Rico",15.80%,± 1.4%
"Yavapai County, Arizona",8.80%,± 0.6%
"Yazoo County, Mississippi",13.20%,± 1.5%
"Yell County, Arkansas",9.90%,± 1.6%
"Yellow Medicine County, Minnesota",5%,± 0.9%
"Yellowstone County, Montana",6.50%,± 0.5%
"Yoakum County, Texas",5.80%,± 1.8%
"Yolo County, California",4.80%,± 0.3%
"York County, Maine",6.40%,± 0.5%
"York County, Nebraska",7.30%,± 1.4%
"York County, Pennsylvania",6.40%,± 0.3%
"York County, South Carolina",5.30%,± 0.4%
"York County, Virginia",5.40%,± 0.7%
"Young County, Texas",9.20%,± 1.8%
"Yuba County, California",8.10%,± 0.7%
"Yukon-Koyukuk Census Area, Alaska",9.10%,± 2.7%
"Yuma County, Arizona",7.50%,± 0.5%
"Yuma County, Colorado",2.90%,± 1%
"Zapata County, Texas",8.70%,± 1.9%
"Zavala County, Texas",9.70%,± 2.6%
"Ziebach County, South Dakota",5.60%,± 1.4%
