Geography,Unemployment rate—Population 16 years and over—Estimate,MoE
"Todd County, Kentucky",4.30%,± 2.3%
"Todd County, Minnesota",4.10%,± 0.8%
"Todd County, South Dakota",15.10%,± 4%
"Tom Green County, Texas",3.20%,± 0.6%
"Tompkins County, New York",4.70%,± 0.9%
"Tooele County, Utah",3.90%,± 1%
"Toole County, Montana",3.90%,± 2.5%
"Toombs County, Georgia",6.20%,± 2.1%
"Torrance County, New Mexico",10.80%,± 4.2%
"Towner County, North Dakota",1.60%,± 1.9%
"Towns County, Georgia",5.50%,± 2.5%
"Traill County, North Dakota",2%,± 1.3%
"Transylvania County, North Carolina",4%,± 1.4%
"Traverse County, Minnesota",4%,± 1.8%
"Travis County, Texas",4.20%,± 0.2%
"Treasure County, Montana",1.10%,± 1.8%
"Trego County, Kansas",2.60%,± 2.2%
"Trempealeau County, Wisconsin",2.60%,± 0.6%
"Treutlen County, Georgia",10.90%,± 4%
"Trigg County, Kentucky",4%,± 2%
"Trimble County, Kentucky",8.40%,± 3.3%
"Trinity County, California",7.40%,± 2.7%
"Trinity County, Texas",7%,± 2.3%
"Tripp County, South Dakota",4.90%,± 3.2%
"Troup County, Georgia",4.80%,± 1.3%
"Trousdale County, Tennessee",0.80%,± 0.8%
"Trujillo Alto Municipio, Puerto Rico",6.50%,± 1.4%
"Trumbull County, Ohio",4.80%,± 0.7%
"Tucker County, West Virginia",6.60%,± 2.2%
"Tulare County, California",9%,± 0.6%
"Tulsa County, Oklahoma",5.30%,± 0.3%
"Tunica County, Mississippi",12.20%,± 5.4%
"Tuolumne County, California",8.30%,± 1.9%
"Turner County, Georgia",7%,± 3.4%
"Turner County, South Dakota",2.30%,± 1%
"Tuscaloosa County, Alabama",5.50%,± 0.9%
"Tuscarawas County, Ohio",5.50%,± 1.1%
"Tuscola County, Michigan",6.10%,± 1%
"Twiggs County, Georgia",3.40%,± 2.6%
"Twin Falls County, Idaho",3.10%,± 0.7%
"Tyler County, Texas",12.60%,± 3.2%
"Tyler County, West Virginia",4.90%,± 2.3%
"Tyrrell County, North Carolina",3.90%,± 3.8%
"Uinta County, Wyoming",3.40%,± 1.2%
"Uintah County, Utah",6.30%,± 1.8%
"Ulster County, New York",5.10%,± 0.6%
"Umatilla County, Oregon",6.70%,± 1.2%
"Unicoi County, Tennessee",5.40%,± 2%
"Union County, Arkansas",3.70%,± 1.2%
"Union County, Florida",3.60%,± 2.2%
"Union County, Georgia",2.70%,± 1.1%
"Union County, Illinois",6.30%,± 2%
"Union County, Indiana",5.10%,± 2.2%
"Union County, Iowa",5.70%,± 2.5%
"Union County, Kentucky",3.70%,± 1.7%
"Union County, Mississippi",4.10%,± 1.4%
"Union County, New Jersey",6.20%,± 0.3%
"Union County, New Mexico",5.80%,± 3.9%
"Union County, North Carolina",4.30%,± 0.6%
"Union County, Ohio",2.90%,± 0.7%
"Union County, Oregon",6.30%,± 1.7%
"Union County, Pennsylvania",3.50%,± 1%
"Union County, South Carolina",10.20%,± 2.4%
"Union County, South Dakota",3%,± 1.3%
"Union County, Tennessee",5.70%,± 1.8%
"Union Parish, Louisiana",5.40%,± 2%
"Upshur County, Texas",4.30%,± 1.3%
"Upshur County, West Virginia",5.80%,± 2.1%
"Upson County, Georgia",3.10%,± 1.6%
"Upton County, Texas",4.70%,± 2.8%
"Utah County, Utah",3.40%,± 0.2%
"Utuado Municipio, Puerto Rico",30.50%,± 4.5%
"Uvalde County, Texas",3.20%,± 1.3%
"Val Verde County, Texas",3.40%,± 1.4%
"Valencia County, New Mexico",7.50%,± 1.5%
"Valley County, Idaho",1.50%,± 1.2%
"Valley County, Montana",4%,± 1.5%
"Valley County, Nebraska",0.60%,± 0.6%
"Van Buren County, Arkansas",4.70%,± 1.9%
"Van Buren County, Iowa",4.90%,± 1.9%
"Van Buren County, Michigan",4.70%,± 0.8%
"Van Buren County, Tennessee",4.10%,± 2.5%
"Van Wert County, Ohio",3.80%,± 1.2%
"Van Zandt County, Texas",3.10%,± 0.9%
"Vance County, North Carolina",7%,± 1.8%
"Vanderburgh County, Indiana",4.70%,± 0.6%
"Vega Alta Municipio, Puerto Rico",21.60%,± 4.2%
"Vega Baja Municipio, Puerto Rico",16.30%,± 2.1%
"Venango County, Pennsylvania",6.70%,± 0.8%
"Ventura County, California",5.30%,± 0.3%
"Vermilion County, Illinois",6.70%,± 1%
"Vermilion Parish, Louisiana",6.20%,± 1.4%
"Vermillion County, Indiana",7.50%,± 2.5%
"Vernon County, Missouri",4%,± 1.1%
"Vernon County, Wisconsin",2.50%,± 0.5%
"Vernon Parish, Louisiana",6.10%,± 0.8%
"Victoria County, Texas",5.20%,± 1%
"Vieques Municipio, Puerto Rico",13.10%,± 7.6%
"Vigo County, Indiana",6.10%,± 0.9%
"Vilas County, Wisconsin",4.60%,± 0.8%
"Villalba Municipio, Puerto Rico",13.90%,± 3.4%
"Vinton County, Ohio",3.60%,± 1.7%
"Virginia Beach city, Virginia",4.30%,± 0.5%
"Volusia County, Florida",4.20%,± 0.4%
"Wabash County, Illinois",4.40%,± 1.6%
"Wabash County, Indiana",3.50%,± 1%
"Wabasha County, Minnesota",2.20%,± 0.5%
"Wabaunsee County, Kansas",3%,± 1.8%
"Wadena County, Minnesota",6.10%,± 2.9%
"Wagoner County, Oklahoma",4.90%,± 0.5%
"Wahkiakum County, Washington",3.20%,± 2.4%
"Wake County, North Carolina",4.20%,± 0.3%
"Wakulla County, Florida",3.60%,± 1.4%
"Waldo County, Maine",4.60%,± 1%
"Walker County, Alabama",5.70%,± 1.2%
"Walker County, Georgia",5.50%,± 1.5%
"Walker County, Texas",7%,± 1.8%
"Walla Walla County, Washington",5.80%,± 1.1%
"Wallace County, Kansas",2.20%,± 1.6%
"Waller County, Texas",6.10%,± 2%
"Wallowa County, Oregon",6%,± 3%
"Walsh County, North Dakota",2.30%,± 0.9%
"Walthall County, Mississippi",6.50%,± 3.6%
"Walton County, Florida",5.30%,± 1.1%
"Walton County, Georgia",5.20%,± 1%
"Walworth County, South Dakota",3.60%,± 2.2%
"Walworth County, Wisconsin",3.10%,± 0.5%
"Wapello County, Iowa",4.40%,± 1%
"Ward County, North Dakota",3.70%,± 0.8%
"Ward County, Texas",5.50%,± 2.7%
"Ware County, Georgia",4.30%,± 1.7%
"Warren County, Georgia",9%,± 3.7%
"Warren County, Illinois",7.30%,± 1.8%
"Warren County, Indiana",3.10%,± 1.8%
"Warren County, Iowa",3.20%,± 0.8%
"Warren County, Kentucky",4.70%,± 0.8%
"Warren County, Mississippi",4.70%,± 1.5%
"Warren County, Missouri",4.80%,± 1.3%
"Warren County, New Jersey",6%,± 0.8%
"Warren County, New York",4.20%,± 1.1%
"Warren County, North Carolina",9.90%,± 2.7%
"Warren County, Ohio",3%,± 0.4%
"Warren County, Pennsylvania",4.30%,± 0.8%
"Warren County, Tennessee",3.90%,± 1.1%
"Warren County, Virginia",5.60%,± 1.3%
"Warrick County, Indiana",3.30%,± 1%
"Wasatch County, Utah",2.40%,± 1%
"Wasco County, Oregon",7.10%,± 1.8%
"Waseca County, Minnesota",3.30%,± 1.2%
"Washakie County, Wyoming",1.80%,± 1.1%
"Washburn County, Wisconsin",4.10%,± 0.7%
"Washington County, Alabama",6.30%,± 3.3%
"Washington County, Arkansas",4.30%,± 0.6%
"Washington County, Colorado",3.50%,± 1.3%
"Washington County, Florida",4.80%,± 1.8%
"Washington County, Georgia",4.50%,± 1.9%
"Washington County, Idaho",4.50%,± 2.3%
"Washington County, Illinois",4.70%,± 1.3%
"Washington County, Indiana",4.20%,± 1.4%
"Washington County, Iowa",2.60%,± 0.7%
"Washington County, Kansas",1.80%,± 0.8%
"Washington County, Kentucky",2.30%,± 1.2%
"Washington County, Maine",7%,± 1.2%
"Washington County, Maryland",5%,± 0.8%
"Washington County, Minnesota",3%,± 0.4%
"Washington County, Mississippi",9.50%,± 1.7%
"Washington County, Missouri",4.40%,± 1.4%
"Washington County, Nebraska",2%,± 1%
"Washington County, New York",5.10%,± 1.2%
"Washington County, North Carolina",12.70%,± 5.3%
"Washington County, Ohio",5.20%,± 1.1%
"Washington County, Oklahoma",3.80%,± 0.8%
"Washington County, Oregon",4.60%,± 0.3%
"Washington County, Pennsylvania",5%,± 0.5%
"Washington County, Rhode Island",5.90%,± 0.9%
"Washington County, Tennessee",5%,± 0.8%
"Washington County, Texas",2.70%,± 1.1%
"Washington County, Utah",3.10%,± 0.6%
"Washington County, Vermont",3%,± 0.7%
"Washington County, Virginia",4.20%,± 0.9%
"Washington County, Wisconsin",3.10%,± 0.6%
"Washington Parish, Louisiana",10.50%,± 2.3%
"Washita County, Oklahoma",5.80%,± 1.6%
"Washoe County, Nevada",5%,± 0.4%
"Washtenaw County, Michigan",4.70%,± 0.5%
"Watauga County, North Carolina",9.30%,± 1.8%
"Watonwan County, Minnesota",6.10%,± 2.5%
"Waukesha County, Wisconsin",2.60%,± 0.3%
"Waupaca County, Wisconsin",2.70%,± 0.6%
"Waushara County, Wisconsin",4.10%,± 0.7%
"Wayne County, Georgia",6.20%,± 1.9%
"Wayne County, Illinois",3.60%,± 1.2%
"Wayne County, Indiana",4.50%,± 0.9%
"Wayne County, Iowa",1.60%,± 0.9%
"Wayne County, Kentucky",5.20%,± 1.7%
"Wayne County, Michigan",9%,± 0.3%
"Wayne County, Mississippi",8.70%,± 3%
"Wayne County, Missouri",8.30%,± 2.4%
"Wayne County, Nebraska",3.40%,± 1.6%
"Wayne County, New York",4.30%,± 0.7%
"Wayne County, North Carolina",5%,± 0.9%
"Wayne County, Ohio",3.30%,± 0.6%
"Wayne County, Pennsylvania",5.90%,± 1%
"Wayne County, Tennessee",4.60%,± 1.8%
"Wayne County, Utah",0.60%,± 1%
"Wayne County, West Virginia",5%,± 1.9%
"Waynesboro city, Virginia",4.70%,± 1.7%
"Weakley County, Tennessee",4%,± 1.1%
"Webb County, Texas",5.90%,± 0.8%
"Weber County, Utah",3.10%,± 0.3%
"Webster County, Georgia",8.90%,± 7.6%
"Webster County, Iowa",3.20%,± 0.7%
"Webster County, Kentucky",5.90%,± 1.9%
"Webster County, Mississippi",6.40%,± 2.5%
"Webster County, Missouri",4.80%,± 1.4%
"Webster County, Nebraska",1.80%,± 1%
"Webster County, West Virginia",11.10%,± 3.8%
"Webster Parish, Louisiana",5.30%,± 1.3%
"Weld County, Colorado",4.90%,± 0.4%
"Wells County, Indiana",2.40%,± 1%
"Wells County, North Dakota",1.80%,± 1%
"West Baton Rouge Parish, Louisiana",7.60%,± 2.4%
"West Carroll Parish, Louisiana",4.60%,± 2.2%
"West Feliciana Parish, Louisiana",8.90%,± 4.6%
"Westchester County, New York",6%,± 0.3%
"Western Connecticut Planning Region, Connecticut",5.60%,± 0.4%
"Westmoreland County, Pennsylvania",5%,± 0.4%
"Westmoreland County, Virginia",9.10%,± 3.7%
"Weston County, Wyoming",3.60%,± 1.7%
"Wetzel County, West Virginia",6.10%,± 2.2%
"Wexford County, Michigan",6.30%,± 1.4%
"Wharton County, Texas",5.70%,± 1.8%
"Whatcom County, Washington",4.90%,± 0.6%
"Wheatland County, Montana",0.20%,± 0.3%
"Wheeler County, Georgia",6.40%,± 6.6%
"Wheeler County, Nebraska",1.40%,± 1.7%
"Wheeler County, Oregon",5.40%,± 3.9%
"Wheeler County, Texas",6.60%,± 3.1%
"White County, Arkansas",5.20%,± 0.9%
"White County, Georgia",3.50%,± 1.8%
"White County, Illinois",3.50%,± 1.3%
"White County, Indiana",4.40%,± 1.2%
"White County, Tennessee",5.40%,± 1.7%
"White Pine County, Nevada",4.10%,± 2.4%
"Whiteside County, Illinois",4.40%,± 0.8%
"Whitfield County, Georgia",5.70%,± 1%
"Whitley County, Indiana",4%,± 1.4%
"Whitley County, Kentucky",6.40%,± 1.6%
"Whitman County, Washington",6.70%,± 1.4%
"Wibaux County, Montana",0%,± 5.5%
"Wichita County, Kansas",2.30%,± 2.5%
"Wichita County, Texas",4.20%,± 0.7%
"Wicomico County, Maryland",6.90%,± 1.1%
"Wilbarger County, Texas",9.30%,± 4%
"Wilcox County, Alabama",10.70%,± 4.2%
"Wilcox County, Georgia",5.30%,± 2.3%
"Wilkes County, Georgia",2.90%,± 1.7%
"Wilkes County, North Carolina",6%,± 1.5%
"Wilkin County, Minnesota",5%,± 2.2%
"Wilkinson County, Georgia",5.80%,± 2.2%
"Wilkinson County, Mississippi",6.30%,± 4.1%
"Will County, Illinois",5%,± 0.3%
"Willacy County, Texas",8.70%,± 2.8%
"Williams County, North Dakota",2.50%,± 1.2%
"Williams County, Ohio",3.50%,± 0.9%
"Williamsburg city, Virginia",6%,± 2.1%
"Williamsburg County, South Carolina",4.50%,± 1.4%
"Williamson County, Illinois",4.40%,± 0.8%
"Williamson County, Tennessee",2.10%,± 0.3%
"Williamson County, Texas",4.40%,± 0.4%
"Wilson County, Kansas",3.70%,± 1.5%
"Wilson County, North Carolina",6.60%,± 1.3%
"Wilson County, Tennessee",3.70%,± 0.8%
"Wilson County, Texas",3.40%,± 0.9%
"Winchester city, Virginia",5.20%,± 1.5%
"Windham County, Vermont",4.40%,± 0.9%
"Windsor County, Vermont",3.70%,± 0.8%
"Winkler County, Texas",2.30%,± 1.5%
"Winn Parish, Louisiana",4%,± 1.5%
"Winnebago County, Illinois",7.50%,± 0.6%
"Winnebago County, Iowa",2.50%,± 1.3%
"Winnebago County, Wisconsin",2.40%,± 0.4%
"Winneshiek County, Iowa",2.10%,± 0.7%
"Winona County, Minnesota",2.80%,± 0.7%
"Winston County, Alabama",4.40%,± 1.6%
"Winston County, Mississippi",6.90%,± 3.1%
"Wirt County, West Virginia",2.60%,± 2.3%
"Wise County, Texas",4.30%,± 0.9%
"Wise County, Virginia",9.10%,± 2.2%
"Wolfe County, Kentucky",20.30%,± 8.8%
"Wood County, Ohio",4.90%,± 0.7%
"Wood County, Texas",5.30%,± 1.3%
"Wood County, West Virginia",5.30%,± 1%
"Wood County, Wisconsin",4.20%,± 0.9%
"Woodbury County, Iowa",4.50%,± 0.8%
"Woodford County, Illinois",3.30%,± 1%
"Woodford County, Kentucky",2.50%,± 1%
"Woodruff County, Arkansas",6.70%,± 2.9%
"Woods County, Oklahoma",5%,± 2.7%
"Woodson County, Kansas",6.20%,± 3.9%
"Woodward County, Oklahoma",5.30%,± 2%
"Worcester County, Maryland",6.50%,± 1.3%
"Worcester County, Massachusetts",5.60%,± 0.3%
"Worth County, Georgia",7%,± 2.7%
"Worth County, Iowa",3.30%,± 1.3%
"Worth County, Missouri",0.90%,± 1.1%
"Wrangell City and Borough, Alaska",3.40%,± 1.7%
"Wright County, Iowa",2.20%,± 1%
"Wright County, Minnesota",2.20%,± 0.5%
"Wright County, Missouri",4.80%,± 2.1%
"Wyandot County, Ohio",2.80%,± 1%
"Wyandotte County, Kansas",5.70%,± 0.6%
"Wyoming County, New York",4.10%,± 1%
"Wyoming County, Pennsylvania",4.50%,± 0.7%
"Wyoming County, West Virginia",6.40%,± 3.1%
"Wythe County, Virginia",5.20%,± 1.7%
"Yabucoa Municipio, Puerto Rico",11.10%,± 2.9%
"Yadkin County, North Carolina",5.20%,± 1.6%
"Yakima County, Washington",7.20%,± 0.7%
"Yakutat City and Borough, Alaska",1.80%,± 1.7%
"Yalobusha County, Mississippi",5%,± 2.8%
"Yamhill County, Oregon",4.10%,± 0.7%
"Yancey County, North Carolina",7.60%,± 2.2%
"Yankton County, South Dakota",1.60%,± 0.9%
"Yates County, New York",3.20%,± 0.9%
"Yauco Municipio, Puerto Rico",13.50%,± 2.9%
"Yavapai County, Arizona",4.90%,± 0.5%
"Yazoo County, Mississippi",10.40%,± 3%
"Yell County, Arkansas",3.90%,± 1.4%
"Yellow Medicine County, Minnesota",3.20%,± 1%
"Yellowstone County, Montana",3.50%,± 0.5%
"Yoakum County, Texas",3.90%,± 2.2%
"Yolo County, California",5.30%,± 0.7%
"York County, Maine",3.40%,± 0.4%
"York County, Nebraska",2.80%,± 1.3%
"York County, Pennsylvania",4.60%,± 0.4%
"York County, South Carolina",4.70%,± 0.5%
"York County, Virginia",4.20%,± 1.1%
"Young County, Texas",2.60%,± 1.4%
"Yuba County, California",7.40%,± 1.4%
"Yukon-Koyukuk Census Area, Alaska",11.10%,± 1.7%
"Yuma County, Arizona",8.30%,± 0.9%
"Yuma County, Colorado",5.70%,± 2.2%
"Zapata County, Texas",8.10%,± 4.2%
"Zavala County, Texas",5.80%,± 3.2%
"Ziebach County, South Dakota",32%,± 6.2%
