Geography,"Production, transportation, and material moving occupations—Civilian employed population 16 years and over—Estimate",MoE
"Tishomingo County, Mississippi",26.60%,± 4.5%
"Titus County, Texas",27.80%,± 3%
"Toa Alta Municipio, Puerto Rico",11.70%,± 2.2%
"Toa Baja Municipio, Puerto Rico",11.80%,± 1.5%
"Todd County, Kentucky",26%,± 5%
"Todd County, Minnesota",25.60%,± 1.8%
"Todd County, South Dakota",10.50%,± 4.2%
"Tom Green County, Texas",12.90%,± 1.3%
"Tompkins County, New York",6.50%,± 1%
"Tooele County, Utah",19%,± 1.9%
"Toole County, Montana",12.30%,± 3.7%
"Toombs County, Georgia",16.90%,± 3.1%
"Torrance County, New Mexico",15.20%,± 4.2%
"Towner County, North Dakota",7.70%,± 2.8%
"Towns County, Georgia",12.90%,± 3.9%
"Traill County, North Dakota",11.90%,± 1.7%
"Transylvania County, North Carolina",9.60%,± 2%
"Traverse County, Minnesota",12.50%,± 2.9%
"Travis County, Texas",7.30%,± 0.4%
"Treasure County, Montana",6.60%,± 4%
"Trego County, Kansas",16.10%,± 4.8%
"Trempealeau County, Wisconsin",24.60%,± 1.4%
"Treutlen County, Georgia",19.80%,± 6.8%
"Trigg County, Kentucky",23.70%,± 4.4%
"Trimble County, Kentucky",27.50%,± 5.4%
"Trinity County, California",9%,± 4.1%
"Trinity County, Texas",14.30%,± 3.8%
"Tripp County, South Dakota",9.90%,± 2.9%
"Troup County, Georgia",26.20%,± 2.1%
"Trousdale County, Tennessee",28%,± 7%
"Trujillo Alto Municipio, Puerto Rico",6.90%,± 1.3%
"Trumbull County, Ohio",21.30%,± 1.2%
"Tucker County, West Virginia",15.40%,± 3.3%
"Tulare County, California",15.50%,± 0.8%
"Tulsa County, Oklahoma",13.40%,± 0.4%
"Tunica County, Mississippi",20.50%,± 5.4%
"Tuolumne County, California",10.20%,± 2.1%
"Turner County, Georgia",15%,± 5.9%
"Turner County, South Dakota",12.10%,± 2.1%
"Tuscaloosa County, Alabama",18.10%,± 1.3%
"Tuscarawas County, Ohio",24.90%,± 1.7%
"Tuscola County, Michigan",21%,± 1.5%
"Twiggs County, Georgia",25%,± 6%
"Twin Falls County, Idaho",18.20%,± 1.8%
"Tyler County, Texas",15.70%,± 4.2%
"Tyler County, West Virginia",20.30%,± 5.1%
"Tyrrell County, North Carolina",8.40%,± 5%
"Uinta County, Wyoming",13.10%,± 3.1%
"Uintah County, Utah",18.30%,± 2.6%
"Ulster County, New York",9.90%,± 0.8%
"Umatilla County, Oregon",16%,± 1.7%
"Unicoi County, Tennessee",20.80%,± 4.4%
"Union County, Arkansas",18.70%,± 2.5%
"Union County, Florida",15.70%,± 4.7%
"Union County, Georgia",13.50%,± 2.7%
"Union County, Illinois",17.60%,± 3.2%
"Union County, Indiana",21.80%,± 4.5%
"Union County, Iowa",22.30%,± 3.3%
"Union County, Kentucky",21.80%,± 4.1%
"Union County, Mississippi",26.50%,± 3.8%
"Union County, New Jersey",15.60%,± 0.6%
"Union County, New Mexico",17.90%,± 5.6%
"Union County, North Carolina",11.80%,± 0.7%
"Union County, Ohio",14.80%,± 1.6%
"Union County, Oregon",16%,± 2.2%
"Union County, Pennsylvania",13.20%,± 1.8%
"Union County, South Carolina",30.30%,± 3.3%
"Union County, South Dakota",14.10%,± 2.7%
"Union County, Tennessee",22.20%,± 3.1%
"Union Parish, Louisiana",16%,± 3.2%
"Upshur County, Texas",15.80%,± 2.4%
"Upshur County, West Virginia",19.20%,± 2.9%
"Upson County, Georgia",20.80%,± 2.9%
"Upton County, Texas",11.80%,± 5%
"Utah County, Utah",10.60%,± 0.3%
"Utuado Municipio, Puerto Rico",11.60%,± 3.2%
"Uvalde County, Texas",9.30%,± 3%
"Val Verde County, Texas",15.10%,± 2.3%
"Valencia County, New Mexico",13.60%,± 2.3%
"Valley County, Idaho",6.90%,± 3.7%
"Valley County, Montana",10%,± 2.9%
"Valley County, Nebraska",15.20%,± 3.3%
"Van Buren County, Arkansas",22.70%,± 4.2%
"Van Buren County, Iowa",23%,± 3.3%
"Van Buren County, Michigan",20.10%,± 1.5%
"Van Buren County, Tennessee",23.20%,± 5.7%
"Van Wert County, Ohio",27.70%,± 2.5%
"Van Zandt County, Texas",13.40%,± 1.6%
"Vance County, North Carolina",20.60%,± 2.2%
"Vanderburgh County, Indiana",18.50%,± 1.1%
"Vega Alta Municipio, Puerto Rico",14.10%,± 3.1%
"Vega Baja Municipio, Puerto Rico",15.50%,± 2.5%
"Venango County, Pennsylvania",21.70%,± 1.5%
"Ventura County, California",10.80%,± 0.4%
"Vermilion County, Illinois",22.60%,± 1.5%
"Vermilion Parish, Louisiana",13%,± 2.1%
"Vermillion County, Indiana",25.50%,± 2.9%
"Vernon County, Missouri",16.40%,± 2.8%
"Vernon County, Wisconsin",18.30%,± 1.3%
"Vernon Parish, Louisiana",14.70%,± 1.6%
"Victoria County, Texas",15.60%,± 1.6%
"Vieques Municipio, Puerto Rico",9.20%,± 6.2%
"Vigo County, Indiana",17.50%,± 1.4%
"Vilas County, Wisconsin",11.10%,± 1.8%
"Villalba Municipio, Puerto Rico",16.70%,± 3.9%
"Vinton County, Ohio",24.10%,± 4.8%
"Virginia Beach city, Virginia",9.50%,± 0.5%
"Volusia County, Florida",10.40%,± 0.5%
"Wabash County, Illinois",22.40%,± 3.5%
"Wabash County, Indiana",25.40%,± 3.1%
"Wabasha County, Minnesota",14.50%,± 1.6%
"Wabaunsee County, Kansas",15%,± 3.3%
"Wadena County, Minnesota",20.20%,± 2.5%
"Wagoner County, Oklahoma",14.80%,± 0.9%
"Wahkiakum County, Washington",13.20%,± 6.4%
"Wake County, North Carolina",7.80%,± 0.4%
"Wakulla County, Florida",7%,± 1.8%
"Waldo County, Maine",12.30%,± 1.3%
"Walker County, Alabama",20.20%,± 1.8%
"Walker County, Georgia",18.50%,± 2.4%
"Walker County, Texas",16.30%,± 2.5%
"Walla Walla County, Washington",12.90%,± 1.7%
"Wallace County, Kansas",11.80%,± 5.3%
"Waller County, Texas",12.60%,± 2.1%
"Wallowa County, Oregon",8%,± 2.8%
"Walsh County, North Dakota",15.50%,± 2.4%
"Walthall County, Mississippi",25.90%,± 6.5%
"Walton County, Florida",8.40%,± 1.5%
"Walton County, Georgia",15.60%,± 1.4%
"Walworth County, South Dakota",11.20%,± 4.7%
"Walworth County, Wisconsin",18.10%,± 1.1%
"Wapello County, Iowa",28.10%,± 3%
"Ward County, North Dakota",13.90%,± 1.5%
"Ward County, Texas",20.60%,± 3.8%
"Ware County, Georgia",18.30%,± 2.7%
"Warren County, Georgia",27.10%,± 5.6%
"Warren County, Illinois",21.30%,± 3.2%
"Warren County, Indiana",24.70%,± 3.5%
"Warren County, Iowa",13.20%,± 1.3%
"Warren County, Kentucky",18.90%,± 1.4%
"Warren County, Mississippi",14.40%,± 2%
"Warren County, Missouri",17.10%,± 2.7%
"Warren County, New Jersey",12.70%,± 1.2%
"Warren County, New York",11.50%,± 1.4%
"Warren County, North Carolina",23.40%,± 3.2%
"Warren County, Ohio",10.50%,± 0.8%
"Warren County, Pennsylvania",22.70%,± 1.8%
"Warren County, Tennessee",23.90%,± 2.7%
"Warren County, Virginia",11.50%,± 1.7%
"Warrick County, Indiana",14.90%,± 1.9%
"Wasatch County, Utah",10.10%,± 1.9%
"Wasco County, Oregon",11.70%,± 2.9%
"Waseca County, Minnesota",18.90%,± 2.1%
"Washakie County, Wyoming",14.90%,± 3.3%
"Washburn County, Wisconsin",18.90%,± 1.8%
"Washington County, Alabama",23.10%,± 4.1%
"Washington County, Arkansas",14.40%,± 0.9%
"Washington County, Colorado",10.70%,± 2.7%
"Washington County, Florida",17.40%,± 3.5%
"Washington County, Georgia",19.10%,± 3.3%
"Washington County, Idaho",19.70%,± 3.7%
"Washington County, Illinois",18.70%,± 3%
"Washington County, Indiana",28.90%,± 3.2%
"Washington County, Iowa",14.80%,± 2.2%
"Washington County, Kansas",17.50%,± 2.5%
"Washington County, Kentucky",25%,± 4.4%
"Washington County, Maine",13.90%,± 1.7%
"Washington County, Maryland",14.20%,± 0.9%
"Washington County, Minnesota",10.30%,± 0.7%
"Washington County, Mississippi",21.40%,± 2.8%
"Washington County, Missouri",21.50%,± 3.6%
"Washington County, Nebraska",11.50%,± 1.8%
"Washington County, New York",15.70%,± 1.5%
"Washington County, North Carolina",14.10%,± 4.8%
"Washington County, Ohio",17.60%,± 1.7%
"Washington County, Oklahoma",14.90%,± 1.2%
"Washington County, Oregon",10.50%,± 0.5%
"Washington County, Pennsylvania",12.70%,± 0.7%
"Washington County, Rhode Island",7.50%,± 0.8%
"Washington County, Tennessee",12.30%,± 1%
"Washington County, Texas",14.30%,± 2.7%
"Washington County, Utah",12.70%,± 1.3%
"Washington County, Vermont",8.50%,± 1%
"Washington County, Virginia",18.10%,± 2%
"Washington County, Wisconsin",16.80%,± 1%
"Washington Parish, Louisiana",14.10%,± 2.6%
"Washita County, Oklahoma",17.10%,± 4.1%
"Washoe County, Nevada",14.40%,± 0.6%
"Washtenaw County, Michigan",9%,± 0.6%
"Watauga County, North Carolina",7.90%,± 1.4%
"Watonwan County, Minnesota",18.10%,± 2.7%
"Waukesha County, Wisconsin",10.80%,± 0.6%
"Waupaca County, Wisconsin",25.90%,± 1.7%
"Waushara County, Wisconsin",25.10%,± 1.6%
"Wayne County, Georgia",19.70%,± 3.3%
"Wayne County, Illinois",20.30%,± 2.4%
"Wayne County, Indiana",21.50%,± 1.9%
"Wayne County, Iowa",24.60%,± 2.8%
"Wayne County, Kentucky",27.20%,± 4.7%
"Wayne County, Michigan",19%,± 0.4%
"Wayne County, Mississippi",19.10%,± 4.3%
"Wayne County, Missouri",27.70%,± 5.5%
"Wayne County, Nebraska",14.80%,± 3.3%
"Wayne County, New York",16.10%,± 1.2%
"Wayne County, North Carolina",19.40%,± 1.7%
"Wayne County, Ohio",22.80%,± 1.4%
"Wayne County, Pennsylvania",16.90%,± 1.4%
"Wayne County, Tennessee",20.10%,± 3.2%
"Wayne County, Utah",12.20%,± 5.4%
"Wayne County, West Virginia",15.40%,± 2.9%
"Waynesboro city, Virginia",16.30%,± 3%
"Weakley County, Tennessee",21.80%,± 2.6%
"Webb County, Texas",16%,± 1.1%
"Weber County, Utah",16.30%,± 0.8%
"Webster County, Georgia",26.20%,± 7.9%
"Webster County, Iowa",18.40%,± 2%
"Webster County, Kentucky",34.10%,± 5.4%
"Webster County, Mississippi",17.70%,± 3.6%
"Webster County, Missouri",19.20%,± 2.4%
"Webster County, Nebraska",18.20%,± 3.2%
"Webster County, West Virginia",21.60%,± 6.5%
"Webster Parish, Louisiana",16.90%,± 2.8%
"Weld County, Colorado",14.80%,± 0.8%
"Wells County, Indiana",22.80%,± 2.6%
"Wells County, North Dakota",10.90%,± 3.1%
"West Baton Rouge Parish, Louisiana",13.30%,± 2.4%
"West Carroll Parish, Louisiana",11.20%,± 3%
"West Feliciana Parish, Louisiana",11.80%,± 4.9%
"Westchester County, New York",6.50%,± 0.3%
"Western Connecticut Planning Region, Connecticut",6.70%,± 0.4%
"Westmoreland County, Pennsylvania",15.50%,± 0.7%
"Westmoreland County, Virginia",12.30%,± 4.1%
"Weston County, Wyoming",20.20%,± 5.2%
"Wetzel County, West Virginia",23.50%,± 4.2%
"Wexford County, Michigan",25.60%,± 2.2%
"Wharton County, Texas",17.90%,± 2.7%
"Whatcom County, Washington",13%,± 0.9%
"Wheatland County, Montana",11.20%,± 5.1%
"Wheeler County, Georgia",39.60%,± 15.4%
"Wheeler County, Nebraska",9.10%,± 5.2%
"Wheeler County, Oregon",2.60%,± 3%
"Wheeler County, Texas",8.60%,± 2.7%
"White County, Arkansas",18.90%,± 1.7%
"White County, Georgia",13.20%,± 3.4%
"White County, Illinois",20.60%,± 2.5%
"White County, Indiana",28.60%,± 2.7%
"White County, Tennessee",25.40%,± 2.9%
"White Pine County, Nevada",16.30%,± 6.1%
"Whiteside County, Illinois",24.10%,± 1.8%
"Whitfield County, Georgia",31.60%,± 2%
"Whitley County, Indiana",24.90%,± 2.8%
"Whitley County, Kentucky",19.20%,± 3%
"Whitman County, Washington",8%,± 1.4%
"Wibaux County, Montana",8.80%,± 5%
"Wichita County, Kansas",14.30%,± 6.4%
"Wichita County, Texas",16.20%,± 1.2%
"Wicomico County, Maryland",13.30%,± 1.6%
"Wilbarger County, Texas",18.10%,± 4.3%
"Wilcox County, Alabama",22.10%,± 5.2%
"Wilcox County, Georgia",20.60%,± 4.8%
"Wilkes County, Georgia",21.20%,± 3.9%
"Wilkes County, North Carolina",23.40%,± 2.5%
"Wilkin County, Minnesota",14.70%,± 2.4%
"Wilkinson County, Georgia",24.30%,± 4.4%
"Wilkinson County, Mississippi",12.20%,± 4.6%
"Will County, Illinois",16.50%,± 0.5%
"Willacy County, Texas",15.80%,± 4.2%
"Williams County, North Dakota",18.80%,± 3%
"Williams County, Ohio",30%,± 2.1%
"Williamsburg city, Virginia",8.40%,± 2.4%
"Williamsburg County, South Carolina",21.40%,± 3.1%
"Williamson County, Illinois",12.40%,± 1.4%
"Williamson County, Tennessee",5.70%,± 0.5%
"Williamson County, Texas",8.30%,± 0.5%
"Wilson County, Kansas",20.80%,± 3%
"Wilson County, North Carolina",20.80%,± 1.9%
"Wilson County, Tennessee",13.70%,± 1.1%
"Wilson County, Texas",13.50%,± 2.1%
"Winchester city, Virginia",14.50%,± 3.2%
"Windham County, Vermont",12.50%,± 1.8%
"Windsor County, Vermont",10.50%,± 1.4%
"Winkler County, Texas",25.40%,± 6%
"Winn Parish, Louisiana",17.30%,± 4.5%
"Winnebago County, Illinois",21.90%,± 0.8%
"Winnebago County, Iowa",22.70%,± 4%
"Winnebago County, Wisconsin",21.30%,± 1%
"Winneshiek County, Iowa",16.20%,± 1.9%
"Winona County, Minnesota",17.20%,± 1.6%
"Winston County, Alabama",28.70%,± 3.8%
"Winston County, Mississippi",26.30%,± 4.4%
"Wirt County, West Virginia",21.40%,± 6.5%
"Wise County, Texas",17.70%,± 1.7%
"Wise County, Virginia",10.60%,± 2.2%
"Wolfe County, Kentucky",13.60%,± 6.8%
"Wood County, Ohio",17.60%,± 1.2%
"Wood County, Texas",16.70%,± 2%
"Wood County, West Virginia",15.50%,± 1.6%
"Wood County, Wisconsin",20.50%,± 1.4%
"Woodbury County, Iowa",22.40%,± 1.4%
"Woodford County, Illinois",12.60%,± 1.7%
"Woodford County, Kentucky",14%,± 2.8%
"Woodruff County, Arkansas",18.80%,± 4.2%
"Woods County, Oklahoma",16.60%,± 4.3%
"Woodson County, Kansas",17.80%,± 4.5%
"Woodward County, Oklahoma",18.90%,± 2.8%
"Worcester County, Maryland",6.10%,± 1.3%
"Worcester County, Massachusetts",11.50%,± 0.4%
"Worth County, Georgia",27%,± 3.3%
"Worth County, Iowa",23.60%,± 2.9%
"Worth County, Missouri",10.30%,± 3.4%
"Wrangell City and Borough, Alaska",17.20%,± 5.1%
"Wright County, Iowa",19.80%,± 4.1%
"Wright County, Minnesota",13.20%,± 0.9%
"Wright County, Missouri",22.80%,± 3.5%
"Wyandot County, Ohio",26.30%,± 2.7%
"Wyandotte County, Kansas",23.20%,± 1.2%
"Wyoming County, New York",14.30%,± 1.4%
"Wyoming County, Pennsylvania",20.10%,± 1.9%
"Wyoming County, West Virginia",17.80%,± 4.9%
"Wythe County, Virginia",21%,± 2.8%
"Yabucoa Municipio, Puerto Rico",18.80%,± 4.2%
"Yadkin County, North Carolina",21.20%,± 2.8%
"Yakima County, Washington",17.20%,± 0.9%
"Yakutat City and Borough, Alaska",28.60%,± 8.7%
"Yalobusha County, Mississippi",23.50%,± 5.1%
"Yamhill County, Oregon",15.50%,± 1.6%
"Yancey County, North Carolina",19.20%,± 3%
"Yankton County, South Dakota",21.30%,± 2.8%
"Yates County, New York",16.60%,± 2.5%
"Yauco Municipio, Puerto Rico",15.50%,± 2.5%
"Yavapai County, Arizona",10%,± 0.8%
"Yazoo County, Mississippi",19.10%,± 4.1%
"Yell County, Arkansas",28.40%,± 3.8%
"Yellow Medicine County, Minnesota",15.80%,± 1.6%
"Yellowstone County, Montana",11.30%,± 0.9%
"Yoakum County, Texas",13.40%,± 4.5%
"Yolo County, California",11.10%,± 0.9%
"York County, Maine",13%,± 0.9%
"York County, Nebraska",15.20%,± 2.9%
"York County, Pennsylvania",18.30%,± 0.6%
"York County, South Carolina",14.60%,± 0.8%
"York County, Virginia",8.20%,± 1.1%
"Young County, Texas",15.70%,± 3.7%
"Yuba County, California",14.80%,± 1.9%
"Yukon-Koyukuk Census Area, Alaska",16.50%,± 4.8%
"Yuma County, Arizona",15.80%,± 1.2%
"Yuma County, Colorado",13.80%,± 4.1%
"Zapata County, Texas",16.40%,± 4.5%
"Zavala County, Texas",16.20%,± 5.9%
"Ziebach County, South Dakota",7.20%,± 3.2%
