Geography,Total—AGE OF OWN CHILDREN—Households with own children of the householder under 18 years—Under 6 years only—Estimate,MoE
"Tipton County, Tennessee",20.60%,± 3.5%
"Tishomingo County, Mississippi",27.10%,± 7.7%
"Titus County, Texas",15.60%,± 4.8%
"Toa Alta Municipio, Puerto Rico",15.80%,± 4.2%
"Toa Baja Municipio, Puerto Rico",16%,± 4%
"Todd County, Kentucky",24.40%,± 9.5%
"Todd County, Minnesota",21.50%,± 3%
"Todd County, South Dakota",12.10%,± 5%
"Tom Green County, Texas",18.80%,± 3.3%
"Tompkins County, New York",22.60%,± 4.3%
"Tooele County, Utah",18.90%,± 3.6%
"Toole County, Montana",29.80%,± 11.8%
"Toombs County, Georgia",13.50%,± 6.1%
"Torrance County, New Mexico",23.30%,± 9%
"Towner County, North Dakota",18%,± 12.2%
"Towns County, Georgia",20.30%,± 12.8%
"Traill County, North Dakota",22.10%,± 6%
"Transylvania County, North Carolina",16.20%,± 5.9%
"Traverse County, Minnesota",24.20%,± 7.2%
"Travis County, Texas",25.90%,± 1.1%
"Treasure County, Montana",35.70%,± 22.2%
"Trego County, Kansas",33.90%,± 13.9%
"Trempealeau County, Wisconsin",20.70%,± 2.4%
"Treutlen County, Georgia",7.80%,± 8%
"Trigg County, Kentucky",17.60%,± 8.2%
"Trimble County, Kentucky",17.10%,± 10.6%
"Trinity County, California",16.20%,± 9.5%
"Trinity County, Texas",16.20%,± 7.6%
"Tripp County, South Dakota",18.70%,± 9.8%
"Troup County, Georgia",22.70%,± 4.6%
"Trousdale County, Tennessee",22.70%,± 13.7%
"Trujillo Alto Municipio, Puerto Rico",16.50%,± 5.9%
"Trumbull County, Ohio",21.80%,± 2.5%
"Tucker County, West Virginia",19.90%,± 7.4%
"Tulare County, California",18.60%,± 1.9%
"Tulsa County, Oklahoma",22.40%,± 0.9%
"Tunica County, Mississippi",25.70%,± 15.4%
"Tuolumne County, California",30.70%,± 6.2%
"Turner County, Georgia",18.40%,± 11.9%
"Turner County, South Dakota",18.60%,± 3.8%
"Tuscaloosa County, Alabama",22.50%,± 2.7%
"Tuscarawas County, Ohio",23.20%,± 2.7%
"Tuscola County, Michigan",20.10%,± 3.2%
"Twiggs County, Georgia",18%,± 14.1%
"Twin Falls County, Idaho",21.60%,± 3.5%
"Tyler County, Texas",13.50%,± 6.8%
"Tyler County, West Virginia",22.70%,± 9.8%
"Tyrrell County, North Carolina",30%,± 26.1%
"Uinta County, Wyoming",23.40%,± 5.7%
"Uintah County, Utah",22%,± 4.5%
"Ulster County, New York",23.40%,± 2.7%
"Umatilla County, Oregon",21.40%,± 4.1%
"Unicoi County, Tennessee",17.60%,± 6.5%
"Union County, Arkansas",24.50%,± 6%
"Union County, Florida",27.80%,± 9.9%
"Union County, Georgia",15.60%,± 6.4%
"Union County, Illinois",24.90%,± 5.1%
"Union County, Indiana",18.50%,± 7.7%
"Union County, Iowa",20.20%,± 6.9%
"Union County, Kentucky",14.80%,± 7%
"Union County, Mississippi",18.10%,± 5.2%
"Union County, New Jersey",19.70%,± 1.2%
"Union County, New Mexico",24.10%,± 12.6%
"Union County, North Carolina",15.70%,± 1.6%
"Union County, Ohio",21%,± 2.9%
"Union County, Oregon",21.50%,± 4%
"Union County, Pennsylvania",32.10%,± 5.7%
"Union County, South Carolina",17.40%,± 5.6%
"Union County, South Dakota",16.10%,± 4.3%
"Union County, Tennessee",21.60%,± 5.9%
"Union Parish, Louisiana",23.70%,± 7.4%
"Upshur County, Texas",21.80%,± 5.7%
"Upshur County, West Virginia",24.20%,± 6.2%
"Upson County, Georgia",19%,± 6.9%
"Upton County, Texas",6.10%,± 8.4%
"Utah County, Utah",23.80%,± 0.9%
"Utuado Municipio, Puerto Rico",14%,± 5.7%
"Uvalde County, Texas",13.80%,± 5.7%
"Val Verde County, Texas",22.60%,± 6.6%
"Valencia County, New Mexico",19.30%,± 3.9%
"Valley County, Idaho",14.80%,± 14.8%
"Valley County, Montana",23%,± 8.6%
"Valley County, Nebraska",12.60%,± 5.4%
"Van Buren County, Arkansas",19%,± 6.4%
"Van Buren County, Iowa",16.90%,± 4.8%
"Van Buren County, Michigan",20.20%,± 2.9%
"Van Buren County, Tennessee",29.30%,± 15%
"Van Wert County, Ohio",24.60%,± 4.2%
"Van Zandt County, Texas",18%,± 4.1%
"Vance County, North Carolina",21.10%,± 5.2%
"Vanderburgh County, Indiana",22%,± 2.5%
"Vega Alta Municipio, Puerto Rico",19.80%,± 6.3%
"Vega Baja Municipio, Puerto Rico",17.20%,± 4.7%
"Venango County, Pennsylvania",21%,± 3.6%
"Ventura County, California",18.30%,± 1.1%
"Vermilion County, Illinois",18.30%,± 3.3%
"Vermilion Parish, Louisiana",20.10%,± 4.5%
"Vermillion County, Indiana",15.30%,± 6.2%
"Vernon County, Missouri",16.20%,± 5.1%
"Vernon County, Wisconsin",19.10%,± 2.4%
"Vernon Parish, Louisiana",28.10%,± 3.4%
"Victoria County, Texas",21%,± 4.2%
"Vieques Municipio, Puerto Rico",19%,± 15.9%
"Vigo County, Indiana",23.90%,± 3.2%
"Vilas County, Wisconsin",25.30%,± 5.6%
"Villalba Municipio, Puerto Rico",9.80%,± 5.9%
"Vinton County, Ohio",18%,± 7.5%
"Virginia Beach city, Virginia",24.20%,± 1.9%
"Volusia County, Florida",21.50%,± 2.1%
"Wabash County, Illinois",27.10%,± 7.3%
"Wabash County, Indiana",24%,± 6.8%
"Wabasha County, Minnesota",20.80%,± 3.7%
"Wabaunsee County, Kansas",24.20%,± 6.8%
"Wadena County, Minnesota",26%,± 5.6%
"Wagoner County, Oklahoma",19.70%,± 2.1%
"Wahkiakum County, Washington",18.40%,± 13.4%
"Wake County, North Carolina",21%,± 0.9%
"Wakulla County, Florida",22.10%,± 6.9%
"Waldo County, Maine",21.10%,± 4.6%
"Walker County, Alabama",17.20%,± 3.8%
"Walker County, Georgia",22.70%,± 4.5%
"Walker County, Texas",22%,± 6.1%
"Walla Walla County, Washington",18.10%,± 4%
"Wallace County, Kansas",40.40%,± 13.9%
"Waller County, Texas",23.90%,± 6.6%
"Wallowa County, Oregon",22.60%,± 7.6%
"Walsh County, North Dakota",20.40%,± 5.7%
"Walthall County, Mississippi",12.60%,± 10%
"Walton County, Florida",25.70%,± 4.5%
"Walton County, Georgia",18.30%,± 3.2%
"Walworth County, South Dakota",21.20%,± 10.9%
"Walworth County, Wisconsin",19.50%,± 2.8%
"Wapello County, Iowa",24%,± 5.4%
"Ward County, North Dakota",23.60%,± 4.6%
"Ward County, Texas",13.50%,± 7.1%
"Ware County, Georgia",24.80%,± 5.9%
"Warren County, Georgia",19.30%,± 8.8%
"Warren County, Illinois",22.50%,± 5.4%
"Warren County, Indiana",17.80%,± 6.5%
"Warren County, Iowa",21.40%,± 3%
"Warren County, Kentucky",25.30%,± 3.5%
"Warren County, Mississippi",21.10%,± 5.9%
"Warren County, Missouri",15.80%,± 5%
"Warren County, New Jersey",17.80%,± 2.7%
"Warren County, New York",26.40%,± 3.9%
"Warren County, North Carolina",12.40%,± 6.1%
"Warren County, Ohio",18.60%,± 1.9%
"Warren County, Pennsylvania",23.10%,± 3.6%
"Warren County, Tennessee",18%,± 3.9%
"Warren County, Virginia",23.30%,± 4.6%
"Warrick County, Indiana",15.80%,± 3.2%
"Wasatch County, Utah",18.60%,± 4.2%
"Wasco County, Oregon",18.60%,± 4.9%
"Waseca County, Minnesota",21.60%,± 5.4%
"Washakie County, Wyoming",19.90%,± 9.6%
"Washburn County, Wisconsin",16.10%,± 3.3%
"Washington County, Alabama",32.40%,± 7.2%
"Washington County, Arkansas",27.50%,± 2.5%
"Washington County, Colorado",21.50%,± 8.3%
"Washington County, Florida",12.40%,± 4.4%
"Washington County, Georgia",19.20%,± 6.1%
"Washington County, Idaho",13.80%,± 7.7%
"Washington County, Illinois",19.10%,± 4.9%
"Washington County, Indiana",12.90%,± 3.7%
"Washington County, Iowa",23.20%,± 4.5%
"Washington County, Kansas",22.10%,± 4.2%
"Washington County, Kentucky",20.40%,± 7.3%
"Washington County, Maine",27%,± 3.2%
"Washington County, Maryland",22.50%,± 2.6%
"Washington County, Minnesota",20%,± 1.8%
"Washington County, Mississippi",15.50%,± 4.7%
"Washington County, Missouri",17.50%,± 5.7%
"Washington County, Nebraska",21.80%,± 4.7%
"Washington County, New York",22.90%,± 4.1%
"Washington County, North Carolina",21%,± 12.1%
"Washington County, Ohio",26.90%,± 3.5%
"Washington County, Oklahoma",20.90%,± 3.2%
"Washington County, Oregon",22.80%,± 1.2%
"Washington County, Pennsylvania",22.80%,± 2.1%
"Washington County, Rhode Island",19.40%,± 3%
"Washington County, Tennessee",23%,± 3%
"Washington County, Texas",17.60%,± 7.1%
"Washington County, Utah",22.10%,± 2.5%
"Washington County, Vermont",21.50%,± 2.8%
"Washington County, Virginia",24.30%,± 4.8%
"Washington County, Wisconsin",22.30%,± 2.5%
"Washington Parish, Louisiana",20.80%,± 5.4%
"Washita County, Oklahoma",26.40%,± 5.4%
"Washoe County, Nevada",21.50%,± 1.6%
"Washtenaw County, Michigan",24.70%,± 1.7%
"Watauga County, North Carolina",22%,± 4.3%
"Watonwan County, Minnesota",15.50%,± 7.6%
"Waukesha County, Wisconsin",20.50%,± 1.3%
"Waupaca County, Wisconsin",17.60%,± 3%
"Waushara County, Wisconsin",19.60%,± 3.6%
"Wayne County, Georgia",15.30%,± 5.3%
"Wayne County, Illinois",24.70%,± 3.7%
"Wayne County, Indiana",21.80%,± 3.5%
"Wayne County, Iowa",15.90%,± 5.5%
"Wayne County, Kentucky",20.40%,± 6.4%
"Wayne County, Michigan",20.40%,± 0.8%
"Wayne County, Mississippi",13.90%,± 6.9%
"Wayne County, Missouri",8.30%,± 5.7%
"Wayne County, Nebraska",33.10%,± 10.3%
"Wayne County, New York",19.70%,± 2.3%
"Wayne County, North Carolina",24.10%,± 2.7%
"Wayne County, Ohio",23.90%,± 2.6%
"Wayne County, Pennsylvania",20.30%,± 3.6%
"Wayne County, Tennessee",29%,± 6.2%
"Wayne County, Utah",26.40%,± 14.4%
"Wayne County, West Virginia",23%,± 6.5%
"Waynesboro city, Virginia",30.80%,± 8.9%
"Weakley County, Tennessee",18.50%,± 5.3%
"Webb County, Texas",15.10%,± 1.7%
"Weber County, Utah",22.50%,± 1.8%
"Webster County, Georgia",20.30%,± 17%
"Webster County, Iowa",24.80%,± 4.6%
"Webster County, Kentucky",21.50%,± 6.5%
"Webster County, Mississippi",23.70%,± 9.8%
"Webster County, Missouri",19.90%,± 5.7%
"Webster County, Nebraska",26.10%,± 5.9%
"Webster County, West Virginia",23.20%,± 10.2%
"Webster Parish, Louisiana",16.90%,± 4.9%
"Weld County, Colorado",20%,± 1.7%
"Wells County, Indiana",21.20%,± 4.7%
"Wells County, North Dakota",17.60%,± 6.6%
"West Baton Rouge Parish, Louisiana",19%,± 6%
"West Carroll Parish, Louisiana",9.50%,± 5.9%
"West Feliciana Parish, Louisiana",30.90%,± 15.4%
"Westchester County, New York",21.90%,± 0.9%
"Western Connecticut Planning Region, Connecticut",20.90%,± 1.3%
"Westmoreland County, Pennsylvania",21.30%,± 1.4%
"Westmoreland County, Virginia",13.20%,± 6.6%
"Weston County, Wyoming",17.60%,± 10.2%
"Wetzel County, West Virginia",26.20%,± 9.2%
"Wexford County, Michigan",19.40%,± 3.4%
"Wharton County, Texas",16.80%,± 4.1%
"Whatcom County, Washington",25.70%,± 2.3%
"Wheatland County, Montana",13.50%,± 11.5%
"Wheeler County, Georgia",18.50%,± 11.5%
"Wheeler County, Nebraska",19.50%,± 16.4%
"Wheeler County, Oregon",39.10%,± 20.1%
"Wheeler County, Texas",15.20%,± 10.9%
"White County, Arkansas",19.70%,± 4.4%
"White County, Georgia",23.40%,± 6.5%
"White County, Illinois",14.80%,± 4.9%
"White County, Indiana",19.80%,± 4.6%
"White County, Tennessee",23.90%,± 5.3%
"White Pine County, Nevada",6.20%,± 4.4%
"Whiteside County, Illinois",17.30%,± 3.3%
"Whitfield County, Georgia",18.20%,± 3.7%
"Whitley County, Indiana",21.40%,± 4.6%
"Whitley County, Kentucky",25.70%,± 5.4%
"Whitman County, Washington",29.90%,± 5%
"Wibaux County, Montana",37.70%,± 20.8%
"Wichita County, Kansas",33.60%,± 15.1%
"Wichita County, Texas",24.20%,± 2.7%
"Wicomico County, Maryland",21.10%,± 4.1%
"Wilbarger County, Texas",23.20%,± 9%
"Wilcox County, Alabama",6%,± 3.7%
"Wilcox County, Georgia",20.20%,± 6.6%
"Wilkes County, Georgia",17.20%,± 10.6%
"Wilkes County, North Carolina",21.40%,± 4.5%
"Wilkin County, Minnesota",20.90%,± 6.4%
"Wilkinson County, Georgia",20.80%,± 10.7%
"Wilkinson County, Mississippi",14.10%,± 11.3%
"Will County, Illinois",19.10%,± 1%
"Willacy County, Texas",7.20%,± 4.8%
"Williams County, North Dakota",21.20%,± 6.6%
"Williams County, Ohio",22.40%,± 4.5%
"Williamsburg city, Virginia",10.60%,± 7.7%
"Williamsburg County, South Carolina",14.70%,± 5.1%
"Williamson County, Illinois",22.30%,± 3.7%
"Williamson County, Tennessee",17.10%,± 1.7%
"Williamson County, Texas",21.60%,± 1.2%
"Wilson County, Kansas",16.60%,± 6.1%
"Wilson County, North Carolina",19.70%,± 4.4%
"Wilson County, Tennessee",21.20%,± 2.9%
"Wilson County, Texas",18.30%,± 3.9%
"Winchester city, Virginia",24.30%,± 6.5%
"Windham County, Vermont",25.10%,± 5.9%
"Windsor County, Vermont",22.90%,± 4.1%
"Winkler County, Texas",12.40%,± 7.5%
"Winn Parish, Louisiana",21%,± 10.9%
"Winnebago County, Illinois",19.50%,± 1.8%
"Winnebago County, Iowa",31%,± 7.5%
"Winnebago County, Wisconsin",24.30%,± 2.7%
"Winneshiek County, Iowa",22%,± 5.1%
"Winona County, Minnesota",24.70%,± 4%
"Winston County, Alabama",16.20%,± 5.1%
"Winston County, Mississippi",15.40%,± 7.3%
"Wirt County, West Virginia",12.30%,± 8.7%
"Wise County, Texas",17.80%,± 2.6%
"Wise County, Virginia",30.20%,± 7.2%
"Wolfe County, Kentucky",20%,± 10.9%
"Wood County, Ohio",22.90%,± 2.6%
"Wood County, Texas",19.40%,± 3.9%
"Wood County, West Virginia",22%,± 3.3%
"Wood County, Wisconsin",21.30%,± 3.2%
"Woodbury County, Iowa",22.60%,± 2.8%
"Woodford County, Illinois",24.80%,± 4.1%
"Woodford County, Kentucky",21%,± 5.6%
"Woodruff County, Arkansas",13.60%,± 7.5%
"Woods County, Oklahoma",22.20%,± 8.1%
"Woodson County, Kansas",29.60%,± 9.8%
"Woodward County, Oklahoma",22.50%,± 7.7%
"Worcester County, Maryland",25.70%,± 5.9%
"Worcester County, Massachusetts",21%,± 1.2%
"Worth County, Georgia",16.20%,± 7.7%
"Worth County, Iowa",21.50%,± 6.2%
"Worth County, Missouri",14.80%,± 11%
"Wrangell City and Borough, Alaska",18.10%,± 9.8%
"Wright County, Iowa",22.30%,± 6.1%
"Wright County, Minnesota",22.50%,± 2.7%
"Wright County, Missouri",22.10%,± 7.2%
"Wyandot County, Ohio",19.70%,± 5.2%
"Wyandotte County, Kansas",21.90%,± 2.5%
"Wyoming County, New York",17.50%,± 3.8%
"Wyoming County, Pennsylvania",24.80%,± 3.8%
"Wyoming County, West Virginia",29.50%,± 9.3%
"Wythe County, Virginia",21%,± 5.6%
"Yabucoa Municipio, Puerto Rico",15.70%,± 4.7%
"Yadkin County, North Carolina",22.90%,± 5.4%
"Yakima County, Washington",17%,± 1.6%
"Yakutat City and Borough, Alaska",46.90%,± 26.2%
"Yalobusha County, Mississippi",16.50%,± 8.1%
"Yamhill County, Oregon",22.10%,± 4%
"Yancey County, North Carolina",17.50%,± 5.4%
"Yankton County, South Dakota",16.60%,± 5%
"Yates County, New York",20.10%,± 4.1%
"Yauco Municipio, Puerto Rico",19.40%,± 5.9%
"Yavapai County, Arizona",19.10%,± 2.5%
"Yazoo County, Mississippi",22.90%,± 8.7%
"Yell County, Arkansas",26.80%,± 6.7%
"Yellow Medicine County, Minnesota",20.20%,± 3.6%
"Yellowstone County, Montana",21.70%,± 2.5%
"Yoakum County, Texas",12.30%,± 8.8%
"Yolo County, California",21.30%,± 2.6%
"York County, Maine",23%,± 2.1%
"York County, Nebraska",26.50%,± 7.5%
"York County, Pennsylvania",21.60%,± 1.3%
"York County, South Carolina",19.60%,± 1.9%
"York County, Virginia",20.50%,± 3.7%
"Young County, Texas",28.90%,± 8.4%
"Yuba County, California",25.30%,± 3.6%
"Yukon-Koyukuk Census Area, Alaska",24.70%,± 8.6%
"Yuma County, Arizona",20.90%,± 2.1%
"Yuma County, Colorado",22.90%,± 9%
"Zapata County, Texas",21.40%,± 8.4%
"Zavala County, Texas",46.70%,± 17.6%
"Ziebach County, South Dakota",36.20%,± 12.8%
