Geography,Percent with a disability—Total civilian noninstitutionalized population—Estimate,MoE
"Toa Baja Municipio, Puerto Rico",26.70%,± 1.5%
"Todd County, Kentucky",15.40%,± 2.2%
"Todd County, Minnesota",13.60%,± 1%
"Todd County, South Dakota",7.80%,± 1.7%
"Tom Green County, Texas",14.20%,± 0.9%
"Tompkins County, New York",11.30%,± 0.8%
"Tooele County, Utah",11.10%,± 1.1%
"Toole County, Montana",18.50%,± 4%
"Toombs County, Georgia",17.80%,± 2.3%
"Torrance County, New Mexico",23.10%,± 3%
"Towner County, North Dakota",14.70%,± 4%
"Towns County, Georgia",18.60%,± 2.4%
"Traill County, North Dakota",11.30%,± 1.6%
"Transylvania County, North Carolina",14.90%,± 2%
"Traverse County, Minnesota",14.30%,± 2.2%
"Travis County, Texas",9%,± 0.3%
"Treasure County, Montana",15.30%,± 5.3%
"Trego County, Kansas",14%,± 3.1%
"Trempealeau County, Wisconsin",10.50%,± 0.7%
"Treutlen County, Georgia",22.20%,± 4.3%
"Trigg County, Kentucky",27.50%,± 3.1%
"Trimble County, Kentucky",19.90%,± 3.2%
"Trinity County, California",15.70%,± 3.2%
"Trinity County, Texas",23.20%,± 2.5%
"Tripp County, South Dakota",8.60%,± 2.1%
"Troup County, Georgia",16.90%,± 1.1%
"Trousdale County, Tennessee",12.10%,± 2.5%
"Trujillo Alto Municipio, Puerto Rico",21.30%,± 1.6%
"Trumbull County, Ohio",17.20%,± 0.8%
"Tucker County, West Virginia",22%,± 2.7%
"Tulare County, California",11.80%,± 0.5%
"Tulsa County, Oklahoma",13.60%,± 0.3%
"Tunica County, Mississippi",10.50%,± 1.7%
"Tuolumne County, California",21.30%,± 1.9%
"Turner County, Georgia",19.50%,± 3.2%
"Turner County, South Dakota",10.30%,± 1.3%
"Tuscaloosa County, Alabama",12.50%,± 0.6%
"Tuscarawas County, Ohio",15.10%,± 1.1%
"Tuscola County, Michigan",19.30%,± 0.9%
"Twiggs County, Georgia",21.20%,± 3.1%
"Twin Falls County, Idaho",13.40%,± 0.9%
"Tyler County, Texas",25.20%,± 2.9%
"Tyler County, West Virginia",24%,± 3.4%
"Tyrrell County, North Carolina",19.90%,± 5.6%
"Uinta County, Wyoming",16.60%,± 2.1%
"Uintah County, Utah",12.50%,± 1.6%
"Ulster County, New York",14.50%,± 0.9%
"Umatilla County, Oregon",17.50%,± 1.1%
"Unicoi County, Tennessee",22.20%,± 2.5%
"Union County, Arkansas",16.30%,± 1.3%
"Union County, Florida",17.90%,± 2.7%
"Union County, Georgia",19.20%,± 1.9%
"Union County, Illinois",20.20%,± 2.2%
"Union County, Indiana",14.40%,± 2.9%
"Union County, Iowa",15.40%,± 2%
"Union County, Kentucky",30.90%,± 2.8%
"Union County, Mississippi",19.20%,± 2.2%
"Union County, New Jersey",9%,± 0.3%
"Union County, New Mexico",23.30%,± 4.4%
"Union County, North Carolina",9.20%,± 0.4%
"Union County, Ohio",10.40%,± 1%
"Union County, Oregon",17.10%,± 1.2%
"Union County, Pennsylvania",13.50%,± 1.1%
"Union County, South Carolina",22.10%,± 1.9%
"Union County, South Dakota",11.30%,± 1.6%
"Union County, Tennessee",21.90%,± 2.4%
"Union Parish, Louisiana",15.90%,± 2.2%
"Upshur County, Texas",20%,± 1.6%
"Upshur County, West Virginia",15.30%,± 1.9%
"Upson County, Georgia",16.60%,± 1.5%
"Upton County, Texas",10.20%,± 3.3%
"Utah County, Utah",8.50%,± 0.3%
"Utuado Municipio, Puerto Rico",22.70%,± 1.8%
"Uvalde County, Texas",19.60%,± 2.5%
"Val Verde County, Texas",13.70%,± 1.3%
"Valencia County, New Mexico",21.40%,± 1.6%
"Valley County, Idaho",13.60%,± 3%
"Valley County, Montana",16.30%,± 2.7%
"Valley County, Nebraska",16.70%,± 2.5%
"Van Buren County, Arkansas",26.40%,± 2.2%
"Van Buren County, Iowa",17.80%,± 2%
"Van Buren County, Michigan",13.40%,± 0.8%
"Van Buren County, Tennessee",25.30%,± 3.1%
"Van Wert County, Ohio",14.10%,± 1.2%
"Van Zandt County, Texas",15.30%,± 1.3%
"Vance County, North Carolina",18.30%,± 1.8%
"Vanderburgh County, Indiana",15.40%,± 0.7%
"Vega Alta Municipio, Puerto Rico",26.70%,± 2.3%
"Vega Baja Municipio, Puerto Rico",21.80%,± 1.4%
"Venango County, Pennsylvania",18.80%,± 1.1%
"Ventura County, California",11.30%,± 0.3%
"Vermilion County, Illinois",14.50%,± 0.9%
"Vermilion Parish, Louisiana",17.60%,± 1.4%
"Vermillion County, Indiana",18.60%,± 2.1%
"Vernon County, Missouri",19.80%,± 1.9%
"Vernon County, Wisconsin",10.50%,± 0.8%
"Vernon Parish, Louisiana",20.40%,± 1.3%
"Victoria County, Texas",15.30%,± 0.9%
"Vieques Municipio, Puerto Rico",12.50%,± 4.5%
"Vigo County, Indiana",16.60%,± 1.1%
"Vilas County, Wisconsin",15.80%,± 1.2%
"Villalba Municipio, Puerto Rico",22.50%,± 2.3%
"Vinton County, Ohio",23.20%,± 3%
"Virginia Beach city, Virginia",11.80%,± 0.4%
"Volusia County, Florida",17.30%,± 0.5%
"Wabash County, Illinois",20.60%,± 2.4%
"Wabash County, Indiana",15.20%,± 1.3%
"Wabasha County, Minnesota",12.60%,± 1%
"Wabaunsee County, Kansas",17.60%,± 2.3%
"Wadena County, Minnesota",15.40%,± 1.5%
"Wagoner County, Oklahoma",18.30%,± 0.7%
"Wahkiakum County, Washington",20.50%,± 3.2%
"Wake County, North Carolina",8.80%,± 0.2%
"Wakulla County, Florida",13.20%,± 1.6%
"Waldo County, Maine",17.40%,± 1.3%
"Walker County, Alabama",24.30%,± 1.4%
"Walker County, Georgia",19.60%,± 1.5%
"Walker County, Texas",11.60%,± 1.5%
"Walla Walla County, Washington",15.60%,± 1%
"Wallace County, Kansas",18.20%,± 3.9%
"Waller County, Texas",11.10%,± 1.5%
"Wallowa County, Oregon",16.70%,± 2.5%
"Walsh County, North Dakota",13.50%,± 1.4%
"Walthall County, Mississippi",23.80%,± 3.6%
"Walton County, Florida",16.10%,± 1.4%
"Walton County, Georgia",13.10%,± 1%
"Walworth County, South Dakota",13%,± 3%
"Walworth County, Wisconsin",11.90%,± 0.8%
"Wapello County, Iowa",15.50%,± 1.3%
"Ward County, North Dakota",12.20%,± 1.1%
"Ward County, Texas",12.90%,± 2.2%
"Ware County, Georgia",13.70%,± 1.6%
"Warren County, Georgia",18.20%,± 3.6%
"Warren County, Illinois",13.80%,± 1.6%
"Warren County, Indiana",18%,± 2.4%
"Warren County, Iowa",10.50%,± 1%
"Warren County, Kentucky",13.90%,± 0.7%
"Warren County, Mississippi",19.80%,± 1.6%
"Warren County, Missouri",15.20%,± 1.6%
"Warren County, New Jersey",11.80%,± 0.8%
"Warren County, New York",15.80%,± 1.1%
"Warren County, North Carolina",22%,± 2.3%
"Warren County, Ohio",10.70%,± 0.6%
"Warren County, Pennsylvania",15.90%,± 1%
"Warren County, Tennessee",18.90%,± 1.5%
"Warren County, Virginia",14.40%,± 1.3%
"Warrick County, Indiana",12.10%,± 1%
"Wasatch County, Utah",7.90%,± 1.2%
"Wasco County, Oregon",18.50%,± 1.8%
"Waseca County, Minnesota",11.80%,± 1.3%
"Washakie County, Wyoming",13.50%,± 2.3%
"Washburn County, Wisconsin",16.20%,± 1.2%
"Washington County, Alabama",15.60%,± 2%
"Washington County, Arkansas",11%,± 0.6%
"Washington County, Colorado",11.90%,± 1.9%
"Washington County, Florida",20.40%,± 2.4%
"Washington County, Georgia",17.10%,± 1.8%
"Washington County, Idaho",18.50%,± 2.3%
"Washington County, Illinois",13.80%,± 1.5%
"Washington County, Indiana",16.50%,± 1.5%
"Washington County, Iowa",12.80%,± 1.3%
"Washington County, Kansas",14.20%,± 1.6%
"Washington County, Kentucky",20.70%,± 2.4%
"Washington County, Maine",23.50%,± 1.2%
"Washington County, Maryland",15.30%,± 0.7%
"Washington County, Minnesota",9.40%,± 0.5%
"Washington County, Mississippi",24.60%,± 2%
"Washington County, Missouri",24.20%,± 2.1%
"Washington County, Nebraska",11.90%,± 1.5%
"Washington County, New York",15.30%,± 1.2%
"Washington County, North Carolina",23.60%,± 2.7%
"Washington County, Ohio",16.50%,± 1.2%
"Washington County, Oklahoma",17.50%,± 1.2%
"Washington County, Oregon",10.60%,± 0.3%
"Washington County, Pennsylvania",14.60%,± 0.6%
"Washington County, Rhode Island",10.60%,± 0.7%
"Washington County, Tennessee",16.50%,± 1%
"Washington County, Texas",14.20%,± 1.6%
"Washington County, Utah",12.50%,± 0.8%
"Washington County, Vermont",14%,± 1.1%
"Washington County, Virginia",22.30%,± 1.6%
"Washington County, Wisconsin",9.70%,± 0.5%
"Washington Parish, Louisiana",23.70%,± 2.2%
"Washita County, Oklahoma",20.50%,± 1.9%
"Washoe County, Nevada",12%,± 0.4%
"Washtenaw County, Michigan",10.10%,± 0.3%
"Watauga County, North Carolina",11.10%,± 1%
"Watonwan County, Minnesota",12.10%,± 1.5%
"Waukesha County, Wisconsin",9.60%,± 0.3%
"Waupaca County, Wisconsin",14.20%,± 1%
"Waushara County, Wisconsin",15.90%,± 1.1%
"Wayne County, Georgia",17.30%,± 2.4%
"Wayne County, Illinois",17.90%,± 1.7%
"Wayne County, Indiana",18%,± 1.1%
"Wayne County, Iowa",14%,± 2.2%
"Wayne County, Kentucky",24.30%,± 2.6%
"Wayne County, Michigan",15.40%,± 0.2%
"Wayne County, Mississippi",18.90%,± 3.5%
"Wayne County, Missouri",29%,± 3.3%
"Wayne County, Nebraska",15.50%,± 2.4%
"Wayne County, New York",14.50%,± 1%
"Wayne County, North Carolina",15.60%,± 0.8%
"Wayne County, Ohio",12.50%,± 0.7%
"Wayne County, Pennsylvania",17%,± 1.3%
"Wayne County, Tennessee",19.40%,± 2.2%
"Wayne County, Utah",11.60%,± 2.9%
"Wayne County, West Virginia",23.30%,± 2.2%
"Waynesboro city, Virginia",16.80%,± 2.5%
"Weakley County, Tennessee",19.90%,± 1.5%
"Webb County, Texas",13.10%,± 0.6%
"Weber County, Utah",11.50%,± 0.6%
"Webster County, Georgia",14.60%,± 4.6%
"Webster County, Iowa",14.20%,± 1.4%
"Webster County, Kentucky",29.10%,± 3.1%
"Webster County, Mississippi",20.40%,± 2.5%
"Webster County, Missouri",14.70%,± 1.5%
"Webster County, Nebraska",12.30%,± 1.8%
"Webster County, West Virginia",24.20%,± 2.9%
"Webster Parish, Louisiana",15.70%,± 1.5%
"Weld County, Colorado",11.20%,± 0.4%
"Wells County, Indiana",12.50%,± 1.2%
"Wells County, North Dakota",12.40%,± 2.3%
"West Baton Rouge Parish, Louisiana",13.30%,± 1.6%
"West Carroll Parish, Louisiana",16.80%,± 2.6%
"West Feliciana Parish, Louisiana",13.40%,± 3%
"Westchester County, New York",10.10%,± 0.3%
"Western Connecticut Planning Region, Connecticut",8.90%,± 0.3%
"Westmoreland County, Pennsylvania",15.20%,± 0.5%
"Westmoreland County, Virginia",17.20%,± 2%
"Weston County, Wyoming",13.80%,± 3.1%
"Wetzel County, West Virginia",20.40%,± 2.1%
"Wexford County, Michigan",17.70%,± 1.1%
"Wharton County, Texas",15.10%,± 1.4%
"Whatcom County, Washington",12.90%,± 0.6%
"Wheatland County, Montana",10.60%,± 3.8%
"Wheeler County, Georgia",9.80%,± 4.1%
"Wheeler County, Nebraska",17.40%,± 5.4%
"Wheeler County, Oregon",24.30%,± 5.5%
"Wheeler County, Texas",16.30%,± 2.8%
"White County, Arkansas",18.70%,± 1.2%
"White County, Georgia",16.30%,± 2%
"White County, Illinois",20.30%,± 2%
"White County, Indiana",14.70%,± 1.4%
"White County, Tennessee",16.70%,± 1.6%
"White Pine County, Nevada",14.30%,± 2.9%
"Whiteside County, Illinois",14.40%,± 1.1%
"Whitfield County, Georgia",11.70%,± 0.8%
"Whitley County, Indiana",13.70%,± 1.6%
"Whitley County, Kentucky",21.80%,± 2.3%
"Whitman County, Washington",12.20%,± 0.9%
"Wibaux County, Montana",17.60%,± 5.3%
"Wichita County, Kansas",20.10%,± 7.2%
"Wichita County, Texas",16%,± 0.8%
"Wicomico County, Maryland",12.20%,± 1%
"Wilbarger County, Texas",24.80%,± 2.8%
"Wilcox County, Alabama",21.20%,± 2.6%
"Wilcox County, Georgia",12.90%,± 2.1%
"Wilkes County, Georgia",15.40%,± 2.6%
"Wilkes County, North Carolina",19%,± 1.3%
"Wilkin County, Minnesota",14.20%,± 2%
"Wilkinson County, Georgia",15.40%,± 2.2%
"Wilkinson County, Mississippi",24.30%,± 3.7%
"Will County, Illinois",9.50%,± 0.3%
"Willacy County, Texas",15.10%,± 2%
"Williams County, North Dakota",10.40%,± 1.6%
"Williams County, Ohio",17.50%,± 1.6%
"Williamsburg city, Virginia",9.90%,± 1.9%
"Williamsburg County, South Carolina",20.20%,± 1.7%
"Williamson County, Illinois",18.30%,± 1.1%
"Williamson County, Tennessee",7.30%,± 0.5%
"Williamson County, Texas",10%,± 0.4%
"Wilson County, Kansas",19.50%,± 2.9%
"Wilson County, North Carolina",14.80%,± 1%
"Wilson County, Tennessee",12.80%,± 0.8%
"Wilson County, Texas",12.30%,± 1.1%
"Winchester city, Virginia",14.60%,± 1.8%
"Windham County, Vermont",17%,± 1.4%
"Windsor County, Vermont",15%,± 1.1%
"Winkler County, Texas",9.10%,± 2%
"Winn Parish, Louisiana",19.80%,± 2.5%
"Winnebago County, Illinois",14.40%,± 0.5%
"Winnebago County, Iowa",11.70%,± 1.7%
"Winnebago County, Wisconsin",12.10%,± 0.6%
"Winneshiek County, Iowa",11.60%,± 1.6%
"Winona County, Minnesota",11.10%,± 1%
"Winston County, Alabama",22.50%,± 2.3%
"Winston County, Mississippi",24.20%,± 2.6%
"Wirt County, West Virginia",24.40%,± 5.5%
"Wise County, Texas",15.80%,± 1.1%
"Wise County, Virginia",27.40%,± 1.9%
"Wolfe County, Kentucky",35.60%,± 4.6%
"Wood County, Ohio",11.90%,± 0.8%
"Wood County, Texas",20%,± 1.6%
"Wood County, West Virginia",17.90%,± 1.1%
"Wood County, Wisconsin",14.80%,± 1%
"Woodbury County, Iowa",13.40%,± 0.8%
"Woodford County, Illinois",10.40%,± 1.1%
"Woodford County, Kentucky",13.50%,± 2%
"Woodruff County, Arkansas",18.10%,± 2.5%
"Woods County, Oklahoma",15.90%,± 2.6%
"Woodson County, Kansas",20.20%,± 2.8%
"Woodward County, Oklahoma",18%,± 2%
"Worcester County, Maryland",15.30%,± 1.2%
"Worcester County, Massachusetts",12.60%,± 0.3%
"Worth County, Georgia",17.10%,± 2%
"Worth County, Iowa",14.80%,± 2.1%
"Worth County, Missouri",19.40%,± 2.9%
"Wrangell City and Borough, Alaska",23.10%,± 4.1%
"Wright County, Iowa",12.70%,± 1.8%
"Wright County, Minnesota",9.10%,± 0.7%
"Wright County, Missouri",18.10%,± 2%
"Wyandot County, Ohio",13.80%,± 1.3%
"Wyandotte County, Kansas",13.90%,± 0.6%
"Wyoming County, New York",13.30%,± 1.2%
"Wyoming County, Pennsylvania",14.30%,± 0.9%
"Wyoming County, West Virginia",33.60%,± 3.6%
"Wythe County, Virginia",20.70%,± 1.6%
"Yabucoa Municipio, Puerto Rico",12%,± 1.3%
"Yadkin County, North Carolina",15.60%,± 1.5%
"Yakima County, Washington",13.40%,± 0.6%
"Yakutat City and Borough, Alaska",9.60%,± 3.4%
"Yalobusha County, Mississippi",18.60%,± 2.1%
"Yamhill County, Oregon",16.40%,± 1%
"Yancey County, North Carolina",18.40%,± 1.8%
"Yankton County, South Dakota",13.80%,± 1.6%
"Yates County, New York",11.60%,± 0.9%
"Yauco Municipio, Puerto Rico",30.40%,± 2.1%
"Yavapai County, Arizona",18.10%,± 0.7%
"Yazoo County, Mississippi",24.30%,± 2.6%
"Yell County, Arkansas",18.20%,± 1.9%
"Yellow Medicine County, Minnesota",13.20%,± 1.4%
"Yellowstone County, Montana",13.20%,± 0.7%
"Yoakum County, Texas",9%,± 2.1%
"Yolo County, California",10.40%,± 0.4%
"York County, Maine",15%,± 0.6%
"York County, Nebraska",14.10%,± 1.7%
"York County, Pennsylvania",13.70%,± 0.4%
"York County, South Carolina",10.10%,± 0.6%
"York County, Virginia",11.70%,± 1%
"Young County, Texas",15.40%,± 2.1%
"Yuba County, California",16%,± 1.1%
"Yukon-Koyukuk Census Area, Alaska",17.80%,± 2.3%
"Yuma County, Arizona",12.90%,± 0.6%
"Yuma County, Colorado",8.30%,± 1.7%
"Zapata County, Texas",16.20%,± 2.8%
"Zavala County, Texas",17%,± 3.1%
"Ziebach County, South Dakota",9.30%,± 1.9%
