Geography,Total—Total households—SELECTED HOUSEHOLDS BY TYPE—Households with one or more people under 18 years—Estimate,MoE
"Tipton County, Indiana",33.70%,± 3.1%
"Tipton County, Tennessee",36.20%,± 1.8%
"Tishomingo County, Mississippi",28.80%,± 2.6%
"Titus County, Texas",38%,± 2.8%
"Toa Alta Municipio, Puerto Rico",31.70%,± 2.1%
"Toa Baja Municipio, Puerto Rico",26.80%,± 1.7%
"Todd County, Kentucky",34%,± 3.5%
"Todd County, Minnesota",27.10%,± 1.4%
"Todd County, South Dakota",54.30%,± 6%
"Tom Green County, Texas",32.10%,± 1.5%
"Tompkins County, New York",20.40%,± 1.1%
"Tooele County, Utah",49.30%,± 2.3%
"Toole County, Montana",24%,± 4.5%
"Toombs County, Georgia",33.80%,± 3.2%
"Torrance County, New Mexico",29.90%,± 4.8%
"Towner County, North Dakota",22.50%,± 5.9%
"Towns County, Georgia",16.10%,± 2.5%
"Traill County, North Dakota",26.40%,± 2.3%
"Transylvania County, North Carolina",20%,± 2.1%
"Traverse County, Minnesota",26.10%,± 3.5%
"Travis County, Texas",28.50%,± 0.5%
"Treasure County, Montana",21.60%,± 8.4%
"Trego County, Kansas",24.80%,± 4.4%
"Trempealeau County, Wisconsin",27.90%,± 1.3%
"Treutlen County, Georgia",26.80%,± 5.5%
"Trigg County, Kentucky",27.90%,± 3.8%
"Trimble County, Kentucky",29.10%,± 5.5%
"Trinity County, California",15.30%,± 3.7%
"Trinity County, Texas",22.90%,± 2.9%
"Tripp County, South Dakota",25.50%,± 4.4%
"Troup County, Georgia",34.30%,± 2.1%
"Trousdale County, Tennessee",33.40%,± 5.9%
"Trujillo Alto Municipio, Puerto Rico",25.80%,± 2.3%
"Trumbull County, Ohio",24.60%,± 1%
"Tucker County, West Virginia",20.10%,± 3.3%
"Tulare County, California",45.90%,± 1.1%
"Tulsa County, Oklahoma",31.20%,± 0.5%
"Tunica County, Mississippi",29.20%,± 5.7%
"Tuolumne County, California",21.50%,± 1.8%
"Turner County, Georgia",26.80%,± 5.2%
"Turner County, South Dakota",33.90%,± 2.5%
"Tuscaloosa County, Alabama",30.60%,± 1.2%
"Tuscarawas County, Ohio",27.50%,± 1.4%
"Tuscola County, Michigan",26%,± 1.1%
"Twiggs County, Georgia",22.30%,± 3.7%
"Twin Falls County, Idaho",34.90%,± 1.8%
"Tyler County, Texas",27.30%,± 3.6%
"Tyler County, West Virginia",21.20%,± 3%
"Tyrrell County, North Carolina",27.70%,± 9.3%
"Uinta County, Wyoming",32.30%,± 3.6%
"Uintah County, Utah",43%,± 3%
"Ulster County, New York",23.60%,± 1.1%
"Umatilla County, Oregon",37.10%,± 1.9%
"Unicoi County, Tennessee",26.80%,± 2.9%
"Union County, Arkansas",26.30%,± 2.2%
"Union County, Florida",39.70%,± 4.9%
"Union County, Georgia",19.50%,± 2%
"Union County, Illinois",28.90%,± 2.3%
"Union County, Indiana",26.10%,± 4.1%
"Union County, Iowa",27.20%,± 2.5%
"Union County, Kentucky",29.10%,± 3.3%
"Union County, Mississippi",33.50%,± 3.6%
"Union County, New Jersey",36.70%,± 0.7%
"Union County, New Mexico",29%,± 4.3%
"Union County, North Carolina",42.10%,± 1.2%
"Union County, Ohio",39.50%,± 2%
"Union County, Oregon",26.70%,± 1.9%
"Union County, Pennsylvania",26.50%,± 1.7%
"Union County, South Carolina",27.70%,± 2.6%
"Union County, South Dakota",28.40%,± 2.6%
"Union County, Tennessee",33.10%,± 2.8%
"Union Parish, Louisiana",26%,± 3.9%
"Upshur County, Texas",30.70%,± 2.5%
"Upshur County, West Virginia",28.20%,± 2.4%
"Upson County, Georgia",27.70%,± 3.7%
"Upton County, Texas",31.80%,± 7.7%
"Utah County, Utah",46.90%,± 0.7%
"Utuado Municipio, Puerto Rico",24.70%,± 2.5%
"Uvalde County, Texas",42.20%,± 4.7%
"Val Verde County, Texas",41.70%,± 3%
"Valencia County, New Mexico",29%,± 2.1%
"Valley County, Idaho",17.10%,± 5.5%
"Valley County, Montana",24.80%,± 3.4%
"Valley County, Nebraska",26.90%,± 2.9%
"Van Buren County, Arkansas",26.90%,± 2.9%
"Van Buren County, Iowa",26.90%,± 2.8%
"Van Buren County, Michigan",30.80%,± 1.2%
"Van Buren County, Tennessee",27.10%,± 5.8%
"Van Wert County, Ohio",31%,± 1.6%
"Van Zandt County, Texas",31.50%,± 2%
"Vance County, North Carolina",32.90%,± 2.6%
"Vanderburgh County, Indiana",27.50%,± 1.1%
"Vega Alta Municipio, Puerto Rico",30.90%,± 3%
"Vega Baja Municipio, Puerto Rico",26.10%,± 1.9%
"Venango County, Pennsylvania",25.80%,± 1.3%
"Ventura County, California",33.10%,± 0.6%
"Vermilion County, Illinois",28.90%,± 1.4%
"Vermilion Parish, Louisiana",37.70%,± 2.1%
"Vermillion County, Indiana",32.80%,± 3.1%
"Vernon County, Missouri",25.40%,± 2.8%
"Vernon County, Wisconsin",26.80%,± 1.3%
"Vernon Parish, Louisiana",36.20%,± 1.7%
"Victoria County, Texas",32.40%,± 1.5%
"Vieques Municipio, Puerto Rico",19.90%,± 7.2%
"Vigo County, Indiana",27.10%,± 1.3%
"Vilas County, Wisconsin",18.10%,± 1.6%
"Villalba Municipio, Puerto Rico",32.10%,± 3.4%
"Vinton County, Ohio",29.80%,± 3.4%
"Virginia Beach city, Virginia",32.50%,± 0.8%
"Volusia County, Florida",22.90%,± 0.7%
"Wabash County, Illinois",27%,± 2.5%
"Wabash County, Indiana",27.10%,± 2.8%
"Wabasha County, Minnesota",27.40%,± 1.2%
"Wabaunsee County, Kansas",30.30%,± 2.8%
"Wadena County, Minnesota",29.60%,± 2.6%
"Wagoner County, Oklahoma",34.90%,± 1%
"Wahkiakum County, Washington",24.80%,± 4.8%
"Wake County, North Carolina",33.60%,± 0.6%
"Wakulla County, Florida",33.20%,± 4.3%
"Waldo County, Maine",23.70%,± 1.7%
"Walker County, Alabama",28.50%,± 1.8%
"Walker County, Georgia",29.70%,± 2.1%
"Walker County, Texas",25.50%,± 2.3%
"Walla Walla County, Washington",29%,± 2%
"Wallace County, Kansas",24.40%,± 6.8%
"Waller County, Texas",34.40%,± 2.8%
"Wallowa County, Oregon",23.50%,± 3%
"Walsh County, North Dakota",23.30%,± 2.4%
"Walthall County, Mississippi",25%,± 4.1%
"Walton County, Florida",30.50%,± 2%
"Walton County, Georgia",36.70%,± 1.8%
"Walworth County, South Dakota",25.40%,± 4.6%
"Walworth County, Wisconsin",25.80%,± 1.1%
"Wapello County, Iowa",32.90%,± 2%
"Ward County, North Dakota",27.90%,± 1.9%
"Ward County, Texas",42.30%,± 5.3%
"Ware County, Georgia",29.80%,± 2.5%
"Warren County, Georgia",22.80%,± 5.3%
"Warren County, Illinois",27.60%,± 2.2%
"Warren County, Indiana",31.40%,± 3.9%
"Warren County, Iowa",35%,± 1.4%
"Warren County, Kentucky",31.90%,± 1.4%
"Warren County, Mississippi",24.90%,± 2.6%
"Warren County, Missouri",29.40%,± 2.6%
"Warren County, New Jersey",28%,± 1.2%
"Warren County, New York",22.10%,± 1.4%
"Warren County, North Carolina",23.10%,± 2.5%
"Warren County, Ohio",35.60%,± 1.1%
"Warren County, Pennsylvania",23.10%,± 1.5%
"Warren County, Tennessee",32.60%,± 1.7%
"Warren County, Virginia",31.60%,± 2.7%
"Warrick County, Indiana",31.10%,± 1.7%
"Wasatch County, Utah",40.40%,± 2.6%
"Wasco County, Oregon",25.90%,± 2.6%
"Waseca County, Minnesota",33%,± 2.4%
"Washakie County, Wyoming",26.90%,± 3.9%
"Washburn County, Wisconsin",20.90%,± 1.3%
"Washington County, Alabama",28.70%,± 3.5%
"Washington County, Arkansas",32.50%,± 1.2%
"Washington County, Colorado",26.70%,± 3%
"Washington County, Florida",31.60%,± 2.7%
"Washington County, Georgia",33.20%,± 3.6%
"Washington County, Idaho",30.20%,± 3.9%
"Washington County, Illinois",31.10%,± 2.7%
"Washington County, Indiana",31.50%,± 2.2%
"Washington County, Iowa",32.10%,± 2%
"Washington County, Kansas",24.50%,± 2%
"Washington County, Kentucky",29.90%,± 3.3%
"Washington County, Maine",24.30%,± 1.2%
"Washington County, Maryland",31.50%,± 1.2%
"Washington County, Minnesota",33.80%,± 0.8%
"Washington County, Mississippi",28.10%,± 2.4%
"Washington County, Missouri",31.90%,± 3.3%
"Washington County, Nebraska",33.20%,± 2.7%
"Washington County, New York",25.20%,± 1.6%
"Washington County, North Carolina",23.20%,± 4.5%
"Washington County, Ohio",26.80%,± 1.7%
"Washington County, Oklahoma",31.60%,± 1.4%
"Washington County, Oregon",32.10%,± 0.7%
"Washington County, Pennsylvania",24.70%,± 0.8%
"Washington County, Rhode Island",24.20%,± 1.1%
"Washington County, Tennessee",24.80%,± 1.3%
"Washington County, Texas",23.30%,± 2.6%
"Washington County, Utah",32.80%,± 1.3%
"Washington County, Vermont",24.80%,± 1.4%
"Washington County, Virginia",23.30%,± 1.3%
"Washington County, Wisconsin",29.10%,± 1.1%
"Washington Parish, Louisiana",34.20%,± 2.9%
"Washita County, Oklahoma",31.40%,± 3.2%
"Washoe County, Nevada",28.50%,± 0.6%
"Washtenaw County, Michigan",24.70%,± 0.6%
"Watauga County, North Carolina",17.50%,± 1.6%
"Watonwan County, Minnesota",27.20%,± 2.4%
"Waukesha County, Wisconsin",28.20%,± 0.6%
"Waupaca County, Wisconsin",25.30%,± 1.4%
"Waushara County, Wisconsin",22.70%,± 1.1%
"Wayne County, Georgia",34%,± 3.4%
"Wayne County, Illinois",30.90%,± 2.2%
"Wayne County, Indiana",30%,± 1.7%
"Wayne County, Iowa",28.40%,± 2.6%
"Wayne County, Kentucky",32.80%,± 3.9%
"Wayne County, Michigan",28.80%,± 0.3%
"Wayne County, Mississippi",31.30%,± 4.2%
"Wayne County, Missouri",24%,± 3.1%
"Wayne County, Nebraska",23.50%,± 2.9%
"Wayne County, New York",27.30%,± 1.1%
"Wayne County, North Carolina",31%,± 1.8%
"Wayne County, Ohio",29.20%,± 1.2%
"Wayne County, Pennsylvania",22.90%,± 1.6%
"Wayne County, Tennessee",33.20%,± 3.4%
"Wayne County, Utah",36.50%,± 5.4%
"Wayne County, West Virginia",27.30%,± 2.3%
"Waynesboro city, Virginia",30%,± 2.9%
"Weakley County, Tennessee",26.50%,± 2.2%
"Webb County, Texas",50.40%,± 1.4%
"Weber County, Utah",39.30%,± 0.9%
"Webster County, Georgia",20.80%,± 7.9%
"Webster County, Iowa",24.80%,± 1.9%
"Webster County, Kentucky",29.60%,± 3.6%
"Webster County, Mississippi",30.90%,± 3.9%
"Webster County, Missouri",31.90%,± 2%
"Webster County, Nebraska",29.30%,± 2.9%
"Webster County, West Virginia",23.90%,± 4.7%
"Webster Parish, Louisiana",29.10%,± 2.8%
"Weld County, Colorado",38%,± 0.9%
"Wells County, Indiana",30.80%,± 2.1%
"Wells County, North Dakota",21.60%,± 2.7%
"West Baton Rouge Parish, Louisiana",30.40%,± 3.4%
"West Carroll Parish, Louisiana",27.70%,± 3.5%
"West Feliciana Parish, Louisiana",32.20%,± 6.5%
"Westchester County, New York",32.90%,± 0.6%
"Western Connecticut Planning Region, Connecticut",32.80%,± 0.6%
"Westmoreland County, Pennsylvania",24%,± 0.5%
"Westmoreland County, Virginia",26.30%,± 3.8%
"Weston County, Wyoming",24%,± 4.3%
"Wetzel County, West Virginia",23.70%,± 3.3%
"Wexford County, Michigan",28.80%,± 1.6%
"Wharton County, Texas",33.20%,± 2.8%
"Whatcom County, Washington",27%,± 0.9%
"Wheatland County, Montana",32.30%,± 7.3%
"Wheeler County, Georgia",23.70%,± 6.7%
"Wheeler County, Nebraska",12.10%,± 4.8%
"Wheeler County, Oregon",22.30%,± 6.8%
"Wheeler County, Texas",39.60%,± 5.2%
"White County, Arkansas",34.60%,± 2.3%
"White County, Georgia",26.20%,± 2.4%
"White County, Illinois",25.60%,± 2.2%
"White County, Indiana",28.50%,± 2.2%
"White County, Tennessee",27.70%,± 2%
"White Pine County, Nevada",30.40%,± 5.1%
"Whiteside County, Illinois",28%,± 1.4%
"Whitfield County, Georgia",36.20%,± 1.9%
"Whitley County, Indiana",29.60%,± 1.7%
"Whitley County, Kentucky",35.20%,± 2.3%
"Whitman County, Washington",21.50%,± 1.6%
"Wibaux County, Montana",27%,± 7%
"Wichita County, Kansas",28.60%,± 7.1%
"Wichita County, Texas",28.80%,± 1.3%
"Wicomico County, Maryland",30.20%,± 1.4%
"Wilbarger County, Texas",27.50%,± 4.4%
"Wilcox County, Alabama",23.30%,± 4%
"Wilcox County, Georgia",29.70%,± 3.9%
"Wilkes County, Georgia",22.10%,± 4%
"Wilkes County, North Carolina",27.20%,± 1.6%
"Wilkin County, Minnesota",28.50%,± 3.5%
"Wilkinson County, Georgia",23.40%,± 2.6%
"Wilkinson County, Mississippi",26.70%,± 5.1%
"Will County, Illinois",37.10%,± 0.6%
"Willacy County, Texas",40.90%,± 4%
"Williams County, North Dakota",32.60%,± 3.9%
"Williams County, Ohio",29.20%,± 2%
"Williamsburg city, Virginia",16%,± 3.2%
"Williamsburg County, South Carolina",25.80%,± 2.4%
"Williamson County, Illinois",27.10%,± 1.4%
"Williamson County, Tennessee",39.80%,± 1.1%
"Williamson County, Texas",38.10%,± 0.8%
"Wilson County, Kansas",31%,± 2.8%
"Wilson County, North Carolina",29.30%,± 1.6%
"Wilson County, Tennessee",36.60%,± 1.5%
"Wilson County, Texas",39.10%,± 2.2%
"Winchester city, Virginia",27.70%,± 3%
"Windham County, Vermont",21%,± 1.6%
"Windsor County, Vermont",21.90%,± 1.2%
"Winkler County, Texas",41%,± 6.7%
"Winn Parish, Louisiana",25.50%,± 3.3%
"Winnebago County, Illinois",28.90%,± 0.7%
"Winnebago County, Iowa",25.80%,± 2.4%
"Winnebago County, Wisconsin",25.90%,± 0.8%
"Winneshiek County, Iowa",25.10%,± 1.8%
"Winona County, Minnesota",20.80%,± 1.2%
"Winston County, Alabama",25.70%,± 2.4%
"Winston County, Mississippi",25.80%,± 2.6%
"Wirt County, West Virginia",26.30%,± 4.4%
"Wise County, Texas",39%,± 2.1%
"Wise County, Virginia",29.30%,± 2.4%
"Wolfe County, Kentucky",23.70%,± 5.9%
"Wood County, Ohio",27%,± 1%
"Wood County, Texas",24.50%,± 1.6%
"Wood County, West Virginia",24.80%,± 1.6%
"Wood County, Wisconsin",24.70%,± 1.2%
"Woodbury County, Iowa",33.20%,± 1.4%
"Woodford County, Illinois",29.90%,± 1.7%
"Woodford County, Kentucky",31.70%,± 2.5%
"Woodruff County, Arkansas",26.30%,± 3.5%
"Woods County, Oklahoma",25.20%,± 3.7%
"Woodson County, Kansas",23.70%,± 3.1%
"Woodward County, Oklahoma",32.30%,± 3.2%
"Worcester County, Maryland",21.80%,± 2.1%
"Worcester County, Massachusetts",30.60%,± 0.6%
"Worth County, Georgia",32.30%,± 3.4%
"Worth County, Iowa",29.10%,± 2.2%
"Worth County, Missouri",23.90%,± 4.1%
"Wrangell City and Borough, Alaska",20.40%,± 5%
"Wright County, Iowa",30.10%,± 2.9%
"Wright County, Minnesota",38.60%,± 1.4%
"Wright County, Missouri",31.50%,± 2.9%
"Wyandot County, Ohio",29.30%,± 2.6%
"Wyandotte County, Kansas",33.50%,± 1.2%
"Wyoming County, New York",25.60%,± 1.5%
"Wyoming County, Pennsylvania",24.70%,± 1.4%
"Wyoming County, West Virginia",27.20%,± 3.9%
"Wythe County, Virginia",25.90%,± 2.3%
"Yabucoa Municipio, Puerto Rico",27.10%,± 2.7%
"Yadkin County, North Carolina",28.60%,± 2.7%
"Yakima County, Washington",39.50%,± 1.1%
"Yakutat City and Borough, Alaska",29%,± 13.8%
"Yalobusha County, Mississippi",24.30%,± 3.3%
"Yamhill County, Oregon",31.40%,± 1.5%
"Yancey County, North Carolina",23.30%,± 2.3%
"Yankton County, South Dakota",26.30%,± 2.2%
"Yates County, New York",25.20%,± 2%
"Yauco Municipio, Puerto Rico",20.30%,± 2%
"Yavapai County, Arizona",18.40%,± 0.9%
"Yazoo County, Mississippi",35.20%,± 4.1%
"Yell County, Arkansas",34.10%,± 3.5%
"Yellow Medicine County, Minnesota",29.30%,± 1.9%
"Yellowstone County, Montana",29.80%,± 1.2%
"Yoakum County, Texas",52.20%,± 6.3%
"Yolo County, California",31.30%,± 0.9%
"York County, Maine",24.90%,± 0.9%
"York County, Nebraska",27.40%,± 2.7%
"York County, Pennsylvania",30.80%,± 0.6%
"York County, South Carolina",34.40%,± 1.1%
"York County, Virginia",35.90%,± 1.7%
"Young County, Texas",30.30%,± 3.2%
"Yuba County, California",40.60%,± 2%
"Yukon-Koyukuk Census Area, Alaska",30.90%,± 4.5%
"Yuma County, Arizona",36.50%,± 1.1%
"Yuma County, Colorado",35.50%,± 4%
"Zapata County, Texas",43.90%,± 5.4%
"Zavala County, Texas",41.30%,± 8.5%
"Ziebach County, South Dakota",46%,± 5.4%
