Geography,Percent below poverty level—Population for whom poverty status is determined—Estimate,MoE
"Toa Alta Municipio, Puerto Rico",32.30%,± 2.6%
"Toa Baja Municipio, Puerto Rico",35.40%,± 2.2%
"Todd County, Kentucky",21.10%,± 5%
"Todd County, Minnesota",12%,± 1.5%
"Todd County, South Dakota",52.20%,± 4.7%
"Tom Green County, Texas",11.70%,± 1.5%
"Tompkins County, New York",16%,± 1%
"Tooele County, Utah",4.50%,± 1%
"Toole County, Montana",10.60%,± 4.5%
"Toombs County, Georgia",21.70%,± 3.6%
"Torrance County, New Mexico",21.30%,± 3.9%
"Towner County, North Dakota",13.70%,± 4.6%
"Towns County, Georgia",15.30%,± 3.5%
"Traill County, North Dakota",6.60%,± 1.3%
"Transylvania County, North Carolina",13.40%,± 2.3%
"Traverse County, Minnesota",8.40%,± 2.2%
"Travis County, Texas",11.30%,± 0.5%
"Treasure County, Montana",9.90%,± 4.2%
"Trego County, Kansas",7.30%,± 3.6%
"Trempealeau County, Wisconsin",7.40%,± 0.8%
"Treutlen County, Georgia",28.10%,± 7%
"Trigg County, Kentucky",18.20%,± 3.9%
"Trimble County, Kentucky",13.70%,± 3.6%
"Trinity County, California",22%,± 5.3%
"Trinity County, Texas",14.20%,± 3.3%
"Tripp County, South Dakota",21.90%,± 4.1%
"Troup County, Georgia",19.20%,± 2.3%
"Trousdale County, Tennessee",11.50%,± 4%
"Trujillo Alto Municipio, Puerto Rico",29.20%,± 2.7%
"Trumbull County, Ohio",17.10%,± 1.1%
"Tucker County, West Virginia",9.80%,± 2%
"Tulare County, California",18.50%,± 1%
"Tulsa County, Oklahoma",14.40%,± 0.5%
"Tunica County, Mississippi",31.40%,± 7.1%
"Tuolumne County, California",11.40%,± 1.7%
"Turner County, Georgia",22.40%,± 5.7%
"Turner County, South Dakota",9.20%,± 2.2%
"Tuscaloosa County, Alabama",16.70%,± 1.2%
"Tuscarawas County, Ohio",12.50%,± 1.4%
"Tuscola County, Michigan",12.30%,± 1.1%
"Twiggs County, Georgia",15.70%,± 4.3%
"Twin Falls County, Idaho",12.50%,± 2%
"Tyler County, Texas",18%,± 2.9%
"Tyler County, West Virginia",12%,± 2.8%
"Tyrrell County, North Carolina",16%,± 6.8%
"Uinta County, Wyoming",6.50%,± 2%
"Uintah County, Utah",11.60%,± 2%
"Ulster County, New York",14.70%,± 0.9%
"Umatilla County, Oregon",11.70%,± 1.7%
"Unicoi County, Tennessee",16.70%,± 4.1%
"Union County, Arkansas",18.60%,± 2%
"Union County, Florida",15.90%,± 4.8%
"Union County, Georgia",11.70%,± 3%
"Union County, Illinois",20.10%,± 3.1%
"Union County, Indiana",6%,± 2.3%
"Union County, Iowa",11.90%,± 2.9%
"Union County, Kentucky",18.80%,± 2.9%
"Union County, Mississippi",12.30%,± 2%
"Union County, New Jersey",8.90%,± 0.5%
"Union County, New Mexico",17.80%,± 7%
"Union County, North Carolina",6.80%,± 0.8%
"Union County, Ohio",5.20%,± 1.2%
"Union County, Oregon",15.20%,± 2%
"Union County, Pennsylvania",10.80%,± 2%
"Union County, South Carolina",21%,± 2.6%
"Union County, South Dakota",8.20%,± 2.1%
"Union County, Tennessee",15.90%,± 3.1%
"Union Parish, Louisiana",26.80%,± 3.3%
"Upshur County, Texas",14.60%,± 2%
"Upshur County, West Virginia",17.80%,± 2.8%
"Upson County, Georgia",22.40%,± 3.3%
"Upton County, Texas",20.30%,± 7.8%
"Utah County, Utah",8.90%,± 0.4%
"Utuado Municipio, Puerto Rico",53.70%,± 4.1%
"Uvalde County, Texas",24.10%,± 4.6%
"Val Verde County, Texas",16.20%,± 2.5%
"Valencia County, New Mexico",17.80%,± 2.3%
"Valley County, Idaho",14%,± 4.8%
"Valley County, Montana",12.30%,± 3.2%
"Valley County, Nebraska",8.80%,± 2.6%
"Van Buren County, Arkansas",18.90%,± 3.1%
"Van Buren County, Iowa",11.10%,± 2.5%
"Van Buren County, Michigan",14.20%,± 1.4%
"Van Buren County, Tennessee",17%,± 4.5%
"Van Wert County, Ohio",8.40%,± 1.4%
"Van Zandt County, Texas",13.10%,± 1.9%
"Vance County, North Carolina",18.70%,± 3%
"Vanderburgh County, Indiana",14.30%,± 1.1%
"Vega Alta Municipio, Puerto Rico",42.30%,± 3.3%
"Vega Baja Municipio, Puerto Rico",43.20%,± 2.6%
"Venango County, Pennsylvania",13.40%,± 1.2%
"Ventura County, California",9%,± 0.5%
"Vermilion County, Illinois",17.50%,± 1.6%
"Vermilion Parish, Louisiana",19.30%,± 2.6%
"Vermillion County, Indiana",14.90%,± 2.9%
"Vernon County, Missouri",18.10%,± 3.3%
"Vernon County, Wisconsin",14.60%,± 1.6%
"Vernon Parish, Louisiana",18%,± 2%
"Victoria County, Texas",16.60%,± 2%
"Vieques Municipio, Puerto Rico",54.10%,± 8.9%
"Vigo County, Indiana",20%,± 1.4%
"Vilas County, Wisconsin",9.80%,± 1.2%
"Villalba Municipio, Puerto Rico",42.70%,± 4.5%
"Vinton County, Ohio",19.10%,± 4.8%
"Virginia Beach city, Virginia",8%,± 0.5%
"Volusia County, Florida",12.20%,± 0.7%
"Wabash County, Illinois",13.30%,± 2.7%
"Wabash County, Indiana",11%,± 2.1%
"Wabasha County, Minnesota",7.60%,± 1%
"Wabaunsee County, Kansas",5.90%,± 1.6%
"Wadena County, Minnesota",11.90%,± 2.3%
"Wagoner County, Oklahoma",9.20%,± 0.8%
"Wahkiakum County, Washington",13.70%,± 4.7%
"Wake County, North Carolina",8.20%,± 0.4%
"Wakulla County, Florida",6.10%,± 1.8%
"Waldo County, Maine",12.90%,± 1.6%
"Walker County, Alabama",16.40%,± 1.9%
"Walker County, Georgia",13.70%,± 2%
"Walker County, Texas",19.50%,± 2.3%
"Walla Walla County, Washington",11.10%,± 1.2%
"Wallace County, Kansas",15.60%,± 6.1%
"Waller County, Texas",13%,± 2.1%
"Wallowa County, Oregon",9.20%,± 2.5%
"Walsh County, North Dakota",9.70%,± 1.8%
"Walthall County, Mississippi",20.30%,± 4.5%
"Walton County, Florida",10.50%,± 1.6%
"Walton County, Georgia",13.10%,± 1.6%
"Walworth County, South Dakota",13.20%,± 4.4%
"Walworth County, Wisconsin",9.60%,± 0.9%
"Wapello County, Iowa",17.40%,± 2.5%
"Ward County, North Dakota",9%,± 1.1%
"Ward County, Texas",13.60%,± 3.9%
"Ware County, Georgia",23.70%,± 2.5%
"Warren County, Georgia",22.90%,± 5.2%
"Warren County, Illinois",14.90%,± 3.6%
"Warren County, Indiana",12.50%,± 3.4%
"Warren County, Iowa",6.20%,± 1.1%
"Warren County, Kentucky",17.20%,± 1.4%
"Warren County, Mississippi",18.10%,± 2.5%
"Warren County, Missouri",10.20%,± 2.3%
"Warren County, New Jersey",7.70%,± 1%
"Warren County, New York",8.60%,± 1%
"Warren County, North Carolina",21.20%,± 3.2%
"Warren County, Ohio",5.10%,± 0.6%
"Warren County, Pennsylvania",11.60%,± 1.3%
"Warren County, Tennessee",16.80%,± 2.4%
"Warren County, Virginia",12%,± 2.1%
"Warrick County, Indiana",6.10%,± 1.2%
"Wasatch County, Utah",5.40%,± 1.3%
"Wasco County, Oregon",11.70%,± 2%
"Waseca County, Minnesota",6.60%,± 1.5%
"Washakie County, Wyoming",6.70%,± 2.4%
"Washburn County, Wisconsin",12.40%,± 1.4%
"Washington County, Alabama",15.80%,± 3.1%
"Washington County, Arkansas",15.20%,± 0.9%
"Washington County, Colorado",9.70%,± 2.1%
"Washington County, Florida",22.70%,± 4%
"Washington County, Georgia",16.80%,± 3.1%
"Washington County, Idaho",18.10%,± 3.5%
"Washington County, Illinois",8%,± 1.8%
"Washington County, Indiana",13.10%,± 2.6%
"Washington County, Iowa",7.50%,± 1.5%
"Washington County, Kansas",9.90%,± 3.1%
"Washington County, Kentucky",14.10%,± 2.7%
"Washington County, Maine",17.50%,± 1.3%
"Washington County, Maryland",12.30%,± 1%
"Washington County, Minnesota",4.70%,± 0.5%
"Washington County, Mississippi",29.30%,± 2.6%
"Washington County, Missouri",18.60%,± 3.4%
"Washington County, Nebraska",8%,± 1.8%
"Washington County, New York",11.40%,± 1.6%
"Washington County, North Carolina",21.60%,± 4.6%
"Washington County, Ohio",14.10%,± 1.7%
"Washington County, Oklahoma",13.90%,± 1.6%
"Washington County, Oregon",8.20%,± 0.5%
"Washington County, Pennsylvania",9.50%,± 0.7%
"Washington County, Rhode Island",7.90%,± 1%
"Washington County, Tennessee",15.70%,± 1.2%
"Washington County, Texas",11.90%,± 2.5%
"Washington County, Utah",8.80%,± 1%
"Washington County, Vermont",9.90%,± 1.3%
"Washington County, Virginia",12%,± 1.5%
"Washington County, Wisconsin",4.70%,± 0.5%
"Washington Parish, Louisiana",23.50%,± 3%
"Washita County, Oklahoma",12.50%,± 2%
"Washoe County, Nevada",10.90%,± 0.7%
"Washtenaw County, Michigan",13.80%,± 0.7%
"Watauga County, North Carolina",24.90%,± 1.5%
"Watonwan County, Minnesota",13.30%,± 3.1%
"Waukesha County, Wisconsin",4.90%,± 0.4%
"Waupaca County, Wisconsin",8.80%,± 0.9%
"Waushara County, Wisconsin",11.50%,± 1.2%
"Wayne County, Georgia",18.20%,± 2.8%
"Wayne County, Illinois",13.90%,± 2.8%
"Wayne County, Indiana",16%,± 1.4%
"Wayne County, Iowa",13.30%,± 3.1%
"Wayne County, Kentucky",25.40%,± 3.1%
"Wayne County, Michigan",20.20%,± 0.4%
"Wayne County, Mississippi",22.10%,± 5.1%
"Wayne County, Missouri",25.10%,± 6.1%
"Wayne County, Nebraska",16.60%,± 3%
"Wayne County, New York",11%,± 1.2%
"Wayne County, North Carolina",17.90%,± 1.3%
"Wayne County, Ohio",8.80%,± 1%
"Wayne County, Pennsylvania",11%,± 1.6%
"Wayne County, Tennessee",19.60%,± 3.3%
"Wayne County, Utah",8.50%,± 4.2%
"Wayne County, West Virginia",16.70%,± 2.8%
"Waynesboro city, Virginia",16.10%,± 2.8%
"Weakley County, Tennessee",18.90%,± 2.2%
"Webb County, Texas",21.40%,± 1.4%
"Weber County, Utah",7.60%,± 0.7%
"Webster County, Georgia",27.90%,± 11%
"Webster County, Iowa",12.20%,± 1.8%
"Webster County, Kentucky",16.10%,± 3.1%
"Webster County, Mississippi",15.80%,± 3.8%
"Webster County, Missouri",15.70%,± 2.6%
"Webster County, Nebraska",7.90%,± 2.1%
"Webster County, West Virginia",17.80%,± 3.7%
"Webster Parish, Louisiana",27.60%,± 2.5%
"Weld County, Colorado",9.70%,± 0.7%
"Wells County, Indiana",6.40%,± 1.4%
"Wells County, North Dakota",10.80%,± 3.3%
"West Baton Rouge Parish, Louisiana",14.70%,± 3.3%
"West Carroll Parish, Louisiana",19.20%,± 4.8%
"West Feliciana Parish, Louisiana",14.20%,± 5.3%
"Westchester County, New York",8.50%,± 0.4%
"Western Connecticut Planning Region, Connecticut",7.40%,± 0.5%
"Westmoreland County, Pennsylvania",9.70%,± 0.5%
"Westmoreland County, Virginia",16%,± 2.9%
"Weston County, Wyoming",12.90%,± 4.1%
"Wetzel County, West Virginia",17%,± 3.4%
"Wexford County, Michigan",13.30%,± 1.6%
"Wharton County, Texas",14.60%,± 2.5%
"Whatcom County, Washington",12.90%,± 0.9%
"Wheatland County, Montana",22.70%,± 10%
"Wheeler County, Georgia",26.70%,± 8.7%
"Wheeler County, Nebraska",10.20%,± 4.9%
"Wheeler County, Oregon",9.90%,± 3.9%
"Wheeler County, Texas",18.30%,± 6%
"White County, Arkansas",16.10%,± 1.7%
"White County, Georgia",13%,± 3.3%
"White County, Illinois",15.30%,± 3%
"White County, Indiana",8.70%,± 1.6%
"White County, Tennessee",17.10%,± 2.9%
"White Pine County, Nevada",9.20%,± 3%
"Whiteside County, Illinois",11.60%,± 1.5%
"Whitfield County, Georgia",13.50%,± 2.1%
"Whitley County, Indiana",9.10%,± 1.9%
"Whitley County, Kentucky",23.50%,± 3%
"Whitman County, Washington",23.90%,± 1.6%
"Wibaux County, Montana",17.80%,± 7.6%
"Wichita County, Kansas",14.90%,± 6.9%
"Wichita County, Texas",15.80%,± 1.6%
"Wicomico County, Maryland",13.80%,± 1.6%
"Wilbarger County, Texas",18.40%,± 3.6%
"Wilcox County, Alabama",26.80%,± 4.2%
"Wilcox County, Georgia",23%,± 3.9%
"Wilkes County, Georgia",17.80%,± 4.8%
"Wilkes County, North Carolina",17.10%,± 2%
"Wilkin County, Minnesota",13.50%,± 3.7%
"Wilkinson County, Georgia",21.80%,± 4.4%
"Wilkinson County, Mississippi",21.50%,± 5.8%
"Will County, Illinois",6.70%,± 0.4%
"Willacy County, Texas",26.60%,± 4.3%
"Williams County, North Dakota",7.40%,± 1.8%
"Williams County, Ohio",11.20%,± 1.8%
"Williamsburg city, Virginia",13.70%,± 2.8%
"Williamsburg County, South Carolina",23.50%,± 3.4%
"Williamson County, Illinois",13.20%,± 1.8%
"Williamson County, Tennessee",4.20%,± 0.5%
"Williamson County, Texas",6.30%,± 0.4%
"Wilson County, Kansas",16.30%,± 3.1%
"Wilson County, North Carolina",20.40%,± 2.1%
"Wilson County, Tennessee",8.30%,± 1.2%
"Wilson County, Texas",10.30%,± 2.3%
"Winchester city, Virginia",16.80%,± 2.5%
"Windham County, Vermont",12.60%,± 1.8%
"Windsor County, Vermont",8.70%,± 1.4%
"Winkler County, Texas",12.60%,± 4.4%
"Winn Parish, Louisiana",19.60%,± 3.7%
"Winnebago County, Illinois",16.10%,± 0.8%
"Winnebago County, Iowa",7.80%,± 1.6%
"Winnebago County, Wisconsin",10.80%,± 0.8%
"Winneshiek County, Iowa",8.90%,± 1.9%
"Winona County, Minnesota",14%,± 1.6%
"Winston County, Alabama",18.20%,± 2.3%
"Winston County, Mississippi",26%,± 4.5%
"Wirt County, West Virginia",20.30%,± 6%
"Wise County, Texas",9.10%,± 1.7%
"Wise County, Virginia",19.90%,± 2.5%
"Wolfe County, Kentucky",36.80%,± 7.9%
"Wood County, Ohio",12.90%,± 1.1%
"Wood County, Texas",12.60%,± 1.9%
"Wood County, West Virginia",14.80%,± 1.3%
"Wood County, Wisconsin",10.50%,± 1.1%
"Woodbury County, Iowa",13.50%,± 1.4%
"Woodford County, Illinois",7.50%,± 1.7%
"Woodford County, Kentucky",8.40%,± 2.1%
"Woodruff County, Arkansas",19%,± 3.8%
"Woods County, Oklahoma",18.50%,± 3.3%
"Woodson County, Kansas",13.30%,± 3.7%
"Woodward County, Oklahoma",15%,± 3.6%
"Worcester County, Maryland",8.20%,± 1.2%
"Worcester County, Massachusetts",10%,± 0.4%
"Worth County, Georgia",19.60%,± 3.2%
"Worth County, Iowa",7.40%,± 1.8%
"Worth County, Missouri",16.60%,± 5.9%
"Wrangell City and Borough, Alaska",10.10%,± 3.4%
"Wright County, Iowa",14.30%,± 2.8%
"Wright County, Minnesota",4.80%,± 0.7%
"Wright County, Missouri",20.40%,± 4.4%
"Wyandot County, Ohio",6.90%,± 1.7%
"Wyandotte County, Kansas",16.80%,± 1.2%
"Wyoming County, New York",10.70%,± 1.6%
"Wyoming County, Pennsylvania",11.20%,± 1.3%
"Wyoming County, West Virginia",24.40%,± 4.8%
"Wythe County, Virginia",17.20%,± 2.7%
"Yabucoa Municipio, Puerto Rico",49.70%,± 3.3%
"Yadkin County, North Carolina",13.80%,± 2.4%
"Yakima County, Washington",15.50%,± 1.2%
"Yakutat City and Borough, Alaska",10%,± 9.6%
"Yalobusha County, Mississippi",20.50%,± 4.5%
"Yamhill County, Oregon",11.30%,± 1.2%
"Yancey County, North Carolina",15.30%,± 2.6%
"Yankton County, South Dakota",8%,± 1.8%
"Yates County, New York",14.20%,± 2.1%
"Yauco Municipio, Puerto Rico",43.70%,± 3.4%
"Yavapai County, Arizona",12.30%,± 0.9%
"Yazoo County, Mississippi",29.10%,± 3.8%
"Yell County, Arkansas",12.40%,± 2.2%
"Yellow Medicine County, Minnesota",10%,± 1.4%
"Yellowstone County, Montana",10.70%,± 0.9%
"Yoakum County, Texas",13.60%,± 6.5%
"Yolo County, California",17.40%,± 1.1%
"York County, Maine",8%,± 0.8%
"York County, Nebraska",9.30%,± 2%
"York County, Pennsylvania",8.60%,± 0.5%
"York County, South Carolina",8.40%,± 0.7%
"York County, Virginia",4.70%,± 0.9%
"Young County, Texas",15.70%,± 4.6%
"Yuba County, California",15.40%,± 1.5%
"Yukon-Koyukuk Census Area, Alaska",22.90%,± 3.4%
"Yuma County, Arizona",17.50%,± 1.3%
"Yuma County, Colorado",14%,± 3.9%
"Zapata County, Texas",37.20%,± 6.1%
"Zavala County, Texas",31%,± 6.4%
"Ziebach County, South Dakota",41.30%,± 5.1%
